pid,dc_real_pid,pm_pid,property_name,pm_parent_pid,parent_property_name,year_ending,report_status,address_of_record,owner_of_record,ward,reported_address,city,state,postal_code,year_built,primary_ptype_self,primary_ptype_epa,tax_record_floor_area,reported_gross_floor_area,energy_star_score,site_eui,weather_norm_site_eui,source_eui,weather_norm_source_eui,total_ghg_emissions,total_ghg_emissions_intensity,water_use,electricity_use,natural_gas_use,fuel_use,district_water_use,metered_areas_energy,metered_areas_water,latitude,longitude
PM01331462,0105_0845,1331462,1801 Pennsylvania Ave.,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1801 PENNSYLVANIA AVE NW,1801 PENNSYLVANIA AVENUE LLC,2,1801 Pennsylvania Ave.,Washington,DC,20006,1991,Office,Office,276842,214997,60,77.1,77.2,240.6,240.8,2206.7,10.3,3550.1,4812218,1645.455693,,,Whole Building,Whole Building,38.90076372,-77.04189977
PM02729439,0127_0055,2729439,800 17TH ST,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,800 17TH ST NW,T C 800 17TH STREET NW OWNER LLC,2,800 17TH ST NW,WASHINGTON,DC,20006,2010,Office,Office,431570,390731,93,38.7,38.7,121.5,121.5,2023.4,5.2,5561.8,4430062,,,,Whole Building,,38.90077894,-77.03974474
PM03996137,0200_0026,3996137,AFL-CIO,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,815 16TH ST NW,AFL & CIO TRUSTEES,2,815 16th Street NW,Washington,DC,20006,1952,Office,Office,179490,260000,85,66.9,66.4,158.3,156.8,1808.9,7,1915.5,3212103,64351.058,,,Whole Building,Whole Building,38.90089025,-77.03608229
PM03761920,0165_0814,3761920,818 Connecticut LLC,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,0818 CONNECTICUT AV NW,818 CONNECTICUT LLC,2,818 Connecticut Avenue NW,Washington,DC,20006,1977,Office,Office,93196,93189,80,72,72,226,226,897.9,9.6,2850.8,1965741,,,,Whole Building,Whole Building,38.90090378,-77.03881198
PM03622132,0528_2871,3622132,Madrigal Lofts - Whole Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,0811 4TH ST NW,MADRIGAL LOFTS CONDOMINIUM,6,811 4th Street NW,Washington,DC,20001,2007,Multifamily Housing,Multifamily Housing,208767,208767,45,62.2,62.8,165.1,165.8,1495,7.2,8576.8,2922956,30113.53116,,,Whole Building,Whole Building,38.9009511,-77.0157111
PM04019461,00540030;00540840;00540842;00540843;00542001;00542002;00544047;00547001;00547004;00547007;00547010;00547011,4019461,Residences on the Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2201 I ST NW; 2221 I STREET NW,RESIDENCES ON THE AVENUE; SQ 54 RESIDENTIAL CONDO,2,2221 I Street NW,Washington,DC,20037,2000,Multifamily Housing,Multifamily Housing,399019,396876,95,41.8,42,114.4,114.7,1961.6,4.9,13756.1,3924268,31861.6867,,,Whole Building,Whole Building,38.9009754,-77.0497071
DC01050055,0105_0055,N/A,,,,12/31/2015,Exempt from this year's disclosure,1850 I ST NW,INTERNATIONAL BANK FOR RECONSTRUCTION & DEVELOPMENT,,,Washington,DC,,1978,,Not Provided,,,,,,,,,,,,,,,,,38.9009787,-77.0427347
PM01419667,0286_0041,1419667,1250 Eye Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1250 I ST NW,IPERS EYE ST NW DC INC,2,1250 I Street NW,Washington,DC,20005,1982,Office,Office,239325,187269,84,51,50.7,160.2,159.3,1279.3,6.8,1877.2,2800898,,,,Whole Building,Whole Building,38.90099549,-77.02923934
PM00017736,0250_0051,17736,Franklin Square,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1300 I ST NW,TIAA FRANKLIN SQUARE LLC,2,1300 Eye Street,Washington,DC,20005,1989,Office,Office,606768,517464,79,64.3,64.3,193.4,193.4,4283.1,8.3,6975.7,9135674,20783.18341,,,Whole Building,Whole Building,38.90100088,-77.03034999
PM01346869,0286_0819; 0286_0818,1346869,1201& 1225 New York Ave.,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1225 NEW YORK AV NW,1201-1225 NEW YORK AVE SPE LLC,2,1201 New York Avenue NW,Washington,DC,20005,1988,Office,Office,143753,510400,84,57.2,56.8,169.5,168,3708.7,7.3,6508.7,7833788,24147.94362,31615.8,,Whole Building,Whole Building,38.90102088,-77.02854869
PM03048393,0220_0065,3048393,Live Oak Realty,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1444 I ST NW,LIVE OAK REALTY INC,2,1444 I Street NW,Washington,DC,20005,1983,Office,Office,81608,72467,65,70.3,71,177.8,178.5,561.6,7.7,1697.5,1056227,14904.35893,,,Whole Building,Whole Building,38.90102752,-77.03274929
PM03474408,0220_0064,3474408,1400 Eye Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1400 I ST NW,ZG 1400 EYE LLC,2,1400 I Street NW,Washington,DC,20005,1982,Office,Office,257532,175760,64,84.3,84.4,250.9,250.9,1889.5,10.8,3361.4,4000598,11706.75147,,,Whole Building,Whole Building,38.90103171,-77.03218519
PM03688013,0250_0857,3688013,1350 I Street NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1350 I ST NW,1350 EYE CO-TENANT LLC,2,1350 I Street NW,Washington,DC,20005,1989,Office,Office,156951,401743,82,56.3,56.7,176.9,178,3029.2,7.5,3987.8,6632149,,,,Whole Building,Whole Building,38.9010354,-77.03129995
PM02790969,0127_0050,2790969,1722 Eye Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1722 I ST NW,1722 EYE STREET ASSOCIATES,2,1722 Eye Street,Washington DC,DC,20006,1979,Office,Office,167233,180564,60,71.3,72.6,223.8,227.8,1722.6,9.5,2549.6,3771426,,,,Whole Building,Whole Building,38.9010383,-77.04086515
PM03987909,0105_0846,3987909,818 18th Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,818 18TH ST NW,NATTAK INVESTMENTS LLC,2,818 18th Street NW,Washington,DC,20006,1963,Office,Office,60917,60917,76,66.2,65.8,158,154.5,422.5,6.9,2325.9,755440.5,14574.39592,,,Whole Building,Whole Building,38.9010394,-77.041905
PM04014135,0127_0048,4014135,Intrepid Eye Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1720 I ST NW,ROBERT ARTHUR,2,1720 I Street NW,Washington,DC,20006,1968,Office,Office,72545,72545,65,71.8,71.3,190.8,188.1,600.2,8.3,2044.2,1174836,11967.18248,,,Whole Building,Whole Building,38.9010432,-77.0403996
PM02807339,0516S0861,2807339,455 Mass Ave,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,455 MASSACHUSETTS AV,SQUARE 516 OFFICE VENTURE LLC,6,455 Massachusetts Ave NW,Washington,DC,20001,2008,Office,Office,357180,247330,81,67.2,66.5,211,208.9,2224.6,9,4657.4,4870476,,,,Whole Building,Whole Building,38.90104852,-77.01773014
PM03965374,0127_0853,3965374,1712 Eye Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1714 I ST NW,1712 LP,2,1712 I Street NW,Washington,DC,20006,1960,Medical Office,Medical Office,60361,54854,63,85,83.3,242.9,237.5,573.4,10.5,2602.5,1182086,6298.770439,,,Whole Building,Whole Building,38.9010535,-77.0401317
PM01406853,0675_0847,1406853,830 First Street NE,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,830 1ST ST NE,CIM URBAN REIT PROPERTIES VI LP,6,830 First Street NE,Washington,DC,20004,2001,Office,Office,233962,252992,70,82.7,83.2,259.8,261.4,2400.1,9.5,5117.8,6134631,,,,Whole Building,Whole Building,38.90107988,-77.00762737
PM01495502,0186_0040,1495502,1620 Eye LLC,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1620 I ST NW,1620 EYE LLC,2,1620 I St NW,Washington,DC,20006,1971,Office,Office,125367,117509,71,67.3,67.7,211.2,212.6,1058,9,3549.7,2316390,,,,Whole Building,,38.90108618,-77.03750142
PM01411430,0220_0067,1411430,875 15th St NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,875 15TH ST NW,BOWEN BUILDING LP,2,875 15th St NW,Washington,DC,20002,2005,Office,Office,164340,258777,49,93.1,93.1,292.3,292.3,3224.6,12.5,4836.4,7059785,,,,Whole Building,Whole Building,38.90109607,-77.03340079
PM01707265,0127_0053,1707265,01270053_1776 I St NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1776 I ST NW,1776 EYE SPE LLC,2,1776 I St. NW,Washington,DC,20006,1987,Office,Office,293324,248690,85,52.1,52.1,163.6,163.6,1734.5,7,4483.2,3797566,,,,Whole Building,,38.90109821,-77.04136516
PM04367542,0127_0851,4367542,The Brawner Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,0888 17TH ST NW,JOHN W BRAWNER TRUSTEE,2,888 17th Street NW,Washington,DC,20006,1964,Office,Office,132548,126503,85,70.3,70.6,157.8,156.5,882.8,7,2225,1489537,38119.5931,,,Whole Building,Whole Building,38.90109849,-77.03977287
PM01391419,0675_0855,1391419,899,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,899 NORTH CAPITOL ST NE,UNION SQUARE 825 PROPERTY LP,6,899 North Capitol Street,Washington,DC,20002,1973,Office,Office,318096,314858,83,51,51.4,159.6,160.8,2143.6,6.8,6777.1,4683936,794.1893951,,,Whole Building,Whole Building,38.90110153,-77.00845004
PM03267015,0675_0850,3267015,840 First Street NE,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,840 1ST ST NE,FP 840 FIRST STREET LLC,6,840 1st Street NE,Washington,DC,20002,2003,Office,Office,266766,275617,76,72.6,73,219.2,220.6,2586.2,9.4,17916.1,5529158,11098.1134,24219,,Whole Building,Whole Building,38.90110524,-77.00688057
PM00020164,0075_0861; 0075_0863,20164,2100 Pennsylvania Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2100 PENNSYLVANIA AV NW,GEORGE WASHINGTON UNIVERSITY,2,2100 Pennsylvania Avenue,Washington,DC,20037,1966,Office,Office,219499,322250,81,76.1,77.1,190.9,192,2692.6,8.4,5414.4,5019563,70351.17403,353827.6,,Whole Building,,38.9011081,-77.0470223
PM01390727,0186_0810,1390727,Chanin Building - 815 Connecticut,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,0815 CONNECTICUT AV NW,ALECTA PENSIONS FORSAKRING OMSESIDIGT,2,815 Connecticut Avenue,Washington,DC,20006,1963,Office,Office,269619,231784,89,48.2,48.1,130.4,129,1307.6,5.6,6154.5,2591969,23300.45663,,,Whole Building,Whole Building,38.90113082,-77.03797978
PM03964239,0165_0813,3964239,1634 Eye Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1634 I ST NW,1634 EYE LLC,2,1634 I Street NW,Washington,DC,20006,1962,Office,Office,76697,65245,73,75.9,74.1,187.8,182.5,535.5,8.2,2302.8,989711.4,15719.48193,,,Whole Building,Whole Building,38.90113173,-77.03899379
PM03353557,0403_0837,3353557,801 Eye Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,0801 I ST NW,TMG 801 EYE STREET LLC,2,801 Eye Street NW,Washington DC,DC,20001,1991,Office,Office,541425,330979,54,95.4,94.8,299.6,297.6,4227,12.8,7790.6,9254633,,,,Whole Building,Whole Building,38.90113817,-77.02324731
PM03351507,04030836;04030837,3351507,9671p-Washington DC Renaissance,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,801 I ST NW; 999 9TH ST NW,TMG 801 EYE STREET LLC; SUNTONE K9 LLC,2,999 9th Street Nw,Washington,DC,20001,1997,Hotel,Hotel,884203,715000,66,69.5,69.7,175.1,174.7,5461.6,7.6,23558,10237710,147885.9972,,,Whole Building,Whole Building,38.901482,-77.023681
PM02937321,0186_0039,2937321,1600 I Street Corporation,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1600 I ST NW,SIXTEEN HUNDRED EYE STREET CORPORATION,2,888 16th Street NW,Washington,DC,20006,1969,Office,Office,197042,138872,76,99.3,98.6,219.3,215.4,1349.9,9.7,2500.3,2240545,61467.35174,,,Whole Building,Whole Building,38.90114722,-77.03697034
PM01069664,0403_0839,1069664,0900 Seventh Street NW (IBEW),Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,900 7TH ST NW,IBEW HEADQUARTERS BUILDING LLC,2,900 Seventh Street NW,Washington,DC,20005,2004,Office,Office,300218,318853,88,50.2,50.2,157.6,157.6,2143,6.7,7703.8,4691844,,,,Whole Building,Whole Building,38.90115602,-77.02227684
PM01030273,0118_0029,1030273,1919 Penn Ave,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1916 I ST NW,1919 PENNSYLVANIA ASSOCIATES LLC,2,1919 Pennsylvania Ave. NW,Washington,DC,20006,1978,Office,Office,381951,265243,70,73.1,73.5,209,209.5,2385.6,9,7998.4,4919722,26075.49094,,,Whole Building,,38.90118614,-77.04374594
PM03993869,0165_0029,3993869,Club Quarters Washington DC,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,0839 17TH ST NW,RCQ HOTEL DC LLC,2,839 17th St. NW,Washington,DC,20006,1925,Hotel,Hotel,59746,59746,54,98.5,96.8,231.1,224.7,607.3,10.2,3830.3,1069619,22363.7426,,,Whole Building,Whole Building,38.90118696,-77.0391062
PM04539701,0075_0046,4539701,South Building,4539680,North Building,12/31/2015,In Compliance,2150 PENNSYLVANIA AV NW,GEORGE WASHINGTON UNIVERSITY,2,2150 Pennsylvania Avenue N.W.,Washington,DC,20037,1978,Urgent Care/Clinic/Other Outpatient,Urgent Care/Clinic/Other Outpatient,79531,236469,,124.6,123.8,277.2,272.1,2914.7,12.3,5000.2,4855015,123540.7821,552000,,Whole Building,Whole Building,38.9011918,-77.048511
PM04539680,0075_0046,4539680,North Building,4539680,North Building,12/31/2015,In Compliance,2150 PENNSYLVANIA AV NW,GEORGE WASHINGTON UNIVERSITY,2,2150 Pennsylvania Avenue N.W.,Washington,DC,20037,1931,Urgent Care/Clinic/Other Outpatient,Urgent Care/Clinic/Other Outpatient,79531,79186,,52.7,52.9,165.4,166.1,558.3,7.1,6602.4,1222285,,,,Whole Building,Whole Building,38.9011918,-77.048511
PM04007880,5058_0008,4007880,Lotus Square,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,800 KENILWORTH AVE NE,KENILWORTH AVE APARTMENTS LLC,7,800 Kenilworth Ave NE,Washington,DC,20019,2006,Multifamily Housing,Multifamily Housing,246295,222956,81,30.8,30.8,96.6,96.6,918,4.1,13829.9,2009896,,,,Whole Building,Whole Building,38.90124527,-76.94574584
PM04007789,07510013;07512918;07512930,4007789,Senate Square,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,201 I STREET NE; 215 I ST NE,SENATE SQUARE TOWERS; LANDMARK LOFTS,6,201 I Street NE,Washington,DC,20002,2009,Multifamily Housing,Multifamily Housing,495601,548941,17,70.2,69.4,162.3,158.3,3926.7,7.2,24545.8,6823485,152518.0582,,,Whole Building,Whole Building,38.9013101,-77.0025844
PM03990211,0751_2918,3990211,Landmark Lofts,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,215 I ST NE,LANDMARK LOFTS,6,215 I St NE,Washington,DC,20002,2007,Multifamily Housing,Multifamily Housing,62786,62786,93,32.4,32.1,69.5,67.5,194.2,3.1,1650.8,312601,9689.557062,,,Whole Building,Whole Building,38.9013101,-77.0025844
PM03772931,0040_0036,3772931,George Washington University Hospital,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,900 23RD ST NW,GEORGE WASHINGTON,2,900 23rd St NW,Washington D.C.,DC,20037,2002,Hospital (General Medical & Surgical),Hospital,450927,450927,38,371.5,372.7,761.6,757.9,15370.9,34.1,51259.7,23494920,873506.109,,,Whole Building,Whole Building,38.90132679,-77.05046239
DC04842714,0484_2714,N/A,,,,12/31/2015,No report received,0555 MASSACHUSETTS AVE NW,555 MASS AVENUE CONDOMINIUM,6,,Washington,DC,,2005,,Not Provided,178842,,,,,,,,,,,,,,,,38.9013449,-77.0194703
PM04746392,5056_0040,4746392,Cesar Chavez Public Charter Schools For Public Policy,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,3701 HAYES ST NE,CESAR CHAVEZ PUBLIC CHARTER SCHOOLS FOR PUBLIC POLICY,7,3701 Hayes St. NE,Washington,DC,20019,2005,K-12 School,K-12 School,59460,79612,1,28742.8,28346.8,28839.8,28443.8,483.3,6.1,,670653348,,,,Whole Building,,38.90144549,-76.94906737
DC00160884,0016_0884,N/A,,,,12/31/2015,Exempt from this year's disclosure,0924 25TH ST NW,ALAMAC INC,2,,Washington,DC,20037,1956,,Not Provided,85052,,,,,,,,,,,,,,,,38.9014791,-77.0533226
PM03994900,0028_2010,3994900,Jefferson House Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,0922 24TH ST NW,JEFFERSON HOUSE CONDO,2,922 24th St NW,Washington,DC,20037,1962,Multifamily Housing,Multifamily Housing,88255,88255,52,82.3,83,155.1,152.8,620,7,4568.6,850187,43618.70524,,,Whole Building,Whole Building,38.9014794,-77.0516208
PM02609487,0675_0846,2609487,FERC,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,0888 1ST ST NE,ROSCHE/888 FIRST STREET NE LLC,6,888 First Street NE,Washington,DC,20002,1995,Office,Office,500000,558620,83,72.8,72.2,206.4,206.8,4967.4,8.9,9227.9,10182980,58444.40587,78000,,Whole Building,Whole Building,38.901537,-77.00711982
PM03993848,0775_0050,3993848,DC003_AVA H Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,0318 I ST,AVALON 318 I STREET LLC,6,318 I Street NE,Washington,DC,20002,2012,Multifamily Housing,Multifamily Housing,94800,118955,82,39.8,39.8,120.8,120.8,614.7,5.2,2270,1319131,2292.999949,,,Whole Building,Whole Building,38.9015374,-77.0009133
PM04327667,0126_0060,4327667,1775 Eye Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1775 I ST NW,WRIT 1775 EYE STREET LLC,2,1775 Eye Street NW,Washington,DC,20006,1969,Office,Office,286694,198893,78,57.6,57.3,175.5,174.1,1492.2,7.5,2281.7,3205907,5253.690135,,,Whole Building,Whole Building,38.90153902,-77.04126386
PM04369364,01990834;01990835,4369364,Camden Grand Parc,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,900 15TH ST NW; 1555 I ST NW,SUMMIT GRAND PARC LLC,2,910 15th Street NW,Washington DC,DC,20005,1918,Multifamily Housing,Multifamily Housing,136225,133225,60,41.2,41.5,107.1,106.5,620,4.7,3250.5,1190985,14316.87917,,,Whole Building,Whole Building,38.90158355,-77.0348295
PM03989117,0775_0828,3989117,WVUS DC Office,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,901 3RD ST NE,WORLD VISION PROPERTIES LLC,6,901 3rd St,Washington,DC,20002,1926,Office,Office,56433,56433,1,1563.1,1563.1,4908.2,4908.2,11808.5,209.2,340.4,25853370,,,,Whole Building,Whole Building,38.90158873,-77.00168658
PM03619266,0077_0060,3619266,Marvin Center Group,3619266,Marvin Center Group,12/31/2015,In Compliance,0800 21ST ST NW,GEORGE WASHINGTON UNIVERSITY,2,800 21st St and 2100 I St NW,Washington,DC,20052,1940,College/University,College/University,396467,359258,,110.2,110.4,229.7,226.8,3700.4,10.3,10679.6,5748360,193096.4358,663642,,Whole Building,Whole Building,38.9015926,-77.0291221
PM02265015,0077_0060,2265015,Marvin Center,3619266,Marvin Center Group,12/31/2015,In Compliance,0800 21ST ST NW,GEORGE WASHINGTON UNIVERSITY,2,800 21st St NW,Washington,DC,20052,1970,College/University,College/University,396467,325060,,117.2,117.4,242.7,239.7,3541.5,10.9,9387.3,5460122,187958.9788,663642,,Another configuration,Whole Building,38.9015926,-77.0291221
PM01418352,0077_0060,1418352,Lafayette Hall,3619266,Marvin Center Group,12/31/2015,In Compliance,0800 21ST ST NW,GEORGE WASHINGTON UNIVERSITY,2,2100 Eye St NW,Washington,DC,20052,1940,Residence Hall/Dormitory,Residence Hall/Dormitory,396467,34198,87,43.8,43.8,106.1,106.1,158.9,4.6,1292.4,288238,5137.457038,,,Another configuration,Whole Building,38.9015926,-77.0291221
PM00023441,0075_0864,23441,Rice Hall,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2121 I ST NW,GEORGE WASHINGTON UNIVERSITY,2,2121 Eye St NW,Washington,DC,20052,1967,Office,Office,70308,71543,49,101.4,103.2,220,221.9,699.2,9.8,1354.6,1139125,33683.08166,,,Whole Building,Whole Building,38.9015926,-77.0291221
PM04673460,0717_0812,4673460,900 2nd St,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,0900 2ND ST NE,NATIONAL RAILROAD PASSENGER CORPORATION AMTRAK,6,900 2nd St. NE,Washington,DC,20002,1908,Office,Office,216565,100000,39,72.6,71.4,228.1,224.1,832.9,8.3,2026,2128628,,,,Whole Building,Whole Building,38.9016034,-77.0036015
PM03016235,0126_0061,3016235,Farragut Center,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1727 I ST NW,FARRAGUT CENTER LLC,2,1725 Eye Street NW,Washington,DC,200062407,2001,Office,Office,374766,264000,60,76.2,76.2,239.4,239.4,2694.1,10.2,3676.3,5898464,,,,Whole Building,Whole Building,38.90162853,-77.04035649
PM01412761,0218_0080,1412761,McPherson Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,0901 15TH ST NW,MULLEN MANAGEMENT COMPANY INC,2,901 15th Street NW,Washington,DC,20005,1987,Office,Office,355204,308250,84,54.5,53.6,171,168.2,2246.9,7.3,3697.2,4919396,,,,Whole Building,Whole Building,38.90163044,-77.032794
PM01188995,0285_0048,1188995,1201 Eye Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1201 I ST NW,1215 I STREET NW ASSOCS LTD PARTNERSHIP,2,1201 Eye Street NW,Washington,DC,20005,2002,Office,Office,274387,305868,81,55.4,55.4,174,174,2268.7,7.4,3289,4967022,,,,Whole Building,Whole Building,38.90163885,-77.02856162
PM01066315,0086_0845,1066315,900 19th St,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,0900 19TH ST NW,PRESIDENTIAL PLAZA LP,2,900 19th Street NW,Washington,DC,20006,1985,Office,Office,159565,102480,77,61.7,61.7,193.9,193.9,847.1,8.3,2706.6,1854668,,,,Whole Building,Whole Building,38.90164771,-77.0438698
PM01423599,0078_0848,1423599,2099 Penn Ave,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2099 PENNSYLVANIA AV NW,2099 OWNER LP,2,2099 Pennsylvania Ave. NW,Washington,DC,20006,2000,Office,Office,231809,231164,86,49,49,153.7,153.7,1515.2,6.6,2400.1,3317255,,,,Whole Building,Whole Building,38.90164902,-77.04629552
PM01188996,0285_0047,1188996,1225 Eye Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1225 I ST NW,1225 EYE STREET NW ASSOCIATES LLC,2,1225 Eye Street NW,Washington,DC,20005,1988,Office,Office,310153,248131,72,64.7,64.7,203.2,203.2,2149.7,8.7,3714.8,4706470,,,,Whole Building,Whole Building,38.90165744,-77.02916215
PM02686138,0452_0032,2686138,650 Mass Ave,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,0628-0650 MASSACHUSETTS AV,BOP 650 MASS LLC,2,650 Massachusetts Avenue NW,Washington DC,DC,20001,1988,Office,Office,465821,346973,80,60.2,59.5,189,187,2796,8.1,5021.3,6121541,,,,Whole Building,Whole Building,38.90166173,-77.02125073
DC01990831,0199_0831,N/A,,,,12/31/2015,No report received,1575 I ST NW,DUWALIYA US REAL ESTATE INC,2,,Washington,DC,,1979,,Not Provided,288798,,,,,,,,,,,,,,,,38.9016662,-77.0354652
PM04307021,0078_0040,4307021,2001 Pennsylvania Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,2001 PENNSYLVANIA AV,BENENSON MUKWONAGE PENN LLC,2,2001 Pennsylvania Avenue NW,Washington,DC,20006,1990,Office,Office,225792,168037,61,75.4,75.4,236.7,236.7,1696,10.1,3223,3713168,,,,Whole Building,Whole Building,38.9016695,-77.0451688
PM01397164,0218_0077,1397164,Franklin Tower,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1401 I ST NW,1401 EYE HOLDINGS LLC,2,1401 I St NW,Washington,DC,20005,1991,Office,Office,315944,237258,73,65.9,65.9,206.8,206.8,2091.6,8.8,3675.7,4579302,,,,Whole Building,Whole Building,38.90167406,-77.03242402
PM02701797,0317_0841,2701797,1101 New York Ave,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1101 NEW YORK AV,1101 NEW YORK HOLDINGS LLC,2,1101 New York Ave NW,Washington,DC,20005,2007,Office,Office,512092,392374,74,65.3,65.7,204,205.3,3414.3,8.7,7200.6,7453913,1825.878001,,,Whole Building,Whole Building,38.90168468,-77.02753907
PM02736239,0516_0057,2736239,425 EYE,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,425 I ST NW,425 EYE STREET NW LP,6,425 I St. NW,Washington,DC,20001,1973,Office,Office,488592,406482,97,48.1,47.7,144.3,143,2511,6.2,4797.7,5343687,13221.79961,,,Whole Building,Whole Building,38.90171237,-77.01694407
PM01330640,0185_0828,1330640,1625 Eye Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1625 I ST NW,BFP 1625 EYE CO LLC,2,1625 Eye Street NW,Washington DC,DC,20006,2003,Office,Office,624620,424492,85,55.9,55.7,175.7,175,3179,7.5,10940.7,6960155,,,,Whole Building,Whole Building,38.90172313,-77.03760436
PM01229423,0185_0829,1229423,Army Navy Club,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1627 I ST NW,WRIT ANC LLC,2,1627 I Street NW,Washington,DC,20006,1912,Office,Office,80599,122305.9,79,52.5,52.5,165,165,860.1,7,5720.1,1883075,,,,Whole Building,Whole Building,38.90172986,-77.03813748
PM01784866,0343_0831,1784866,1099 New York Ave.,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2015,In Compliance,1099 NEW YORK AV,CSREFI NEW YORK AVENUE WASHINGTON INC,2,1099 New York Ave NW,Washington,DC,20001,2008,Office,Office,210235,180806,42,102.4,102.4,321.5,321.5,2478.2,13.7,7099.2,5425750,,,,Whole Building,Whole Building,38.9017343,-77.02667604
