pid,dc_real_pid,pm_pid,property_name,pm_parent_pid,parent_property_name,year_ending,report_status,address_of_record,owner_of_record,Ward,reported_address,city,state,postal_code,year_built,primary_ptype_self,primary_ptype_epa,tax_record_floor_area,reported_gross_floor_area,energy_star_score,site_eui,weather_norm_site_eui,source_eui,weather_norm_source_eui,total_ghg_emissions,total_ghg_emissions_intensity,water_use,water_score_mf_properties,electricity_use,natural_gas_use,fuel_use,district_water_use,metered_areas_energy,metered_areas_water,latitude,longitude
DC02880843,0288_0843,N/A,,,,12/31/2017,No Report Received,0725 13TH ST NW,AT AND T COMMUNICATIONS OF WASH DC INC,2,0725 13TH ST NW,Washington,DC,20005,1948,Other,Other - Undetermined Property Type,176023,,,,,,,,,,,,,,,,,38.8992025,-77.029623
PM01407852,0288_0846,1407852,One Metro Center,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,700 12TH ST NW,JAMESTOWN PREMIER ONE METRO CENTER CORP,2,700 12th Street NW,Washington,DC,20005,2003,Office,Office,520441,425344,60,81.9,81.9,257.1,257,3863.4,9.1,6723.7,,10207160,0,,,Whole Building,Whole Building,38.8987249,-77.0288252
PM03389780,0288_0847,3389780,(71068A) METRO CENTER Macy's,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,1201 G ST NW,MACY'S RETAIL HOLDINGS INC,2,1201 G. STREET NW,Washington,DC,20005,1985,Retail Store,Retail Store,215108,272371,92,31.9,31.8,100,100,962.7,3.5,2168.9,,2543367,,,,Whole Building,Whole Building,38.89871274,-77.02839264
PM01180478,0289_0830,1180478,0601 Thirteenth Street NW (Homer),Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,0601 13TH ST NW,S KANN SONS COMPANY,2,601 13th Street  NW,Washington,DC,20005,1990,Office,Office,678600,604301,85,46.6,49.3,146.5,154.7,3126.8,5.2,6363.9,,8261069,,,,Whole Building,Whole Building,38.89814115,-77.02926284
PM03531245,0289_0831,3531245,1200 G Street  NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,1200 G ST NW,12TH & G STREETS ASSOCIATES,2,1200 G Street  NW,Washington,DC,20005,1991,Office,Office,269751,196325,66,78.7,77.8,234.6,232,1646,8.4,4354.1,,4185513,11644.18082,,,Whole Building,Whole Building,38.89817806,-77.02826648
PM02895757,0289_0832,2895757,1201 F St,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,1201 F ST NW,1201 F STREET LLC,2,1201 F Street  NW,Washington,DC,20004,2000,Office,Office,325757,240578,,70.1,71.1,219.3,222.4,1865.1,7.8,6457.9,,4915809,843.058638,,,Whole Building,Whole Building,38.89766464,-77.02852325
PM01407276,0290_0044,1407276,1299 Pennsylvania Ave NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,0501 13TH ST NW,WARNER INVESTMENTS LP,2,1299 Pennsylvania Ave NW,Washington,DC,20004,1992,Office,Office,641215,769685,86,50.4,50.4,158.2,158.2,4302.3,5.6,12788,,11366820,,,,Whole Building,Whole Building,38.89649317,-77.02826612
PM02745306,0290_0861,2745306,Columbia Square-2,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,F ST NW,13TH & F ASSOCIATES LP & WMATA,2,555 13Th ST.,Washington,DC,20004,1987,Office,Office,637000,674553,79,62.8,62.8,193.4,193.4,4627.1,6.9,13502.5,,12058650,11851.74179,,,Whole Building,Whole Building,38.89719681,-77.02828568
PM02840677,0291_0037,2840677,1201 Pennsylvania Ave.,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,1201 PENNSYLVANIA AV NW,1201 LAND LP,2,1201 Pennsylvania Ave. NW,Washington,DC,20004,1981,Office,Office,642329,429348,,45,46.4,141.3,145.8,2143.9,5,7565.8,,5664222,,,,Whole Building,Whole Building,38.89600299,-77.02838287
PM02701785,0291_0038,2701785,1275 Penn Ave NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,Data Under Review by DOEE,0425 13TH ST NW,PENNSYLVANIA BUILDING ASSOCIATES LP,2,12745 Penn Avenue NW,Washington,DC,20004,1956,Office,Office,289198,169065,69,59.6,59.6,187.2,187.2,1118,6.6,1700.7,,2953778,,,,Whole Building,Whole Building,38.895829,-77.028952
PM02798092,0299_0831,2798092,Mandarin Oriental Hotel,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,Data Under Review by DOEE,1330 MARYLAND AVE SW,PORTALS HOTEL SITE LLC,6,1330 Maryland Avenue SW,Washington,DC,20024,2004,Hotel,Hotel,294037,512051,29,106,106.7,243.4,242.4,4754.5,9.3,25235,,9481646,219465.7895,,,Whole Building,Whole Building,38.8833688,-77.0306987
PM01583318,0299_0832,1583318,Portals I - 1250/1280 Maryland Ave,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,1250 MARYLAND AV SW,PARCEL 49B LIMITED PARTNERSHIP,6,1280 Maryland Avenue  SW,Washington,DC,20024,1992,Office,Office,800000,583876,85,58.2,58.2,182.7,182.7,3767.9,6.5,9105.8,,9954873,,,,Whole Building,Whole Building,38.88409053,-77.02899095
PM01583329,0299_0833,1583329,Portals II,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,0445 12TH ST SW,PARCEL 49C LIMITED PARTNERSHIP,6,445 12th Street  SW,Washington,DC,20024,1995,Office,Office,633800,652702,80,75.5,75.4,237.1,236.8,5466.9,8.4,15480.3,,14443860,,,,Whole Building,Whole Building,38.8832934,-77.02851429
PM05010127,0302_0074,5010127,Casa Iris Apartments,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,Incomplete report ,2201 12TH ST NW,NATIONAL HISPANIC COUNCIL ON AGING,1,2201 12th Street NW,Washington,DC,20009,1997,Multifamily Housing,Multifamily Housing,328289,328289,,,,,,,,3160.9,,,,,,Whole Building,Whole Building,38.9282748,-77.0430804
PM04036721,0304_2506,4036721,The Lincoln Condo,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,Data Under Review by DOEE,2001 12TH ST NW,THE LINCOLN CONDO,1,2001 12th St NW,Washington,DC,20001,2000,Multifamily Housing,Multifamily Housing,133735,133735,,33,33.6,69.5,68.3,363.3,2.7,7448.5,,653565,21833.05467,,,Whole Building,Whole Building,38.917783,-77.027743
PM03982256,0315_0027,3982256,M Street Towers,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,1112 M ST NW,WEST MADISON A CORPORATION,2,1112 M Street  NW,Washington,DC,20005,1964,Multifamily Housing,Multifamily Housing,95656,95656,83,61,65.1,110.3,113,432.2,4.5,3437.7,71,619839.7,37204.58415,,,Whole Building,Whole Building,38.90531858,-77.02783607
PM06257196,0315_0822,6257196,Mass Place Apartments: Mass Place,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,Incomplete report ,1111 MASSACHUSETTS AV,CCA MASSACHUSETTS AVE LP,2,1111 Massachusetts Avenue Northwest,Washington,DC,20005,2011,Multifamily Housing,Multifamily Housing,123113,95792,30,99.4,,160.8,,654.8,6.8,6742.6,32,905530.4,64348.85478,,,Whole Building,Whole Building,38.90486954,-77.02734166
PM01257635,0316_0032,1257635,1100L,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,1100 L ST NW,12TH & L STREET LTD PARTNERSHIP,2,1100 L Street NW,Washington,DC,20005,1972,Office,Office,474396,345115.6,86,59.5,62.4,166.6,171.4,2085.1,6,4657.1,,5039810,33418.87429,,,Whole Building,Whole Building,38.90355769,-77.02754935
PM01380124,0316_0035,1380124,1101 K Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,1101 K ST NW,RG-1101 K LLC,2,1101 K Street  NW,Washington,DC,20005,2006,Office,Office,453141,313852,85,52.8,52.8,165.9,165.9,1839,5.9,5206,,4858633,,,,Whole Building,Whole Building,38.90286804,-77.02741697
PM04508405,0316_0035,4508405,1101 K Street - DC Reporting,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,1101 K ST NW,RG-1101 K LLC,2,1101 K Street,Washington,DC,20005,2006,Office,Office,453141,322448,85,58.9,58.9,183.4,183.4,2093.4,6.5,5206,,5497298,2381.955243,,,Whole Building,Whole Building,38.90286804,-77.02741697
PM02701797,0317_0841,2701797,1101 New York Ave,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,1101 NEW YORK AV,1101 NEW YORK HOLDINGS LLC,2,1101 New York Ave NW,Washington,DC,20005,2007,Office,Office,512092,392374,78,68.6,69,211.6,212,2944.5,7.5,6943.2,,7676017,7367.592574,,,Whole Building,Whole Building,38.90168468,-77.02753907
PM03512672,0317_3086,3512672,1150 K St Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,Incomplete report ,1050 K ST NW,1150 K STREET CONDOMINIUM,2,1150 K St NW,Washington,DC,20005,2003,Multifamily Housing,Multifamily Housing,111618,98618,,40.4,42.3,109.4,111.4,394.4,4,1778,,926171,8248.483289,,,Whole Building,Whole Building,38.9021289,-77.0267476
PM02371512,0317_3086; 0343_0830,2371512,1050 K Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,1050 K ST NW,1150 K STREET CONDOMINIUM; K-11 PARTNERS LLC,2,1050 K Street NW,Washington,DC,20001,2008,Office,Office,263367,153440,93,43.8,43.8,137.4,137.4,744.7,4.9,1599.8,,1967592,,,,Whole Building,Whole Building,38.9021289,-77.0267476
PM01268754,0318_0032,1268754,1100 New York Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,Incomplete report ,1110 NEW YORK AV NW,AZ JH REIT DC LP,2,1100 New York Avenue  NW,Washington,DC,20005,1991,Office,Office,563484,580706,92,48.4,48.8,151.4,152.7,3108.5,5.4,,,8190163,1614.620888,,,Whole Building,Tenant and/or common areas (partial energy loads),38.90067675,-77.027446
PM03500628,0319_0822,3500628,Gaslight Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,1100 H ST NW,1100 H STREET LLC,2,1100 Hst,Washington,DC,20005,1942,Office,Office,146986,146986,49,89.2,91.4,247.3,249.5,1321,9,1836.5,,3166455,23070.44751,,,Whole Building,Whole Building,38.89953163,-77.02738352
PM03351514,0319_0863,3351514,33721-Washington Metro Center,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,0775 12TH ST NW,HMC RETIREMENT PROPERTIES LTD PARTNERSHIP,2,775 12th St Nw,Washington,DC,20005,1994,Hotel,Hotel,392603,450000,80,66.2,67.3,164.1,165.2,2759.3,6.1,22278,,5965524,94389.006,,,Whole Building,Whole Building,38.8993683,-77.02778798
PM03274029,0319_0864,3274029,700 Eleventh Street w/ Cosi,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,0700 - 1111 11TH ST NW,1991 ACQUISITION FUND ONE,2,700 Eleventh Street NW,Washington,DC,20001,1991,Office,Office,457926,347864,64,80.7,80.7,250.7,250.7,3088.3,8.9,5893.1,,8100003,4225.72297,,,Whole Building,,38.89874863,-77.02732212
PM03081163,0320_0028,3081163,Jemal's Square 320  LLC,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,1155 F ST NW,JEMAL'S SQUARE 320 LLC,2,1155 F ST,Washington,DC,20004,2009,Office,Office,380222,250692,88,54.3,54.3,170.4,170.4,1509,6,6342.1,,3986881,,,,Whole Building,Whole Building,38.89783365,-77.02731145
PM01419589,0320_0814,1419589,1120 G Street  NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,1120 G ST NW,RREEF AMERICA REIT II CORP UU,2,1120 G Street  NW,Washington,DC,20005,1981,Office,Office,180600,143997,70,114.2,115.6,336.5,336.4,1736.5,12.1,1885.6,,4373741,15255.55361,,,Whole Building,Whole Building,38.89814164,-77.02774081
PM02681003,0320_0815,2681003,1100 G Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,1100 G ST NW,"""11TH & G ST INVESTORS",2,666 11th Street NW,Washington,DC,20001,1968,Office,Office,144356,109959,83,66.1,67.9,172.2,170.9,698.6,6.4,2561.8,,1585947,18515.57014,,,Whole Building,,38.89814841,-77.02730068
PM00029225,0321_0027,29225,555 12TH STREET,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,Data Under Review by DOEE,0555 12TH ST NW,555 12TH REIT LLC,2,555 12TH STREET  NW,Washington,DC,20004,1994,Office,Office,795127,864085,,39,39,122.3,122.3,3733.8,4.3,10955.2,,9864730,,,,Whole Building,Whole Building,38.89719561,-77.02758511
PM01398167,0322_0020,1398167,1111 Penn,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,1111 PENNSYLVANIA AV NW,PRESIDENTIAL BUILDING LLC,2,1111 Pennsylvania Ave  NW,Washington,DC,20004,1967,Office,Office,511817,366128,65,83.8,83.8,263.3,263.3,3405.5,9.3,12182.3,,8997455,,,,Whole Building,Whole Building,38.89572976,-77.02727831
PM01242152,0322_0021,1242152,Evening Star Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,1101 PENNSYLVANIA AVE NW,TC 1101 PENNSYLVANIA AVENUE OWNER LLC,2,1101 Pennsylvania Ave. NW.,Washington,DC,20004,1898,Office,Office,336271,244160,76,57.6,57.6,181,181,1561.3,6.4,5474.9,,4125070,,,,Whole Building,Whole Building,38.89516346,-77.0274071
PM03641710,0322_0813,3641710,Hotel Harrington,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,0430 11TH ST NW,HARRINGTON HOTEL COMPANY INC,2,436 11th Street  N. W.,Washington,DC,20004,1914,Hotel,Hotel,100484,144799,,147.7,152.5,262.8,262.9,1567.4,10.8,11510.1,,2185963,139322.1482,,,Whole Building,Whole Building,38.89597172,-77.02726669
PM01787720,0327_0840,1787720,Potomac Center North,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,500 12TH ST SW,POTOMAC CENTER NORTH INC,6,500 12th Street SW,Washington,DC,20024,2005,Office,Office,671975,504155,90,68.4,68,214.9,213.5,3827.3,7.6,8554.1,,10111800,,,,Whole Building,Whole Building,38.88398594,-77.02748624
PM01427108,0327_0841,1427108,Potomac Center South,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,550 12TH ST SW,POTOMAC CENTER CF LLC,6,550 12TH STREET SW,Washington,DC,20024,1968,Office,Office,539713,443078,90,47.5,47.5,149.1,149.1,2334.3,5.3,4040.4,,6167172,,,,Whole Building,Whole Building,38.88326689,-77.02751086
PM03511931,0330_0800,3511931,HU Service Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,1000 FLORIDA AV NW,HOWARD UNIVERSITY  (LAND ONLY),1,2244 10th Street NW,Washington,DC,20059,1903,Office,Office,218339,233173,95,61.3,67.7,122.3,127.2,1132.6,4.9,6469.3,,1895870,78142.53211,,,Whole Building,Whole Building,38.92009841,-77.02631092
DC03330037,0333_0037,N/A,,,,12/31/2017,No Report Received,1000 U ST NW,PRINCE HALL FREEMASON & EASTERN STAR CHARITABLE,1,1000 U ST NW,Washington,DC,20001,1929,Other,Other - Undetermined Property Type,83104,,,,,,,,,,,,,,,,,38.9166973,-77.0263046
PM03997113,0341_2634,3997113,The Eleven Condominiums - Whole Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,1111 11TH ST NW,ELEVEN  A CONDOMINIUM,2,1111 Eleventh Street NW,Washington,DC,20001,2004,Multifamily Housing,Multifamily Housing,80258,80258,12,59.5,59.5,186.8,186.8,529.7,6.6,3259.6,58,1399494,,,,Whole Building,Whole Building,38.9049339,-77.0268662
PM04561126,0341_2648,4561126,Quincy Park,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,1001 L ST NW,QUINCY PARK CONDOMINIUM,2,1001 L Street NW,Washington,DC,20001,2004,Multifamily Housing,Multifamily Housing,80492,80492,88,47.8,48.8,95,95.4,304.1,3.8,4871.4,13,506035,21200.8048,,,Whole Building,Whole Building,38.9045642,-77.0262807
PM04531849,0342_0060,4531849,Cato Institute,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,1000 MASSACHUSETTS AV,CATO INSTITUTE INC,2,1000 Massachusetts Ave. NW,Washington,DC,20001,2012,Office,Office,104133,75977,55,72.7,74.5,228.4,233.9,613.1,8.1,1859.6,,1619700,,,,Whole Building,Whole Building,38.9032625,-77.0262975
PM04374591,0342_3134,4374591,1010 Massachusetts Avenue Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,Incomplete report ,1010 MASSACHUSETTS AVE NW,1010 MASS AVE CONDOMINIUM,2,1010 Massachusetts Ave NW,Washington,DC,20001,2007,Multifamily Housing,Multifamily Housing,168190,212593,,34.6,36.6,62.8,64.4,546.5,2.6,,,787153,46802.90131,,,Whole Building,Whole Building,38.9033358,-77.0266747
PM03487836,0343_0023,3487836,Embassy Suite Convention Center Hotel,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,1000 K ST NW,1000 K LLC,2,900 10th street nw,Washington,DC,20001,2005,Hotel,Hotel,227934,266537,31,111.8,114.6,242.2,244.5,2503.6,9.4,14893.1,,4665276,138901.7467,,,Whole Building,Whole Building,38.90225132,-77.02620603
PM01784866,0343_0831,1784866,1099 New York Ave.,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,1099 NEW YORK AV,CSREFI NEW YORK AVENUE WASHINGTON INC,2,1099 New York Ave  NW,Washington,DC,20001,2008,Office,Office,210235,181363,40,109.2,109.3,341.7,341.8,2190.9,12.1,5618.3,,5773627,1048.697404,,,Whole Building,Whole Building,38.9017343,-77.02667604
PM04226785,0345_0040,4226785,Hyatt Grand Washington DC,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,Data Under Review by DOEE,1000 H ST NW,HHR GHDC LIMITED PARTNERSHIP,2,1000 H St. NW,Washington,DC,20001,1983,Hotel,Hotel,404943,822175,37,91,92.1,222.6,223.8,6861.9,8.3,37478,,14647250,248133.0041,,,Whole Building,Whole Building,38.89934806,-77.02649002
PM04855921,0345_0040,4855921,Grand Hyatt Washington,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,Data Under Review by DOEE,1000 H ST NW,HHR GHDC LIMITED PARTNERSHIP,2,1000 H Street NW,Washington,DC,20001,1986,Hotel,Hotel,404943,404943,2,186.6,188.3,453.8,454,6902.3,17,40003.4,,14639600,256281.4841,,,Whole Building,Whole Building,38.89934806,-77.02649002
PM01384590,0345_0041,1384590,Washington Center,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,1001 G ST NW,WASHINGTON CENTER TRUSTEE LLC,2,1001 G Street NW,Washington,DC,20001,1989,Office,Office,562746,366607,80,63.9,63.9,200.7,200.7,2599.3,7.1,82.8,,6867350,,,,Whole Building,Whole Building,38.89871901,-77.02648772
DC03460805,0346_0805,N/A,,,,12/31/2017,No Report Received,1025 F ST NW,JEMAL'S CAYRE WOODIES LLC,2,1025 F ST NW,Washington,DC,20004,1902,Other,Other - Undetermined Property Type,475872,,,,,,,,,,,,,,,,,38.89818886,-77.02649509
PM01811655,0347_0022,1811655,Lincoln Square,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,555 11TH ST NW,555 11TH OWNER LLC,2,555 11th St. NW,Washington,DC,20004,2001,Office,Office,573411,414101,72,69.7,69.7,218.8,218.8,3201,7.7,11347,,8457181,,,,Whole Building,Whole Building,38.89670056,-77.0266524
PM02786219,0348_0832; 0348_0834,2786219,1001 Pennsylvania Avenue w/ Retail,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,1001 PENNSYLVANIA AVE NW; 1001 PENNSYLVANIA AV NW,TEACHERS INSURANCE & ANNUNITY ASSOCIATION OF AMERICA,2,1001 Pennsylvania Avenue,Washington,DC,20004,1985,Office,Office,950380,876744,81,58.7,0,177.6,0,5545.6,6.3,14439,,14250360,28601.89753,,,Whole Building,Whole Building,38.89598974,-77.02649029
PM03489954,0358_2762,3489954,Rhapsody Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,Incomplete report ,2120 VERMONT AVE NW,THE RHAPSODY CONDOMINIUM,1,2120 Vermont Ave NW,Washington,DC,20001,2006,Multifamily Housing,Multifamily Housing,124036,124036,76,58.8,59.7,135.9,135.6,642,5.2,5869.3,,1290667,28888.67941,,,Whole Building,Whole Building,38.9188229,-77.0249824
PM03411318,0361_0827,3411318,Grimke Redevelopment,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,1923 VERMONT AVENUE NW,GOVERNMENT OF THE DISTRICT OF COLUMBIA DEPARTMENT OF GENERAL SERVICES,1,1923 VERMONT AVENUE NW,Washington,DC,20001,2014,Office,Office,,57165,,25.4,25.4,79.7,79.7,161.1,2.8,,,425437,8.60000006,,,Whole Building,,38.92827481,-77.04308041
PM03365924,0365_0832,3365924,Seaton Elementary,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,1503 10TH STREET NW,GOVERNMENT OF THE DISTRICT OF COLUMBIA DEPARTMENT OF GENERAL SERVICES,6,1503 10TH STREET NW,Washington,DC,20001,1969,K-12 School,K-12 School,,69000,70,48.3,48.7,126.9,123.7,322.4,4.7,,,737391,8150.810183,,,Whole Building,,38.9106187,-77.02488247
PM03412584,0367_0821,3412584,District of Columbia Archives,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,1300 NAYLOR COURT NW,GOVERNMENT OF THE DISTRICT OF COLUMBIA DEPARTMENT OF GENERAL SERVICES,2,1300 NAYLOR COURT NW,Washington,DC,20001,1000,Non-Refrigerated Warehouse,Office,,27760,84,41.2,39.6,129.4,124.2,126.9,4.6,,,335365,1.00000002,,,Whole Building,,38.90790757,-77.02478317
PM03639769,0369_0068,3639769,Mount Vernon Plaza Associates,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,930 M ST NW,MOUNT VERNON PLAZA ASSOCIATES & DISTRICT OF COLUMBIA,2,930 M Street  NW,Washington,DC,20001,1989,Multifamily Housing,Multifamily Housing,219559,233217,47,45.9,45.9,144.2,144.2,1188,5.1,16690.2,18,3138804,,,,Whole Building,Whole Building,38.90545622,-77.02549583
PM06216274,0369_2763,6216274,Quincy Court Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,Data Under Review by DOEE,1117 10TH ST NW,QUINCY COURT CONDOMINIUM,2,1117 10th St NW,Washington,DC,20001,2006,Other - Lodging/Residential,Other - Lodging/Residential,118578,118578,,32,31.6,100.6,99.2,421.4,3.6,3325.9,,1113344,,,,Whole Building,Whole Building,38.904518,-77.0256633
PM03491858,0369_2805,3491858,The Whitman,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,Incomplete report ,0910 M ST NW,THE WHITMAN,2,910 M St. NW,Washington,DC,20001,2006,Multifamily Housing,Multifamily Housing,177379,177379,63,48.8,51.1,104.1,106.4,719.4,4.1,6213.2,,1313690,41820.37677,,,Whole Building,Whole Building,38.9056395,-77.024731
PM04175586,0370_0848,4175586,337Z9 Marriott Marquis Washington DC,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,0901 MASSACHUSETTS AV,WASHINGTON CONVENTION AND SPORTS AUTHORITY,2,901 Massachusetts Ave. NW,Washington,DC,20001,2014,Hotel,Hotel,1262010,1081202,30,105.4,105.9,245.8,244.9,10095.2,9.3,32694,,20492260,440356.9975,,,Whole Building,Whole Building,38.9031338,-77.0246989
PM04376167,0371_0824,4376167,Henley Park Hotel,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,Incomplete report ,0926 MASSACHUSETTS AV,TUDOR LP,2,926 Massachusetts Avenue Northwest D.C.,Washington,DC,20007,1918,Hotel,Hotel,59425,59425,,,,,,,,,,,,,,Whole Building,Whole Building,38.90315472,-77.02571048
PM02344141,0371_1349,2344141,901 K Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,901 K ST NW,901 K ST CONDO,2,901 K Street  NW,Washington,DC,20001,2009,Office,Office,201715,274148,85,54.4,55,170.8,172.8,1654.7,6,2815.4,,4371753,,,,Whole Building,Whole Building,38.90309449,-77.02526185
PM01273462,0371_1349; 1171_2893,1273462,Harbourside,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,901 K ST NW; 2900 K ST NW,901 K ST CONDO; THE RESIDENCES @ HARBOURSIDE,2,2900 K St. NW,Washington,DC,20007,2006,Office,Office,301200,160514,79,53.7,53.7,168,168,953.2,5.9,4002.5,,2511185,520.791208,,,Whole Building,Whole Building,38.9030944932548; 38.9019921940406,-77.0252618487748; -77.0586357436291
PM01435477,0372_0034,1435477,901 New York Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,901 NEW YORK AVE NW,BP/CRF 901 NEW YORK AVENUE LLC,2,901 New York Ave.  NW,Washington,DC,20001,2004,Office,Office,558645,604549,89,53.4,,166.1,,3555,5.9,8046.8,,9324579,4190.99996,45885,,Whole Building,Whole Building,38.90202336,-77.02526669
PM04850243,0374_5028; 0374_5029,4850243,The Residences at City Center,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,Incomplete report ,920 I STREET NW; 925 H STREET NW,I STREET CONDO; H STREET CONDO,2,920 I Street NW,Washington,DC,20001,2013,Multifamily Housing,Multifamily Housing,226098,374625,,85.8,87.9,211.7,213.9,2967.2,7.9,12793.2,,6385030,103641.0171,,,Whole Building,Whole Building,38.900467,-77.024568
PM04459310,0374_7033,4459310,The Apartments at City Center,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,825 10TH ST NW,CCDC RESIDENTIAL RENTAL LLC (IMPS ONLY),2,825 and 875 10th Street NW,Washington,DC,20001,2013,Multifamily Housing,Multifamily Housing,160542,581548,13,67.7,69.6,155.9,156,3456.2,5.9,24117,31,6912534,158114.2899,,,Whole Building,Whole Building,38.90016,-77.025726
PM01328161,0375_0125,1328161,Victor Building - 252510,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,0750 9TH ST NW,750 NINTH STREET LLC,2,750 9th Street NW,Washington,DC,20001,2000,Office,Office,322040,344081,91,44.2,44.3,138.9,139.1,1687.9,4.9,5545.6,,4459480,,,,Whole Building,Whole Building,38.89951066,-77.02440803
PM03089076,0375_0836; 0375_7006,3089076,Jamestown Premier 733 10th Street Corp.,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2017,In Compliance,733 10TH ST NW,FIRST CONGREGATIONAL UNITED CHURCH OF CHRIST; 733 TENTH LL LLC,2,733 10th St  NW,Washington,DC,20001,2011,Office,Office,419328,200969,78,60.9,61.2,187.2,187.5,1335.1,6.6,4508.9,,3473003,3871.028399,,,Whole Building,Whole Building,38.89855076,-77.0255683
