Address,Atlanta Building ID,Blank ,Views by Parameter,City,ENERGY STAR Score,Number of Buildings,Number of Records,Postal Code,Grouped Property Types,Primary Property Type - Self Selected,Property GFA - Calculated (Buildings) (ft²),Property Id,Property Name,Property Notes,Site EUI (kBtu/ft²),Site Energy Use (kBtu),State/ Province,Table Names,Total GHG Emissions (Metric Tons CO2e) (group),Total GHG Emissions (Metric Tons CO2e),Water Use (kGal),Water Use Intensity (gal/ft²),Year Built,Year Ending,Year
233 Peachtree St NE,968186_a & 968186_b, ,73,Atlanta,73,,1,30303,Office,Office,468000,1400426,PTC - Harris Tower,Not Available,87.4,40903200,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,5241.8999999999896,5241.900000000,9888.84,21.13,1978,12/31/2014,1/1/2015
285 Peachtree Center Ave,652401_a  652401_b, ,87,Atlanta,87,1,1,30303,Office,Office,508213,1398277,PTC - Marquis II,Not Available,55.4,28155000,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,5089.8000000000002,5089.8,4202.92,8.27,1987,12/31/2014,1/1/2015
133 Luckie Street NW,608979, ,54,Atlanta,54,1,1,30303,Office,Office,57690,1277679,The Turner Building,Not Available,96.6,5572854,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,734.10000000000002,734.1,,,1926,12/31/2014,1/1/2015
50 Hurt Plaza,710963, ,93,Atlanta,93,1,1,30303,Office,Office,538213,1190625,The Hurt Building,"1. The parking garage is included in this profile. It has a separate ABID Number:  369389_a
2. Some water bills are estimated bills by City of Atlanta",48.8,26264800,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,3514.9000000000001,3514.9,,,1913,12/31/2014,1/1/2015
191 Peachtree Street NE,199316, ,81,Atlanta,81,1,1,30303,Office,Office,1533256,11793,191 Peachtree Tower,Not Available,59.8,91688700,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,15974.6,15974.6,10533.5,6.87,1990,12/31/2014,1/1/2015
"760 Pollard Blvd., SW",407514, ,,Atlanta,,,1,30315,Hospital/Medical,Other - Specialty Hospital,56584,4570064,Our Lady of Perpetual Help Home,This facility is just one building. We are submitting on behalf of 407514_a and 407514_b.,58,3281872,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,507.19999999999902,507.200000000,589.605,10.42,1973,12/31/2014,1/1/2015
2866 Forrest Hills Dr Sw,540592, ,,Atlanta,,,1,30315,"Other, Mixed Use",Other,27475,4552196,U-Haul of Forrest Hills Dr,Not Available,7.4,203315,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,36.5,36.5,,,1965,12/31/2014,1/1/2015
755 Hank Aaron Drive SE,Not Available, ,,Atlanta,,,1,30315,Stadium,Stadium (Closed),906600,4546250,Turner Field,Not Available,88.4,80143440,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,14492.6,14492.6,,,1996,12/31/2014,1/1/2015
Lakewood Ave,816629, ,,Atlanta,,,1,30315,Retail/ Entertainment,Strip Mall,130400,4539994,Crossroads,"Property is individually metered to the individual suites/spaces for electrical by Ga Power.  The electrical usage entered is for the Leasing Office ONLY.

Owner is only responsible for overall water consumption.",0.3,39120,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,6.0999999999999899,6.100000000,961.048,7.37,1969,12/31/2014,1/1/2015
1919 metropolitan parkway,701851, ,,Atlanta,,,1,30315,Retail/ Entertainment,Other - Mall,,4522643,Max Kim,Not Available,,,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,No Values Given,0,,,1955,12/31/2014,1/1/2015
"99 University Avenue, SW",292783_a, ,,Atlanta,,,1,30315,"Other, Mixed Use",Transportation Terminal/Station,20000,4482709,"Southern Freight, Inc.",Not Available,132.2,2644000,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,313.0,313,71.8,3.59,1950,12/31/2014,1/1/2015
477 Windsor Street,907988, ,,Atlanta,,1,1,30315,Municipal,Municipal,52411,4293106,OEAM-Dunbar Recreation Center,Water data: irrigation account with no usage reported.,78.9,4135230,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,588.5,588.5,,,1990,12/31/2014,1/1/2015
180 Poole Creek Road,842433, ,,Atlanta,,1,1,30315,"Other, Mixed Use",Other,43959,4293104,Police Dept. Academy,"This account is likely a duplicate of ""Police Training Academy.""",20.7,909951,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,164.69999999999899,164.700000000,,,2002,12/31/2014,1/1/2015
120 Claire Drive,927699, ,,Atlanta,,1,1,30315,"Other, Mixed Use",Other,30500,4293096,PW ST. OPS-Traffic Signals-Flashers,Not Available,8.3,253150,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,13.4,13.4,948.55,31.1,2005,12/31/2014,1/1/2015
800 Cherokee Avenue,579204, ,,Atlanta,,1,1,30315,Municipal,Municipal,29554,4293084,DPRCA-Grant Park-Atlanta Cyclorama,This property may no longer be owned by the City.,70.9,2095380,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,297.5,297.5,,,1925,12/31/2014,1/1/2015
780 Custer Avenue,104653, ,,Atlanta,,1,1,30315,"Other, Mixed Use",Other,35424,4293078,WW-Custer Avenue CSO,"Gas data: according to UMS and gas utility, there is no gas data for this address.",22.6,800582,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,144.599999999999,144.600000000,11347.4,320.33,2006,12/31/2014,1/1/2015
360 Englewood Avenue,529045, ,5,Atlanta,5,1,1,30315,Storage & Distribution,Non-Refrigerated Warehouse,33276,4278152,WW-Warehouse-Office-Englewood Ave,Gas data: there is no Nov. 2014 gas data according to utility.,81.1,2698680,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,385.19999999999902,385.200000000,83.8555,2.52,2005,12/31/2014,1/1/2015
407 Ashwood Ave. S W,952312, ,,Atlanta,,1,1,30315,"Other, Mixed Use",Other,36125,4278147,Fire Training Facility,Not Available,44.4,1603950,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,203.599999999999,203.600000000,20.23,0.56,2005,12/31/2014,1/1/2015
1600 Pryor Rd.,179465, ,,Atlanta,,1,1,30315,Retail/ Entertainment,Fitness Center/Health Club/Gym,55245,4075357,VILLAGES AT CARVER,Not Available,190.9,10546300,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,1103.5,1103.5,,,2007,12/31/2014,1/1/2015
1835 Henry Thomas Drive,388824, ,,Atlanta,,1,1,30315,Municipal,Municipal,19500,3965358,DPRCA-Thomasville Heights-Rec Ctr,Water data: meter on site but no usage recorded.,33.3,649350,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,81.0,81,,,1976,12/31/2014,1/1/2015
211 Thornton Street,430189, ,,Atlanta,,1,1,30315,Municipal,Municipal,9496,3965348,DPRCA-Arthur Langford Park/Rec Ctr,Water data: there is only an irrigation account attached to this address and it shows virtually no usage.,22.4,212710,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,11.300000000000001,11.3,,,1965,12/31/2014,1/1/2015
880 Cherokee Avenue,628373, ,,Atlanta,,1,1,30315,"Other, Mixed Use",Other,3292,3935738,Police Zone 3 - Cherokee Ave,Not Available,115.8,381214,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,51.100000000000001,51.1,71.7656,21.8,1990,12/31/2014,1/1/2015
"1955 Compton Drive, S.E.",884203, ,,Atlanta,,1,1,30315,Municipal,Municipal,6200,3935735,DPRCA-Southbend Ctr Arts ~ Culture,Gas data: there is no gas data for this account according to UMS and utility.,53.9,334180,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,60.399999999999899,60.400000000,0,0,2005,12/31/2014,1/1/2015
2000 Lakewood Ave,102640, ,,Atlanta,,1,1,30315,Municipal,Municipal,45663,3935731,OEAM-John Birdine Neighborhood CTR,"Gas data: there is no gas data for this account according to UMS and utility company.

Water data: no account at address.",55.1,2516030,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,455.19999999999902,455.200000000,,,1979,12/31/2014,1/1/2015
"10 Cleveland Avenue, SW",622855, ,,Atlanta,,1,1,30315,Municipal,Fire Station,2873,3926664,Fire Station 30,Not Available,405.4,1164710,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,135.5,135.5,369.497,128.61,1956,12/31/2014,1/1/2015
"1568 Jonesboro Road, S.E.",225867, ,,Atlanta,,0,1,30315,Municipal,Fire Station,7500,3926656,Fire Station 2,Not Available,137.9,1034250,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,106.7,106.7,680.4,90.72,1978,12/31/2014,1/1/2015
2685 Stewart Ave. SW,751231, ,62,Atlanta,62,1,1,30315,Retail/ Entertainment,Supermarket/Grocery Store,84400,2980055,01100364 -- Atlanta,Not Available,196.5,16584600,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,2737.4000000000001,2737.4,,,1987,12/31/2014,1/1/2015
4771 South Atlanta Road South East,Not Available, ,,Atlanta,,,1,30339,Storage & Distribution,Self-Storage Facility,81324,4523526,CubeSmart - 4771 South Atlanta Road South East,Not Available,6.2,504209,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,91.099999999999895,91.100000000,,,2000,12/31/2014,1/1/2015
450 INTERSTATE N PKWY,17 -0210- LL-028-2, ,,Atlanta,,,1,30339,Office,Office,107961,4509456,CO/GLC ATFIGA/450 INTERSTATE N PKWY/ATLANTA/GA,Not Available,,,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,No Values Given,,9985.31,92.49,1997,12/31/2014,1/1/2015
1360 Peachtree Street,269363, ,89,Atlanta,89,1,1,30339,Office,Office,250128,1069295,One Midtown Plaza,Not Available,52.2,13056700,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,2361.9000000000001,2361.9,1935.99,7.74,1984,12/31/2014,1/1/2015
880 West Peachtree Street,781556, ,,Atlanta,,,1,30309,Municipal,Other - Services,52000,4546068,Drew Eckl & Farnham LLP,Not Available,207,10764000,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,1394.0999999999899,1394.100000000,1755,33.75,1971,12/31/2014,1/1/2015
1550 Peachtree st. NE,Not Available, ,39,Atlanta,39,,1,30309,Office,Office,130840,4537640,Equifax,Not Available,102,13345680,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,2382.9000000000001,2382.9,2973.99,22.73,1999,12/31/2014,1/1/2015
1080 Peachtree St. NE,104531, ,100,Atlanta,100,,1,30309,Multi Family,Multifamily Housing,749373,4537488,1010 Midtown,"The EUI is reported as very low energy use for the following reason:
The energy use submitted is only for common areas (hallways, stairwells, parking garage, lobby, club room, fitness center, Management office, Maintenance Team office, loading dock etc.)  the usage does NOT include energy use for the 425 residential units nor the interiors of the restaurants and commercial space of the property.  Please let me know if you have any questions as I would be glad to assist you.",16.4,12289700,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,2221.4000000000001,2221.4,,,2008,12/31/2014,1/1/2015
1430 W Peachtree St.,820821, ,,Atlanta,,,1,30309,Office,Office,73992,4526614,1430 W Peachtree Office Condominium,Not Available,86.5,6400308,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,1158.5,1158.5,914.541,12.36,1959,12/31/2014,1/1/2015
97 10th Street NW,Not Available, ,,Atlanta,,,1,30309,Lodging,Hotel,164140,4522988,Hilton Garden Inn Atlanta Midtown,Not Available,104,17070560,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,2237.8000000000002,2237.8,7315.72,44.57,2012,12/31/2014,1/1/2015
817 W. Peachtree St. NW,211816, ,50,Atlanta,50,,1,30309,Office,Office,239020,4522229,The Biltmore,Not Available,80.2,19169404,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,3467.9000000000001,3467.9,,,1924,12/31/2014,1/1/2015
1776 Peachtree Street NW,Not Available, ,,Atlanta,,1,1,30309,Office,Office,215453,4489613,1776 Peachtree Street,Not Available,90.4,19477000,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,2894.8000000000002,2894.8,3455.87,16.04,1963,12/31/2014,1/1/2015
2020 A Peachtree Rd NE,Not Available, ,,Atlanta,,1,1,30309,Hospital/Medical,Other - Specialty Hospital,575000,4484067,Hospital,Not Available,52.1,29957500,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,4580.3999999999896,4580.400000000,,,1986,12/31/2014,1/1/2015
2020 Peachtree Rd NE,Not Available, ,,Atlanta,,4,1,30309,Hospital/Medical,Other - Specialty Hospital,748000,4483994,Shepherd Center,This building will get deleted as soon as I know how to without deleting all else,40.3,30144400,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,5426.0,5426,,,1986,12/31/2014,1/1/2015
75 - 14th street,Not Available, ,,Atlanta,,,1,30309,"Other, Mixed Use",Mixed Use Property,1088900,4483283,"four seaons hotel, atlanta",Not Available,61.4,66858460,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,9407.3999999999905,9407.400000000,21701.8,19.93,1992,12/31/2014,1/1/2015
1065 Peachtree St,488693, ,9,Atlanta,9,,1,30309,Lodging,Hotel,365000,4482316,Loews Atlanta Hotel,Not Available,120.3,43909500,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,6579.5,6579.5,17629.5,48.3,2010,12/31/2014,1/1/2015
1200 West Peachtree Street,944393_B, ,,Atlanta,,,1,30309,"Other, Mixed Use",Parking,25589,4482285,One Atlantic Center Garage,Not Available,328.6,8408550,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,1521.0999999999899,1521.100000000,2688.64,105.07,1987,12/31/2014,1/1/2015
1155 Peachtree St NE,604867, ,,Atlanta,,,1,30309,Office,Office,548620,4482234,Campanile Building,We are 60% occupied including office tenants and building use.  The other 40% is vacant space as of July 2015.,34.9,19146838,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,3468.0999999999899,3468.100000000,3055.81,5.57,1987,12/31/2014,1/1/2015
1545 Peachtree Street NE,492363, ,,Atlanta,,,1,30309,Office,Office,492961,4479630,Peachtree Pointe,"The parking deck is shared for OPP,TPP and Gallary Uptown",68.5,33767800,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,5178.0,5178,6443,13.07,1999,12/31/2014,1/1/2015
268 Westminster Drive Ne,966203, ,,Atlanta,,1,1,30309,Storage & Distribution,Self-Storage Facility,90138,4479571,08391-Ansley Park,Not Available,12.5,1126725,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,203.30000000000001,203.3,98.2504,1.09,2006,12/31/2014,1/1/2015
1438 west peachtree st,486172, ,,Atlanta,,,1,30309,Office,Office,42000,4478229,Lyrasis,Not Available,,,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,206.599999999999,206.600000000,,,1954,12/31/2014,1/1/2015
1470 Spring St,834313, ,30,Atlanta,30,1,1,30309,College/University & Residence Hall/Dormitory,Residence Hall/Dormitory,89322,4477019,Spring House,Not Available,79.2,7074300,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,1050.9000000000001,1050.9,,,1967,12/31/2014,1/1/2015
1611 W Peachtree St,825474, ,,Atlanta,,1,1,30309,College/University & Residence Hall/Dormitory,College/University,84995,4477017,Digital Media Center,Not Available,67.3,5720160,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,937.70000000000005,937.7,,,1954,12/31/2014,1/1/2015
1600 Peachtree St NW,263145, ,,Atlanta,,1,1,30309,College/University & Residence Hall/Dormitory,College/University,312000,4477015,1600 Peachtree,Square footage of parking garage is an estimate,130.5,40716000,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,5756.5,5756.5,,,1956,12/31/2014,1/1/2015
1800 Peachtree Street NW,568009, ,,Atlanta,,1,1,30309,Office,Office,150000,4475344,Macquarium Building,Not Available,23.4,3510000,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,203.0,203,,,1965,12/31/2014,1/1/2015
1330 Spring Street,340491, ,84,Atlanta,84,,1,30309,Office,Office,47318,4475227,Midtown Heights 1330,Not Available,63,2981034,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,413.19999999999902,413.200000000,,,1999,12/31/2014,1/1/2015
1350 Spring Street,340491, ,71,Atlanta,71,,1,30309,Office,Office,83504,4474777,Midtown Heights 1350,Not Available,72.7,6070740,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,910.39999999999895,910.400000000,,,1999,12/31/2014,1/1/2015
"1101 Juniper Street, NE",494676, ,80,Atlanta,80,,1,30309,Multi Family,Multifamily Housing,463050,4472962,Park Central Condominiums,Not Available,33.9,15697395,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,2794.1999999999898,2794.200000000,9835.18,21.24,1998,12/31/2014,1/1/2015
151 14th St NW,914135, ,,Atlanta,,,1,30309,Storage & Distribution,Self-Storage Facility,73260,4472722,14th Street Storage,Not Available,17.4,1274724,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,230.69999999999899,230.700000000,0,0,1950,12/31/2014,1/1/2015
1819 Peachtree Rd NE,423418, ,75,Atlanta,75,,1,30309,Office,Office,173544,4457749,Peachtree Palisades East,Not Available,70.3,12200100,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,1573.3,1573.3,,,1964,12/31/2014,1/1/2015
"1422 West Peachtree Street, NW",Not Available, ,,Atlanta,,1,1,30309,College/University & Residence Hall/Dormitory,College/University,81096,4456401,John Marshall Law School,Not Available,84.3,6836390,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,995.29999999999905,995.300000000,,,1964,12/31/2014,1/1/2015
1275 Piedmont Ave,652874, ,,Atlanta,,1,1,30309,Municipal,Municipal,10363,4293108,DPRCA-Piedmont Park,"Water data: no account at address.
Gas data: the gas data at this address is attached to the Piedmont Park Pool and Bath House.",43.6,451827,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,81.799999999999898,81.800000000,,,1995,12/31/2014,1/1/2015
2045 Peachtree Road NE,701148, ,50,Atlanta,50,1,1,30309,Office,Medical Office,72755,4113685,2045 Peachtree Road,Not Available,116.8,8497784,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,1238.2,1238.2,2120.08,29.14,1957,12/31/2014,1/1/2015
2045 Peachtree Road NE,701148, ,50,Atlanta,50,1,1,30309,Office,Medical Office,72755,4113685,2045 Peachtree Road,Not Available,116.8,8497784,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,1238.2,1238.2,2120.08,29.14,1957,12/31/2014,1/1/2015
1315 Peachtree St.,567513, ,28,Atlanta,28,,1,30309,Office,Office,77490,4099028,1315 Peachtree,Not Available,197.1,15273279,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,1293.9000000000001,1293.9,1215.82,15.69,1986,12/31/2014,1/1/2015
1447 Peachtree Streeet,643764, ,82,Atlanta,82,,1,30309,Office,Office,132933,4099014,Silhouette Midtown,Not Available,76.1,10116200,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,1375.2,1375.2,1447.64,10.89,1964,12/31/2014,1/1/2015
"1230 Peachtree St., NE",363281, ,73,Atlanta,73,1,1,30309,Office,Office,852777.7,3987187,Promenade [clean],Not Available,54.8,46732200,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,8447.7999999999902,8447.800000000,,,1990,12/31/2014,1/1/2015
"1230 Peachtree St., NE",363281, ,73,Atlanta,73,1,1,30309,Office,Office,856038,3987187,Promenade [clean],Not Available,54.5,46654071,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,8447.7999999999902,8447.800000000,,,1990,12/31/2014,1/1/2015
1280 Peachtree St. NE,934395_b, ,,Atlanta,,,1,30309,"Museums, Performing Arts and Zoos",Museum,336550,3966548,Woodruff Arts Center High Museum of Art,Not Available,193.7,65189700,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,7926.6000000000004,7926.6,9716.2,28.87,1983,12/31/2014,1/1/2015
"176 10th Street, NE Unit 5909",541280, ,,Atlanta,,1,1,30309,Municipal,Fire Station,6500,3963177,Fire Station 15,"TO DO LIST (as of 10.20.2014):

1. Gross Floor Area could not be verified by drawings, as they are not the as-built version. Based on google maps engine, the facility is 9,069 sf and not 9,900. This must be verified by COA.

2. Water usage is 0 for 2009-2010, indicating a potential error. They also appear to be using almost 3 times as much water as a comparable fire station with similar number of occupants. 

3. Gas data must be vetted by COA comparing it to AGL's data.",127.9,831350,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,91.299999999999898,91.300000000,399.88,61.52,1986,12/31/2014,1/1/2015
165 16th Street NE,315371, ,,Atlanta,,1,1,30309,Municipal,Fire Station,14445,3963171,Fire Station 11,Water data: The account is a Fire Services Account (normally an internal fire system such as a sprinkler) and shows no usage.,71.6,1034260,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,123.2,123.2,,,2010,12/31/2014,1/1/2015
1280 Peachtree St. NE,934395_a, ,,Atlanta,,,1,30309,"Museums, Performing Arts and Zoos",Performing Arts,295000,3962687,Woodruff Arts Center Memorial Arts Building,Not Available,66.9,19735500,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,3568.0,3568,,,1920,12/31/2014,1/1/2015
1085 Piedmont Avenue,887116, ,,Atlanta,,1,1,30309,Municipal,Municipal,10281,3934901,DPRCA-Piedmont Pk-Pool ~ Bath House,Water data: no account at address.,85.9,883138,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,110.0,110,,,1926,12/31/2014,1/1/2015
1601 W Peachtree St NE,Not Available, ,13,Atlanta,13,,1,30309,Office,Office,192000,3829470,WSB TV,Not Available,124.8,23961600,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,4335.3000000000002,4335.3,2847.36,14.83,1998,12/31/2014,1/1/2015
999 Peachtree St NE,874816, ,79,Atlanta,79,1,1,30309,Office,Office,654356,3685889,999 Peachtree,Not Available,59,38607004,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,6758.6000000000004,6758.6,8231.8,12.58,1987,12/31/2014,1/1/2015
1075 Peachtree Street  NE,769825, ,100,Atlanta,100,1,1,30309,Office,Office,782728,3668720,1075 Peachtree Office Building,"The restaurant floor area of 12,029 square feet is deducted from the Gross Floor Area of the profile for 1075 Peachtree Office Building since it is 

1. Less than 10% of the Gross Floor Area of the building
2. A restaurant
3. Sub-metered
4. On the first floor of an office building",35.2,27552000,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,4214.8999999999896,4214.900000000,10410.3,13.3,2010,12/31/2014,1/1/2015
1075 Peachtree Office Building,769825, ,90,Atlanta,90,1,1,30309,Office,Office,799057,3668720,1075 Peachtree Office Building,Not Available,51.8,41391200,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,7493.3999999999896,7493.400000000,,,2010,12/31/2014,1/1/2015
1100 Spring St,408500, ,,Atlanta,,1,1,30309,Office,Office,156000,3424545,1100 Spring Street,The sq. ft. information is correct and the primary function is an office building,106.7,16645200,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,2488.0,2488,3527.16,22.61,1970,12/31/2014,1/1/2015
35 14th Street,626601, ,66,Atlanta,66,1,1,30309,Lodging,Hotel,342000,3351346,337p6-Atlanta Marriott Midtown Suites,Not Available,64,21888000,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,2633.4000000000001,2633.4,7907.04,23.12,1990,12/31/2014,1/1/2015
35 14th Street,626601, ,66,Atlanta,66,1,1,30309,Lodging,Hotel,342000,3351346,337p6-Atlanta Marriott Midtown Suites,Not Available,64,21888000,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,2633.4000000000001,2633.4,7907.04,23.12,1990,12/31/2014,1/1/2015
1700 Monroe Dr.,135895, ,49,Atlanta,49,1,1,30309,Retail/ Entertainment,Supermarket/Grocery Store,53635,2980031,01100298 -- Atlanta,Not Available,250.2,13419477,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,2021.7,2021.7,,,1982,12/31/2014,1/1/2015
1420 Peachtree Street,976886, ,97,Atlanta,97,1,1,30309,Office,Office,178813,2003770,Pershing Park Plaza,Not Available,41.8,7474380,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,1353.0,1353,4180.65,23.38,1989,12/31/2014,1/1/2015
10 10th St NW,270555, ,88,Atlanta,88,1,1,30309,Office,Office,441625,1695879,Ten 10th Street,Not Available,46.7,20623900,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,3732.8000000000002,3732.8,44.1625,0.1,2001,12/31/2014,1/1/2015
1275 Peachtree Street,Not Available, ,73,Atlanta,73,1,1,30309,Office,Office,155269,1659456,Boys & Girls Clubs of America Headquarters,Not Available,64,9937216,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,1798.8,1798.8,2516.91,16.21,1984,12/31/2014,1/1/2015
10 Peachtree Place,969731, ,81,Atlanta,81,,1,30309,Office,Office,283576,1330696,Ten Peachtree Place,"Due to the late addition of the natural gas meter to this account, in January 2015 change the baseline to January 2015.",96.2,27280000,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,4887.5,4887.5,4222.45,14.89,1987,12/31/2014,1/1/2015
1201 W. Peachtree St.,944393_A, ,87,Atlanta,87,,1,30309,Office,Office,1172547,1326044,One Atlantic Center,Not Available,45.6,53468100,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,9663.2999999999902,9663.300000000,4584.66,3.91,1987,12/31/2014,1/1/2015
1170 Peachtree Street,Not Available, ,86,Atlanta,86,1,1,30309,Office,Office,541157,1098162,Proscenium Building,Not Available,55.2,29871900,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,5402.3999999999896,5402.400000000,,,2000,12/31/2014,1/1/2015
1349 West Peachtree Street NE,695591, ,90,Atlanta,90,1,1,30309,Office,Office,296954,1070157,Two Midtown Plaza,Not Available,51,15144654,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,2740.1999999999898,2740.200000000,2069.77,6.97,1985,12/31/2014,1/1/2015
1375 Peachtree Street NE,879708, ,89,Atlanta,89,,1,30309,Office,Office,410357,1050436,Pershing Point Plaza,Not Available,51.3,21051300,Georgia,Data Request_Atlanta 2015 Transparency Report (3).xlsx/2015 CEP,3458.0,3458,3947.63,9.62,1960,12/31/2014,1/1/2015
