Property Name,Reported,Property Type,Address,ZIP, Gross Area (sq ft) ,Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built, GHG Emissions (MTCO2e) ,GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf), Onsite Renewable (kWh) ,User Submitted Info,User Submitted Link,Tax Parcel,Years Reported
Dudley Branch,Municipal ,Library,65 Warren St,02116,25933,110,,,Library,2000,172.3,6.6,2852130,0.310386653,0.689626236,,Not Available,,,,1201180000,"2016, 2017, 2018, "
650 Albany Street,Compliant,Laboratory,650 Albany Street,02118,196458,253.6,,,Laboratory,1999,3525,17.9,49811979.1,0.512200116,0.000411862,0.48740922,74.68,,,,801066200,"2014, 2015, 2016, 2017, 2018, "
Hamilton Northeast LLC,Compliant,Multifamily Housing,650 Columbus Ave,02118,181399,44.1,97,,Multifamily Housing,1990,469.1,2.6,8000283.4,0.252971186,0.747039273,,55.57,,"As of 09/14/2018, we are still waiting on aggregated electric data.  Will correct PM once the data is received.  Used temporary information in the meantime.  ",,901323502,"2017, 2018, "
TYNAN,Municipal ,K-12 School,650 E. Fourth St.,02127,120000,72.1,74,,K-12 School,1972,498.9,4.2,8648059.2,0.194156908,0.805851118,,Not Available,,,,602270000,"2016, 2017, 2018, "
D-04 Station,Municipal ,Police Station,650 Harrison Ave,02118,27224,213.5,,,Police Station,2000,363.1,13.3,5811210.4,0.39746435,0.602552078,,Not Available,,,,801170010,"2016, 2017, 2018, "
Charlesbank Apartments: 650 Huntington Avenue,Compliant,Multifamily Housing,650 Huntington Avenue,02115,228052,95.4,50,,Multifamily Housing,2012,1239.6,5.4,21746054.7,0.165000766,0.835006058,,42.29,,Parcel ID 1000015000 is associated with 650 Huntington in Tax Assessor Database but on CBL it is listed as Longwood Ave. ,,1000015000,"2015, 2016, 2017, 2018, "
"Buildings 1, 2, 3 & 4 (Rollup)",Compliant,College/University,650-665-677 Huntington Ave,02115,534676,253.8,,,College/University,1960,9754.1,18.2,135701736.2,0.306114592,0.004924772,0.368359324,1459.92,,"This property is being submitted as a roll-up of 4 different buildings within this Parcel. Profile includes the following buildings with combined total energy and water consumption:

665 Huntington Ave - Building #1
665 Huntington Ave - Building #2
650 Huntington Ave - Building #3
677 Huntington Ave - Building #4 ",,401880000,"2016, 2017, 2018, "
HYDE PARK HS,Municipal ,K-12 School,655 Metropolitan Ave.,02136,186589,103.4,33,,K-12 School,1929,1101,5.9,19302214.3,0.166710312,0.833296591,,Not Available,,,,1807529000,"2016, 2017, 2018, "
Westland Ave Apts: 65-67 Westland Ave,Voluntary,Multifamily Housing,65-67 Westland Ave,02115,13372,57,,,Multifamily Housing,1900,45.7,3.4,762655.8,0.29161252,0.7083996,,35.91,,check sq ft and bdrms,,401465000,"2018, "
Cap Long Wharf,Compliant,Office,66 Long Wharf,02110,70000,43.1,100,,Office,1900,172.3,2.5,3016412.8,0.169815655,0.830191329,,33.76,,,,303005000 303006000 303007000 303008000 303009000 303010000 303011000 303012000 303013000             ,"2016, 2017, 2018, "
Class of 1959 Chapel,Compliant,Worship Facility,66 North Harvard Street,02163,6932,101,1,,Worship Facility,1992,48.8,7,700143.3,0.314443934,,0.68556894,46.27,,"Until Jan 2017, water was allocated by gross square footage for this property, and did not represent actual usage. 2017 monthly readings are accurate.",,2200530000,"2014, 2015, 2016, 2017, 2018, "
660 Beacon Street,Compliant,Retail Store,660 Beacon Street,02215,74431,Not Available,,,Retail Store,1909,0,0,Not Available,,,,Not Available,,"SOLD BY BU, EFFECTIVE 7/1/2017. - ",,503752000,"2014, 2015, 2016, 2017, 2018, "
660 Beacon Street,Compliant,Office,660 Beacon Street,02215,63423,104,9,,Office,1990,505.3,8,6594859.7,0.980219614,,,12.03,,"Eversource provided whole building electric usage directly through online request portal. 

Supreme Energy provided the consumption report for all 2017 oil deliveries.

There is no gas usage at the building. ",,503752000,"2015, 2016, 2017, 2018, "
660 Huntington Ave-collegeUniversity,Compliant,College/University,660 Huntington Ave,02115,58315,0.4,,,College/University,2013,1.7,0,21716.6,1.000046005,,,11.99,,,,1000037000,"2017, 2018, "
Glass Hall,Compliant,Office,660 Soldiers Field Road,02163,7563,70.7,80,,Office,1926,36.8,4.9,534838,0.228918787,,0.771090872,34.33,,"Until Jan 2017, water was allocated by gross square footage for this property, and did not represent actual usage. 2017 monthly readings are accurate.
",,2200530000,"2014, 2015, 2016, 2017, 2018, "
660 Washington - 29803,Compliant,Multifamily Housing,660 Washington St.,02111,611442,64.4,39,,"Multifamily Housing, Restaurant, Swimming Pool",2006,2488.6,4.1,39350860.3,0.42985302,0.57016477,,30.2,,"2017-1  Parking Garage - Exclude from sq ft and aggregated electric meter list since it has its own electric meter/account.  
2017-2  Lighting retrofits:  may-2017 and sep-2015.
2016-1  Water resident submetering installed (sep-2016).
2014-1  Parking Garage - Sq ft & electric use included.
2014-2  Restaurant listed separate since operating hours significantly differ from apt bldg.
",,304965012,"2015, 2016, 2017, 2018, "
Mission Main I - 661 Parker St,Compliant,Multifamily Housing,661 Parker St,02120,102513,58.1,79,,"Multifamily Housing, Parking",2000,356.7,3.5,5959607.9,0.286129133,0.713882683,,59.96,,"This parcel consists of 3 buildings that share gas and water meters.
661 Parker St: 32487 sf, 17 units
1 Smith St: 36924 sf, 24 units
2 Horadan Way: 33102 sf, 22 units",,1000001050,"2015, 2016, 2017, 2018, "
662 Huntington Ave-collegeUniversity,Compliant,College/University,662 Huntingtn Ave,02115,51729,135.6,,,College/University,1995,434.5,8.4,7016175.1,0.373942958,0.62607253,,Not Available,,,,1000150000,"2014, 2015, 2016, 2017, 2018, "
664 Malvern Street,Compliant,Other - Stadium,664 Malvern Street,02215,73500,0.2,,,Other - Stadium,1962,1,0,13608.2,1.000032662,,,5.02,,,,2100415000,"2014, 2015, 2016, 2017, 2018, "
The Kensington,Compliant,Multifamily Housing,665 Washington Street,02111,315480,60.9,54,,"Multifamily Housing, Other, Parking",2013,1296.4,4.1,19202932.2,0.611165375,0.388859923,,27.63,,2203382000,,0304896020;2203382000,"2015, 2016, 2017, 2018, "
Commonwealth Properties,Compliant,Multifamily Housing,66-70 Chiswick,02135,36800,126.8,21,,Multifamily Housing,1920,258.6,7,4665756.3,0.098204752,0.90179933,,45.33,,,,2102304000,"2015, 2016, 2017, 2018, "
Lincoln Plaza - Compliance,Compliant,Multifamily Housing,66-86 Lincoln St,02111,121500,56,63,,Multifamily Housing,1950,446.6,3.7,6800050.9,0.533435126,0.466586945,,30.02,,,,304304100,"2015, 2016, 2017, 2018, "
Newmarket Center,Compliant,Not Available,67 & 76-80 Kemble Street,02119,Not Available,Not Available,,,"Office, Parking",1880,0,Not Available,Not Available,,,,Not Available,,,,800942000,"2018, "
MISSION,Municipal ,K-12 School,67 Alleghany St.,02120,64400,69.1,83,,K-12 School,1925,256.7,4,4451517.9,0.193119005,0.806888966,,Not Available,,,,1000598010,"2016, 2017, 2018, "
Bright Hockey Center,Compliant,Ice/Curling Rink,67 North Harvard Street,02134,131386,107.4,,,Ice/Curling Rink,1978,943.4,7.2,14110415.2,0.431145457,0.298704552,0.270167819,2.46,,,,2200533000,"2014, 2015, 2016, 2017, 2018, "
Biosquare - Phase I,Compliant,Office,670 Albany Street,02118,221299,76.2,64,,"Medical Office, Office",2005,1292.5,5.8,16872437.8,0.996158588,0.002184322,0.001698308,31.25,,,,801066100,"2014, 2015, 2017, 2018, "
670 Albany Street,Compliant,Laboratory,670 Albany Street,02118,182312,Not Available,,,Laboratory,2004,0,0,Not Available,,,,Not Available,,BOSTONU does not have access to utility data for this building. ,,801066100,"2014, 2015, 2017, 2018, "
Mellon Hall,Compliant,Residence Hall/Dormitory,670 Soldiers Field Road,02163,47698,63.2,84,,Residence Hall/Dormitory,1926,208.6,4.4,3015361.7,0.270203543,,0.729807605,14.85,,"Until Jan 2017, water was allocated by gross square footage for this property, and did not represent actual usage. 2017 monthly readings are accurate.
Steam usage is allocated as 88% of the meter shared with Wilder House.  Allocation is by GSF.",,2200530000,"2014, 2015, 2016, 2017, 2018, "
Mission Main I - 675 Parker St,Compliant,Multifamily Housing,675 Parker St,02120,80222,54.8,88,,"Multifamily Housing, Parking",2000,262.8,3.3,4396456.5,0.282944739,0.717067008,,52.47,,"This parcel consists of 3 buildings sharing gas and water meters.
675 Parker St: 44865 sf, 22 units
2 Smith St: 15360 sf, 10 units
14 Smith St: 19997 sf, 14 units",,1000001055,"2018, "
675-725 Commonwealth Avenue,Compliant,College/University,675-725 Commonwealth Avenue,02215,328045,159.8,,,College/University,1938,3064.1,9.3,52414824.8,0.244845367,0.755164765,,10.45,,,,25887291000,"2014, 2015, 2016, 2017, 2018, "
Thomas Johnson Community Center,Municipal ,Other - Recreation,68 Annunciation Rd,02120,39600,47.3,,,Other - Recreation,2000,108.9,2.8,1871309,0.216674419,0.783334557,,Not Available,,,,402043000,"2016, 2017, 2018, "
Butler Street,Compliant,Multifamily Housing,68 Butler Street,02124,24000,Not Available,,,Multifamily Housing,1968,Not Available,Not Available,Not Available,,,,Not Available,,,,1703703000,"2017, 2018, "
6-8 St. Mary's Street,Compliant,Laboratory,6-8 St. Mary's Street,02215,289059,189.6,,,Laboratory,1997,3508.1,12.1,54791462.6,0.500028255,0.499992436,,26.43,,,,2100273000,"2014, 2015, 2016, 2017, 2018, "
Wilder House,Compliant,Office,680 Soldiers Field Road,02163,6377,58.7,96,,Office,1926,25.6,4,374213.9,0.200193728,,0.799814758,276.19,,"Until Jan 2017, water was allocated by gross square footage for this property, and did not represent actual usage. 2017 monthly readings are accurate.
Steam usage is allocated as 12% of the meter shared with Mellon Hall.  Allocation is by GSF.",,2200530000,"2014, 2015, 2016, 2017, 2018, "
South End Branch,Municipal ,Library,685 Tremont St,02118,11342,63.5,,,Library,2000,48.9,4.3,719680.1,0.631811265,0.368214986,,Not Available,,,,402730000,"2016, 2017, 2018, "
Chiswick,Compliant,Multifamily Housing,69 Chiswick Road,02134,40236,74.9,,,Multifamily Housing,1955,225.6,5.6,3014543.5,0.256423639,,,7.17,,,,2102229000,"2017, 2018, "
Mission Main I - 69 McGreevey Way,Compliant,Multifamily Housing,69 McGreevey Way,02120,89047,76.8,49,,"Multifamily Housing, Parking",2000,422.7,4.7,6843033.5,0.367498121,0.632517101,,74.25,,This parcel consists of 1 building.,,1000001025,"2015, 2016, 2017, 2018, "
Gordon Track and Tennis Center,Compliant,Race Track,69 North Harvard Street,02134,77058,36.2,,,Race Track,1977,192.7,2.5,2791476.8,0.255731598,,0.744278942,11.24,,,,2200533000,"2014, 2015, 2016, 2017, 2018, "
A-07 Station,Municipal ,Police Station,69 Paris St,02128,16194,157,,,Police Station,2000,154.3,9.5,2542618.6,0.322142141,0.677871221,,Not Available,,,,105699000,"2016, 2017, 2018, "
045-Holiday Inn Express Dorchester,Compliant,Hotel,69 R. Boston Street,02125,58051,110.2,71,,Hotel,2010,393.1,6.8,6396813.4,0.353974228,0.646040403,,78.02,,,,703436000,"2015, 2016, 2017, 2018, "
Adams Street Branch,Municipal ,Library,690 Adams St,02122,7189,74.9,,,Library,2000,31.5,4.4,538181.2,0.228867473,0.771141741,,Not Available,,,,1603518001,"2016, 2017, 2018, "
Ludcke House,Compliant,Office,690 Soldiers Field Road,02163,9611,28.3,96,,Office,1926,19.4,2,271565.9,0.486529967,,0.513490096,4.7,,"Until Jan 2017, water was allocated by gross square footage for this property, and did not represent actual usage. 2017 monthly readings are accurate.
Steam usage is allocated as 4% of the meter shared with Gallatin, Hamilton, Morris, Loeb, Connell, Wyss. Allocation is by GSF.",,2200530000,"2014, 2015, 2016, 2017, 2018, "
Codman Square Branch,Municipal ,Library,690 Washington St,02124,20000,77.3,,,Library,2000,100.9,5,1545633.5,0.516032188,0.48398926,,Not Available,,,,1704771000,"2016, 2017, 2018, "
695 Atlantic Ave,Compliant,Office,695 Atlantic Ave,02111,187000,74.5,88,"2017, 2016, 2013, 2007","Data Center, Office, Other, Restaurant, Swimming Pool",1898,1022.5,5.5,13928971.3,0.861655971,0.138379689,,21.45,,"One of the tenants would not share electric meter info, so we ended up using the Eversource Portal which aggregates monthly KWH usage for the entire building. The portal also provides BERDO (Boston Energy Reporting Disclosure Ordinance) usages.   
",,304302010,"2014, 2015, 2016, 2017, 2018, "
695 Realty Corp,Compliant,Other,695 Truman Highway,02136,35000,Not Available,,,Other,1985,Not Available,Not Available,Not Available,,,,Not Available,,,,1810585001,"2016, 2017, 2018, "
Davenport Commons B,Compliant,College/University,696 Columbus Avenue,02115,76325,65.1,,,College/University,2001,302.1,4,4972428.8,0.324106219,0.675907152,,36.06,,,,901335010,"2014, 2015, 2016, 2017, 2018, "
699 Boylston St,Compliant,Office,699 Boylston St,02116,211351,59.4,74,"2017, 2016","Bank Branch, Office, Other, Retail Store",1983,962.6,4.6,12555218.7,1.000041396,,,13.63,,,,501397000,"2014, 2015, 2016, 2017, 2018, "
7 11 Lansdowne Street,Compliant,Bar/Nightclub,7 11 Lansdowne Street,02215,100038,1.3,,,"Bar/Nightclub, Office, Restaurant",1899,10.3,0.1,134504.5,1.000041153,,,28.67,,,,504192000,"2018, "
BOSTON SOUTH BAY (1898),Compliant,Retail Store,7 ALLSTATE RD,02125,147225,70.3,85,2012,"Parking, Retail Store",2004,728.2,4.9,10353767.1,0.731055695,0.268974575,,13.46,,,,703501010,"2014, 2015, 2016, 2017, 2018, "
KENNEDY JF,Municipal ,K-12 School,7 Bolster St.,02130,49194,70.7,90,,K-12 School,1963,194.1,3.9,3476473.1,0.11520398,0.884800794,,Not Available,,,,1002705000,"2016, 2017, 2018, "
7 Massachusetts Avenue,Compliant,Multifamily Housing,7 Massachusetts Avenue,02115,41041,Not Available,,,Multifamily Housing,1800,0,0,Not Available,,,,Not Available,,,,503693000,"2017, 2018, "
Engine 17,Municipal ,Fire Station,7 Parish St,02122,10008,138.3,,,Fire Station,2000,79.6,8,1384364.5,0.186279021,0.813728609,,Not Available,,,,1500363000,"2016, 2017, 2018, "
7 Sherman St.,Compliant,Other - Services,7 Sherman St.,02129,39000,112.3,,,Other - Services,1920,278,7.1,4380670.8,0.481653559,0.499398388,,20.92,24353,,,201864000,"2016, 2017, 2018, "
7 Tide,Compliant,Office,7 Tide Street,02210,36000,29.5,94,,"Office, Parking",1943,81.5,2.3,1062906.2,1.000041548,,,Not Available,,,,602674250,"2018, "
7 Warren Ave,Compliant,Multifamily Housing,7 Warren Avenue,02116,13041,207,1,,Multifamily Housing,1932,173.1,13.3,2699336.4,0.466909633,0.533109751,,45.8,,,,500826000,"2018, "
Harbor Garage,Compliant,Other,70 East India Row,02110,364500,14.8,,,Other,1969,412.7,1.1,5382700.9,1.000041386,,,8.47,,,,302995000,"2014, 2015, 2016, 2017, 2018, "
451D,Compliant,Office,70 Fargo Street,02210,474728,117.6,67,,"Data Center, Office, Parking",1905,4252.5,9,55820344.2,0.979262772,0.020777757,,9.21,,"BERDO - on Feb 24, 2017 we refiled CY-2013, CY-2014 and CY-2015.  They now include historic gas usage.  Prior submissions did not report gas usage. 
",,602825000,"2014, 2015, 2016, 2017, 2018, "
70 Federal,Compliant,Office,70 Federal Street,02110,64101,86.4,63,,Office,1980,397.4,6.2,5536629.1,0.522893012,,0.477128638,6.14,,,,304669000,"2017, 2018, "
PHS-BWH Shapiro Cardiovascular Center & BTM,Compliant,Hospital (General Medical & Surgical),70 Francis Street and 60 Fenwood,02115,865000,492.7,1,,Hospital (General Medical & Surgical),2008,25667.5281,29.67344289,426183635.5,0.072088923,0.694651266,0.233262795,35.1,,"This account is now also services 400,000 SF laboratory building under construction.  EUI no longer accurate.  Began service to construction site in January 2015.  Estimate about 800,000 kWh per month going to the new building at this time.

This electrical account is now also serving the occupied laboratory building next door.",,1000247010,"2014, 2015, 2016, 2017, 2018, "
70 Franklin Street,Compliant,Office,70 Franklin Street,02110,84521,0.1,,,Office,1879,0.8,0,10815.1,1.00003378,,,13.63,,,,304646000,"2015, 2016, 2017, 2018, "
70 Hazelton St,Compliant,Multifamily Housing,70 Hazelton St,02126,11824,47,,,Multifamily Housing,1940,30,2.5,555229.7,0.035510309,0.964490976,,47.58,,,,1405129000,"2017, 2018, "
Shad Hall,Compliant,Mixed Use Property,70 North Harvard Street,02163,132424,117.6,,,"Data Center, Office, Other - Recreation",1990,1039.1,7.8,15568456.1,0.474788185,0.344095849,0.177043869,12.43,18670,"Shad Hall has its own water meter.
Shad data center electric meter is a submeter of the building electric meter. 

A 35 kW solar PV system was installed approx. 10 years ago.",,2200530000,"2014, 2015, 2016, 2017, 2018, "
255-The Envoy Hotel,Compliant,Hotel,70 Sleeper Street,02110,83701,113.7,47,,Hotel,2016,615.8,7.4,9513726.2,0.492858448,0.507161966,,59.47,,,,602640010,"2017, 2018, "
Greater Boston Food Bank,Compliant,Distribution Center,70 South Bay Avenue,02118,117244,79.8,21,,"Distribution Center, Parking, Refrigerated Warehouse",2009,667.8,5.7,9355611.3,0.775460951,0.224571125,,6.15,,"We are a LEED Silver certified building. LEED is ""Leadership in Energy & Environmental Design, a green building certification program that recognizes best-in-class building strategies and practices."" To receive LEED certification, building projects must satisfy prerequisites and earn points to achieve different levels of certification. We have one freezer that is 5,990 sf but 3 stories high and 2 coolers that are 3,085 sf and 1,550 sf at the same height.  Our energy consumption seems a little higher than normal but understandable. Our building is unique and there is nothing that is comparable.",,801027000,"2014, 2015, 2018, "
HURLEY,Municipal ,K-12 School,70 Worcester St.,02118,42043,67.4,91,,K-12 School,1961,160.3,3.8,2834676.1,0.146410843,0.853595227,,Not Available,,,,900694000,"2016, 2017, 2018, "
700 Albany Street,Compliant,Laboratory,700 Albany Street,02118,180627,403,,,Laboratory,1993,5068,28.1,72788983,0.378021715,0,0.62199393,112.91,,,,801066150,"2014, 2015, 2016, 2017, 2018, "
700 Beacon Street,Compliant,College/University,700 Beacon Street,02215,37345,29.4,,,College/University,1917,82.2,2.2,1097087.9,1.000041288,,,0.24,,,,504144000,"2016, 2017, 2018, "
Copley Branch (Johnson / McKim),Municipal ,Library,700 Bolyston Street,02116,930000,81.7,,,Library,2000,5365,5.8,76009367.7,0.407352156,,0.592664705,Not Available,,,,401052000,"2016, 2017, 2018, "
SHORE PLAZA EAST - 700 BORDER ST B-C: 26291141005,Compliant,Multifamily Housing,700 Border St.,02128,58562,36,85,,Multifamily Housing,1975,161.5,2.8,2106374.9,1.000041395,,,67.26,,,,103678000,"2015, 2016, 2017, 2018, "
Davenport Commons A,Compliant,College/University,700 Columbus Avenue,02115,122719,72.7,,,College/University,2001,547.9,4.5,8920875.2,0.352387594,0.647627004,,49.46,,,,901434010,"2014, 2015, 2016, 2017, 2018, "
700 Commonwealth Avenue,Compliant,Residence Hall/Dormitory,700 Commonwealth Avenue,02215,425007,184.6,6,,"Parking, Residence Hall/Dormitory",1966,4774.4,11.2,78463945.2,0.354408706,0.645605963,,69.43,,,,2100347001,"2014, 2015, 2016, 2017, 2018, "
Engine 02,Municipal ,Fire Station,700 East Fourth St,02127,14040,92.3,,,Fire Station,2000,75.3,5.4,1295337.6,0.214068596,0.785940303,,Not Available,,,,602362000,"2016, 2017, 2018, "
700 Harrison Ave Condominium,Compliant,Other - Lodging/Residential,700 Harrison Ave ,02118,173387,16.9,,,Other - Lodging/Residential,2007,155.3,0.9,2922722,0.00151302,0.998487046,,2.3,,Condominium Building.  Parking Garage under building.  Not a standalone garage. ,,801212000,"2015, 2017, 2018, "
Hamilton Hall,Compliant,Residence Hall/Dormitory,700 Soldiers Field Road,02163,49297,39.9,91,,Residence Hall/Dormitory,1926,141.2,2.9,1968912.3,0.517906106,,0.482115379,16.22,,"Until Jan 2017, water was allocated by gross square footage for this property, and did not represent actual usage. 2017 monthly readings are accurate.

Steam usage is allocated as 27% of the meter shared with Gallatin, Connell, Morris, Loeb, Ludcke, Wyss. Allocation is by GSF.",,2200530000,"2014, 2015, 2016, 2017, 2018, "
Engine 22,Municipal ,Fire Station,700 Tremont St,02118,10500,83.2,,,Fire Station,2000,53.1,5.1,873772.4,0.322783252,0.677230155,,Not Available,,,,900523000,"2016, 2017, 2018, "
702-718 Centre St,Compliant,Other - Mall,702 B718A Centre St,02130,38250,96.3,,,Other - Mall,1925,239.7,6.3,3684347.6,0.50667412,0.493346846,,2002.86,,,,1901392000,"2016, 2017, 2018, "
Huntington Avenue: 706 Huntington Avenue,Compliant,Multifamily Housing,706 Huntington Avenue,02115,35502,102.3,29,,Multifamily Housing,1987,207,5.8,3633481.2,0.163481261,0.836525525,,28.56,,still using single pane windows; window replacement project scheduled to begin Spring 2011,,1000131000,"2017, 2018, "
On The Fens Condominium,Compliant,Multifamily Housing,70-74 The Fenway,02115,17000,120.5,99,,Multifamily Housing,1981,111.7,6.6,2048161.8,0.060387137,0.939615425,,10540530,,,,401719000,"2014, 2015, 2016, 2017, 2018, "
Beren Tennis Pavilion,Compliant,Other - Recreation,71 North Harvard Street,02134,6117,189.4,,,Other - Recreation,1899,88.8,14.5,1158614.9,1.000041499,,,15.86,,"This electric meter provides service not just to the small clubhouse facility for the tennis complex, it also feeds all of the exterior lighting and other loads for the 18-court exterior facility.",,2200533000,"2014, 2015, 2016, 2017, 2018, "
EVERETT,Municipal ,K-12 School,71 Pleasant St.,02125,31410,59.8,95,,K-12 School,1909,107.5,3.4,1877954.2,0.174597986,0.825409295,,Not Available,,,,1301506000,"2016, 2017, 2018, "
710 Albany Street,Compliant,Parking,710 Albany Street,02118,312921,0.8,,,Parking,2000,19.6,0.1,261003.7,1.000041394,,,Not Available,,,,801066055,"2014, 2015, 2016, 2017, 2018, "
The Lenox Hotel,Compliant,Hotel,710 Boylston Street,02116,130410,130.3,65,"2007, 2004",Hotel,1900,1076.9,8.3,16989107.3,0.436197667,0.563820386,,69.59,,,,401038000,"2014, 2015, 2016, 2017, 2018, "
Wyss Hall,Compliant,Office,710 Soldiers Field Road,02163,6290,55.1,87,,Office,1926,25.1,4,346627.7,0.597729713,,0.40229445,23.18,,"Until Jan 2017, water was allocated by gross square footage for this property, and did not represent actual usage. 2017 monthly readings are accurate.
Steam usage is allocated as 4% of the meter shared with Gallatin, Hamilton, Morris, Loeb, Ludcke, Connell. Allocation is by GSF.",,2200530000,"2014, 2015, 2016, 2017, 2018, "
711 Atlantic Avenue,Compliant,Office,711 Atlantic Avenue,02111,91464,73.3,82,"2018, 2017, 2016",Office,1898,450.2,4.9,6705698.5,0.595196103,0.404828529,,8.43,,,,04309-000,"2014, 2015, 2016, 2017, 2018, "
Lionhead Apartments (Dudley): 713 Dudley St.,Compliant,Multifamily Housing,713 Dudley St,02125,40320,44.2,98,,Multifamily Housing,1900,108,2.7,1780456.7,0.319378858,0.680634346,,16.68,,,,1301235000,"2017, 2018, "
0053 South Boston,Voluntary,Supermarket/Grocery Store,713 E. Broadway,02127,18358,304.9,55,,Supermarket/Grocery Store,2005,373.5,20.3,5596572.3,0.577956771,0.422067133,,145.77,,,,602336000,"2014, 2015, 2016, 2018, "
Concord Houses- 715 Tremont,Compliant,Multifamily Housing,715 Tremont Street,02118,75000,89.8,41,,Multifamily Housing,1976,397.3,5.3,6734272.1,0.249727312,0.750282995,,40.84,,705 - 723 Tremont Street ,,402660000,"2015, 2016, 2017, 2018, "
Columbus Place,Compliant,College/University,716 Columbus Avenue,02115,124192,96.4,,,College/University,1910,777.1,6.3,11970346.9,0.500937446,0.499083285,,7.65,,,,901417000,"2014, 2015, 2016, 2017, 2018, "
71-77 Summer,Compliant,Office,71-77 Summer St.,02110,62246,50.5,84,"2017, 2016",Office,1901,241,3.9,3143584.8,1.000041397,,,24.74,,This report covers parcels 0304561000 and 0304562000.,,0304561000 0304562000,"2014, 2015, 2016, 2017, 2018, "
70-72 East Concord Street L Building,Compliant,Laboratory,72 East Concord Street,02118,215224,137.1,,,Laboratory,1968,2054.9,9.5,29499011.5,0.381811028,,0.618204773,13.69,,,,801403000,"2014, 2015, 2016, 2017, 2018, "
72 Gardner Street,Compliant,Multifamily Housing,72 Gardner Street,02134,61020,55,67,,Multifamily Housing,1990,193.8,3.2,3353131.1,0.199353678,0.800654622,,27.59,,,,2100542000,"2017, 2018, "
72 K St,Compliant,Office,72 K Street,02127,4200,28.7,,,Office,1900,7.8,1.9,120689.3,0.481332739,0.51868727,,6.74,,,,603405060,"2014, 2015, 2016, 2017, 2018, "
Landfall Community Associates,Compliant,Multifamily Housing,72 Marginal Street,02128,85000,96.1,35,,Multifamily Housing,1975,465.4,5.5,8170994.8,0.17603171,0.823975591,,53.54,,,,104482000,"2017, 2018, "
Peterborough Housing: 72 Peterborough St (72-82),Compliant,Multifamily Housing,72 Peterborough St,02215,83148,82.4,41,,Multifamily Housing,1978,509.8,6.1,6853168.9,0.388359114,0.036569798,,26.47,,"Boston Energy Report IDs 504308000,0504307000,0504306000,0504305000,0504304000
Per the city instruction 3/30/17: The ideal is to always go for reporting buildings as separate entries in Portfolio Manager. If they have multiple parcel numbers, than just list all of the parcel numbers in the “Boston Energy Reporting ID” section with a comma in between However if you have multiple separate buildings that all share energy use and have joint meters that can't be separated, it gets more complicated. If it seems reasonable and appropriate, than we usually ask that the total energy/water use is divided up between the different buildings by square footage and each building be reported separately with that noted in comments section.In this case, as these buildings are all residential usage, I would say take whatever joint meters they have and divy out the energy usage by a ratio of square footage. 4/4/2018: sqft corrected and updated to match all parcels in tax assess. & confirmed by owner",,5.04308E+48,"2015, 2017, 2018, "
7-21 Aberdeen Street,Compliant,Multifamily Housing,7-21 Aberdeen Street,02215,41814,79.9,54,,Multifamily Housing,1915,226.2,5.4,3339342.7,0.197071574,0.329106694,,53.21,,,,2100139000,"2017, 2018, "
722-728 Commonwealth Avenue,Compliant,Residence Hall/Dormitory,722-728 Commonwealth Avenue,02215,87469,80.9,82,,Residence Hall/Dormitory,1974,393.5,4.5,7076123.8,0.114433831,0.885570919,,68.03,,,,2100322000 2100323001 2100321000 2100323000                  ,"2014, 2015, 2016, 2017, 2018, "
Adams Village (Whole Building Data): 725 Adams Street (Whole Building Tracking),Compliant,Multifamily Housing,725 Adams Street,02122,34705,53.4,96,,Multifamily Housing,1968,107.2,3.1,1854311.5,0.198928666,0.801079541,,46.56,,,,1603457000,"2017, 2018, "
Concord Houses- 725 Tremont,Compliant,Multifamily Housing,725 Tremont Street,02118,80000,99,47,,Multifamily Housing,1976,456.4,5.7,7919732.3,0.191484444,0.808523459,,61.01,,725 - 743 Tremont Street,,402600000,"2015, 2016, 2017, 2018, "
Morrissey Plaza,Compliant,Retail Store,725 William T Morrissey Boulevard,02122,84470,68.5,37,,Retail Store,1965,402.5,4.8,5783606.8,0.699817237,0.300211701,,5.89,,"Boston Parcel ID# 1600247000
at 729 William T Morrissey Boulevard, Dorchester, MA 02122.
The address aligns with Kimco's Borough Block Lot # 00245-020.

As of 5/14/18 we have not received the gas consumption from the tenant. We will estimate the gas based on actual historical consumption. If we get the real consumption we will update the meter and resubmit to the City of Boston. 
",,1600247000,"2015, 2016, 2017, 2018, "
73 Tremont St,Compliant,Office,73 Tremont St,02108,303975,96.4,47,"2015, 2014, 2013, 2012, 2010, 2009, 2008, 2007","Office, Other - Education, Parking",1898,2247.4,7.4,29312016.6,1.000041386,,,12.74,,,,304675000,"2014, 2015, 2016, 2017, 2018, "
SHORE PLAZA EAST - 730 BORDER ST DE 725262: 4387820080,Compliant,Energy/Power Station,730 Border St,02128,12000,Not Available,,,Energy/Power Station,2004,Not Available,Not Available,Not Available,,,,Not Available,,,,103678000,"2015, 2016, 2017, 2018, "
