OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,TaxParcelIdentificationNumber,Location,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),OtherFuelUse(kBtu),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity(kgCO2e/ft2),DefaultData,Comment,ComplianceStatus,Outlier,2010 Census Tracts,Seattle Police Department Micro Community Policing Plan Areas,City Council Districts,SPD Beats,Zip Codes
19847,2015,NonResidential,Retail Store,UNIVERSITY VILLAGE EAST BLDG N,925049426,"2623 NE UNIVERSITY VILLAGE ST
SEATTLE, WA 98105
(47.66384364, -122.29717129)",4,NORTHEAST,1956,1,2,"25,862",0,"25,862","Other, Retail Store",Retail Store,"25,562",Other,300,,,,13,211.2,210.8,418.7,409.1,"5,462,958","5,452,862",0,"714,006","2,436,289","30,268","3,026,770",0,177.74,6.47,No,,Compliant,High Outlier,,53,,48,"18,383"
19848,2015,NonResidential,Retail Store,UNIVERSITY VILLAGE EAST BLDG S,925049426,"2623 NE UNIVERSITY VILLAGE ST
SEATTLE, WA 98105
(47.66384364, -122.29717129)",4,NORTHEAST,2003,1,2,"49,965",0,"49,965","Other, Retail Store",Retail Store,"47,465",Other,"2,500",,,,80,69.4,68.2,213.2,209.5,"3,466,461","3,406,767",0,"983,624","3,356,264","1,103","110,336",0,29.26,0.3,No,,Compliant,,,53,,48,"18,383"
19849,2015,Multifamily LR (1-4),Low-Rise Multifamily,BOREALIS THE CONDOMINIUM,938000000,"2614 4TH AVE N
SEATTLE, WA 98109
(47.64421274, -122.34911846)",7,MAGNOLIA / QUEEN ANNE,1981,1,3,"53,698",0,"53,698","Multifamily Housing, Parking",Multifamily Housing,"53,698",Parking,"2,700",,,,99,17.9,20.7,56.3,64.9,"962,082","1,110,711",0,"281,970","962,122",0,0,0,6.71,0.05,No,,Compliant,,,50,,39,"18,390"
19851,2015,Multifamily MR (5-9),Mid-Rise Multifamily,ST CHARLES HOTEL APTS,939000085,"619 3RD AVE
SEATTLE, WA 98104
(47.60318375, -122.33206177)",7,DOWNTOWN,1911,1,6,"23,338",0,"23,338","Food Service, Multifamily Housing",Multifamily Housing,"29,100",Food Service,"2,536",,,,39,73.9,85.8,127.8,140.3,"2,339,133","2,714,452",0,"222,544","759,351","15,798","1,579,813",0,89.2,3.68,No,,Compliant,,,14,,19,"18,379"
19852,2015,Multifamily MR (5-9),Mid-Rise Multifamily,CORONA LOFTS,939000100,"606 2ND AVE
SEATTLE, WA 98104
(47.60273361, -122.33244324)",7,DOWNTOWN,1900,1,6,"39,594",0,"39,594","Multifamily Housing, Retail Store",Multifamily Housing,"34,137",Retail Store,"5,457",,,,81,22.6,25,54.2,61.7,"895,901","990,034",0,"168,966","576,534","3,194","319,391",0,20.98,0.47,No,,Compliant,,,14,,19,"18,379"
19853,2015,NonResidential,Small- and Mid-Sized Office,HARTFORD BUILDING,939000115,"600 2ND AVE
SEATTLE, WA 98104
(47.60259628, -122.33231354)",7,DOWNTOWN,1929,1,2,"20,028",0,"20,028",Office,Office,"20,028",,,,,,95,27.6,32.3,65.7,71.3,"552,583","647,030","216,792","98,415","335,805",0,0,0,19.07,0.88,No,,Compliant,,,14,,19,"18,379"
19854,2015,Multifamily HR (10+),High-Rise Multifamily,LOWMAN BUILDING,939000120,"107 CHERRY ST
SEATTLE, WA 98104
(47.60255814, -122.33382416)",7,DOWNTOWN,1906,1,10,"65,535",0,"65,535","Multifamily Housing, Restaurant, Retail Store",Multifamily Housing,"51,096",Retail Store,"3,374",Restaurant,"1,564",,,54.1,57.4,138.5,148.9,"3,031,811","3,217,536","907,147","622,703","2,124,752",0,0,0,84.83,1.15,No,,Compliant,,,14,,19,"18,379"
19855,2015,NonResidential,Small- and Mid-Sized Office,LOWMAN AND HANFORD BUILDING,939000125,"616 1ST AVE
SEATTLE, WA 98104
(47.60246277, -122.3337326)",7,DOWNTOWN,1900,1,7,"23,622",0,"23,622","Office, Restaurant",Office,"26,195",Restaurant,"2,285",,,,85,39.3,39.3,119.7,119.7,"1,118,346","1,118,346",0,"313,424","1,069,446",489,"48,944",0,10.05,0.23,No,,Compliant,,,14,,19,"18,379"
19856,2015,NonResidential,Small- and Mid-Sized Office,HOWARD BUILDING,939000140,"614 1ST AVE
SEATTLE, WA 98104
(47.60234161, -122.33388501)",7,DOWNTOWN,1902,1,3,"23,563",0,"23,563","Office, Restaurant",Office,"20,183",Restaurant,"3,380",,,,71,35.8,37.3,112.3,117,"842,923","878,094",0,"247,047","842,958",0,0,0,5.88,0.1,No,,Compliant,,,14,,19,"18,379"
19857,2015,NonResidential,Mixed Use Property,110 CHERRY BUILDING,939000235,"110 CHERRY ST
SEATTLE, WA 98104
(47.60284424, -122.33408356)",7,DOWNTOWN,1903,1,3,"28,600",0,"28,600","Office, Restaurant, Retail Store",Office,"12,000",Retail Store,"11,000",Restaurant,"3,000",,,39.2,39.2,100.8,100.8,"1,020,039","1,020,039",0,"217,422","741,875","2,782","278,195",0,19.95,0.59,No,,Compliant,,,14,,19,"18,379"
19858,2015,NonResidential,Mixed Use Property,MARION 823,939000300,"818 2ND AVE
SEATTLE, WA 98104
(47.60387657, -122.33374327)",7,DOWNTOWN,1978,1,2,"38,539","12,379","26,160","Office, Parking, Retail Store",Retail Store,"15,549",Parking,"12,379",Office,"10,611",,50,88.2,90.8,277,285.2,"2,307,938","2,376,244",0,"676,418","2,308,034",0,0,0,16.09,0.16,Yes,,Compliant,,,14,,19,"18,379"
19860,2015,NonResidential,Small- and Mid-Sized Office,MARION 814 BUILDING,939000300,"818 2ND AVE
SEATTLE, WA 98104
(47.60387657, -122.33374327)",7,DOWNTOWN,1906,1,5,"26,840",0,"26,840",Office,Office,"29,040",,,,,,24,69.1,68.1,217,213.9,"2,006,626","1,978,676",0,"588,109","2,006,710",0,0,0,13.99,0.2,No,,Compliant,,,14,,19,"18,379"
19861,2015,NonResidential,Retail Store,MARION BUILDING 804,939000300,"818 2ND AVE
SEATTLE, WA 98104
(47.60387657, -122.33374327)",7,DOWNTOWN,1906,1,2,"46,800",0,"46,800","Office, Retail Store",Retail Store,"36,019",Office,"10,781",,,,54,44.6,44.6,140.1,140.1,"2,087,998","2,087,998",0,"611,957","2,088,085",0,0,0,14.56,0.12,Yes,,Compliant,,,14,,19,"18,379"
19862,2015,NonResidential,Small- and Mid-Sized Office,SEATTLE METROPOLITAN CREDIT UNION,939000310,"801 3RD AVE
SEATTLE, WA 98104
(47.60405234, -122.33330945)",7,DOWNTOWN,1979,1,3,"63,990","26,640","37,350","Office, Parking",Office,"39,000",Parking,"26,640",,,,31,64.4,71.3,202.2,223.7,"2,513,155","2,780,298",0,"735,529","2,509,730",35,"3,529",0,17.68,0.11,No,,Compliant,,,14,,19,"18,379"
19864,2015,NonResidential,Small- and Mid-Sized Office,COMPTON BUILDING,654000330,"2315 WESTERN AVE
SEATTLE, WA 98121
(47.61291226, -122.34793793)",7,DOWNTOWN,1908,1,3,"28,800",0,"28,800","Non-Refrigerated Warehouse, Office, Other",Office,"21,600",Other,"7,200",Non-Refrigerated Warehouse,"6,200",,43,38.8,42.2,99.8,103.3,"1,358,652","1,475,762",0,"289,812","988,880","3,698","369,813",0,26.53,0.77,No,,Compliant,,,5,,9,"19,576"
19865,2015,Multifamily LR (1-4),Low-Rise Multifamily,ENDLESS KNOT/DOROTHY DAY HOUSE APTS,655000005,"106 BELL ST
SEATTLE, WA 98121
(47.61362726, -122.34668139)",7,DOWNTOWN,1900,1,3,"23,015",0,"23,015","Multifamily Housing, Retail Store",Multifamily Housing,"19,132",Retail Store,"3,883",,,,,70.2,78.6,146.6,160.5,"1,615,855","1,807,888",0,"235,208","802,562","8,133","813,326",0,48.79,1.97,No,,Compliant,,,5,,9,"19,576"
19870,2015,Multifamily MR (5-9),Mid-Rise Multifamily,BAKHITA GARDENS,655000075,"118 BELL ST
SEATTLE, WA 98121
(47.61405057, -122.34646054)",7,DOWNTOWN,2000,1,6,"36,676",0,"36,676","Multifamily Housing, Office, Other - Lodging/Residential, Retail Store",Multifamily Housing,"22,129",Office,"9,751",Retail Store,"2,506",,,59.7,65,148.6,160.9,"2,189,124","2,383,529",0,"441,757","1,507,337","6,819","681,850",0,46.72,1.1,No,,Compliant,,,5,,9,"19,576"
19871,2015,NonResidential,Small- and Mid-Sized Office,GRANGE OFFICE PLAZA,656000045,"2717 3RD AVE
SEATTLE, WA 98121
(47.61698381, -122.34958888)",7,DOWNTOWN,1954,1,3,"33,552","4,968","28,584","Office, Parking",Office,"26,556",Parking,"4,968",,,,44,104.6,121.3,168.4,185.9,"2,778,865","3,220,593",0,"218,105","744,206","20,347","2,034,690",0,113.25,3.28,No,,Compliant,,,5,,9,"19,576"
19873,2015,NonResidential,Retail Store,RITE AID STORE #5218_2603 THIRD AV,656000130,"2603 3RD AVE
SEATTLE, WA 98121
(47.61653968, -122.34883432)",7,DOWNTOWN,1931,1,2,"26,270",0,"26,270",Retail Store,Retail Store,"26,266",,,,,,22,67.4,72.8,168.5,170.6,"1,770,198","1,912,642",0,"359,970","1,228,269","5,420","541,980",0,37.35,1.22,No,,Compliant,,,5,,9,"19,576"
19874,2015,NonResidential,Small- and Mid-Sized Office,TRIANON BUILDING,656000160,"2505 3RD AVE
SEATTLE, WA 98121
(47.61631632, -122.34780486)",7,DOWNTOWN,1926,1,3,"57,620","7,820","49,800","Office, Parking",Office,"49,800",Parking,"7,820",,,,50,48,55,150.7,172.7,"2,390,284","2,739,528",0,"700,552","2,390,383",0,0,0,16.66,0.11,No,,Compliant,,,5,,9,"19,576"
19875,2015,Multifamily LR (1-4),Low-Rise Multifamily,LEXINGTON CONCORD APTS,656000180,"2402 2ND AVE
SEATTLE, WA 98121
(47.61518595, -122.34664005)",7,DOWNTOWN,1923,1,3,"33,440",0,"33,440",Multifamily Housing,Multifamily Housing,"33,440",,,,,,30,96.5,107.3,137,148.2,"3,227,332","3,586,806",0,"167,019","569,893","26,575","2,657,463",0,145.11,4.27,No,,Compliant,High Outlier,,5,,9,"19,576"
19876,2015,NonResidential,Mixed Use Property,U.S. BANK,656000215,"2401 3RD AVE
SEATTLE, WA 98121
(47.6152207, -122.34660101)",7,DOWNTOWN,1954,1,2,"28,696","6,080","22,616","Bank Branch, Other, Parking",Other,"12,960",Bank Branch,"7,760",Parking,"6,080",,,26.7,29.6,83.9,93,"553,875","613,798",0,"162,331","553,897",0,0,0,3.86,0.05,No,,Compliant,,,5,,9,"19,576"
19878,2015,NonResidential,Hotel,BELLTOWN  INN,656000290,"2301 3RD AVE
SEATTLE, WA 98121
(47.61486123, -122.34534207)",7,DOWNTOWN,1990,1,5,"57,800",0,"57,800",Hotel,Hotel,"57,800",,,,,,77,46.2,48.7,106.7,112.4,"2,668,769","2,812,528",0,"471,875","1,610,105","10,587","1,058,731",0,67.45,1.05,No,,Compliant,,,5,,9,"19,576"
19881,2015,Multifamily MR (5-9),Mid-Rise Multifamily,THE VERMONT INN,656000360,"2721 4TH AVE
SEATTLE, WA 98121
(47.61797714, -122.34895325)",7,DOWNTOWN,1994,1,6,"69,590","15,488","54,102",Multifamily Housing,Multifamily Housing,"69,590",,,,,,96,60.4,66.6,112,118.6,"4,202,335","4,635,802",0,"474,595","1,619,387","25,830","2,583,015",0,148.47,2.03,No,,Compliant,,,56,,9,"19,576"
19882,2015,Multifamily LR (1-4),Low-Rise Multifamily,WATERMARKE,656000370,"320 CEDAR ST
SEATTLE, WA 98121
(47.61753573, -122.34855005)",7,DOWNTOWN,1908,1,3,"45,172",0,"45,172",,,,,,,,,81,35.6,39.1,71.4,79.9,"1,607,275","1,766,044",0,"215,837","736,467","8,708","870,838",0,51.38,1.07,No,,Compliant,,,56,,9,"19,576"
19884,2015,Multifamily HR (10+),High-Rise Multifamily,CENTENNIAL TOWER APTS,656000450,"2515 4TH AVE
SEATTLE, WA 98121
(47.61646494, -122.3467173)",7,DOWNTOWN,1990,1,26,"321,050","94,550","226,500","Multifamily Housing, Parking, Swimming Pool",Multifamily Housing,"226,500",Parking,"94,550",Swimming Pool,0,,44,56.2,64,133.5,148.8,"12,719,042","14,495,454",0,"2,365,972","8,073,032","46,463","4,646,346",0,303.05,0.84,No,,Compliant,,,56,,9,"19,576"
19885,2015,Multifamily MR (5-9),Mid-Rise Multifamily,COURT AT CENTENNIAL APTS,656000451,"2500 3RD AVE
SEATTLE, WA 98121
(47.61676801, -122.34732022)",7,DOWNTOWN,2000,1,7,"192,077","49,580","142,497","Multifamily Housing, Parking",Multifamily Housing,"142,497",Parking,"49,580",,,,97,26.6,28.1,83.6,88.4,"3,795,938","4,010,624",0,"1,112,526","3,796,096",0,0,0,26.46,0.05,No,,Compliant,,,56,,9,"19,576"
19887,2015,Multifamily MR (5-9),Mid-Rise Multifamily,MODA APTS,656000550,"2312 3RD AVE
SEATTLE, WA 98121
(47.61507289, -122.3451409)",7,DOWNTOWN,2008,1,7,"203,940","60,757","143,183","Multifamily Housing, Parking",Multifamily Housing,"143,183",Parking,"60,757",,,,97,44.1,46.1,100.5,103.7,"6,313,678","6,596,692",0,"1,087,884","3,712,014","26,018","2,601,819",0,164.06,0.73,No,,Compliant,,,56,,9,"19,576"
19889,2015,Multifamily LR (1-4),Low-Rise Multifamily,FLEMING APTS,656000600,"2321 4TH AVE
SEATTLE, WA 98121
(47.6156044, -122.34494019)",7,DOWNTOWN,1918,1,3,"21,284",0,"21,284",Multifamily Housing,Multifamily Housing,"21,284",,,,,,95,35.6,38.8,76.5,83.6,"758,322","824,794",0,"116,675","398,113","3,602","360,226",0,21.91,0.95,No,,Compliant,,,56,,9,"19,576"
19890,2015,Multifamily MR (5-9),Mid-Rise Multifamily,AUSTIN A BELL CONDOMINIUM,657000000,"2324 1ST AVE
SEATTLE, WA 98121
(47.61407786, -122.34675381)",7,DOWNTOWN,1908,1,5,"48,786",0,"48,786",,,,,,,,,98,24.4,26.7,72.3,77.7,"1,069,381","1,170,631",0,"287,500","980,990",884,"88,432",0,11.54,0.15,No,,Compliant,,,5,,9,"19,576"
19893,2015,Multifamily MR (5-9),Mid-Rise Multifamily,STEWART COURT,659000265,"1831 8TH AVE
SEATTLE, WA 98101
(47.6145223, -122.33521105)",7,DOWNTOWN,2002,1,6,"98,222","37,746","60,476","Multifamily Housing, Other",Multifamily Housing,"37,924",Other,"6,443",,,,81,45.9,49,108.3,114,"2,035,595","2,173,276",0,"374,075","1,276,395","7,593","759,253",0,49.22,0.45,No,,Compliant,,,56,,31,"18,081"
19894,2015,NonResidential,Other,BANK OF AMERICA,659000380,"500 OLIVE WAY
SEATTLE, WA 98101
(47.61326433, -122.3372408)",7,DOWNTOWN,1955,1,2,"31,890",0,"31,890",Financial Office,Financial Office,"31,160",,,,,,3,54.3,49.1,170.4,154.3,"1,691,021","1,531,473",0,"495,610","1,691,092",0,0,0,11.79,0.14,No,,Compliant,,,56,,31,"18,081"
19895,2015,NonResidential,Small- and Mid-Sized Office,CENTENNIAL BUILDING,659000400,"414 STEWART ST
SEATTLE, WA 98101
(47.61266708, -122.33875275)",7,DOWNTOWN,1925,1,2,"44,098","13,660","30,438","Office, Parking",Office,"37,000",Parking,"12,500",,,,29,66.3,66.3,178.2,178.2,"2,454,861","2,454,861","533,834","551,545","1,881,948",392,"39,157",0,56.4,1.1,No,,Compliant,,,56,,31,"18,081"
19896,2015,NonResidential,"Restaurant
",ICON GRILL,659000430,"1925 5TH AVE
SEATTLE, WA 98101
(47.61342712, -122.33881943)",7,DOWNTOWN,1923,1,3,"22,381",0,"22,381",Restaurant,Restaurant,"22,381",,,,,,,168.3,168.1,299.4,295,"3,766,069","3,763,134",0,"385,165","1,314,236","24,519","2,451,887",0,139.38,5.98,No,,Compliant,,,56,,31,"18,081"
19899,2015,Multifamily HR (10+),High-Rise Multifamily,METROPOLITAN TOWER,659000610,"1942 WESTLAKE AVE
SEATTLE, WA 98101
(47.6144947, -122.33671371)",7,DOWNTOWN,2001,1,31,"538,339","139,826","398,513",,,,,,,,,29,67.7,76.1,153.6,162.6,"22,714,240","25,519,454",0,"3,875,590","13,224,062","94,907","9,490,728",0,596.24,1,No,,Compliant,,,56,,31,"18,081"
19900,2015,NonResidential,Other,3000/3018 Western,695000090,"3018 WESTERN AVE
SEATTLE, WA 98121
(47.61720922, -122.35464542)",7,DOWNTOWN,1926,1,4,"49,249",0,"49,249","Laboratory, Office",Laboratory,"40,584",Office,"7,165",,,,,618.7,646.1,"1,109.1","1,124.2","29,540,052","30,851,518",0,"3,076,883","10,498,761","190,417","19,041,728",0,"1,084.49",21.1,No,,Compliant,,,5,,9,"19,576"
19902,2015,NonResidential,Retail Store,SEMKKANN LLC,695000125,"3035 1ST AVE
SEATTLE, WA 98121
(47.61827588, -122.35496029)",7,DOWNTOWN,1925,1,1,"24,825","1,263","23,562","Non-Refrigerated Warehouse, Retail Store",Retail Store,"13,940",Non-Refrigerated Warehouse,"10,439",,,,,15.9,19.4,31.3,35.1,"387,279","473,622",0,"50,098","170,943","2,163","216,343",0,12.68,0.48,No,,Compliant,,,5,,9,"18,390"
19903,2015,Multifamily MR (5-9),Mid-Rise Multifamily,VERSAILLES APARTMENTS,695000130,"3023 1ST AVE
SEATTLE, WA 98121
(47.617935, -122.354835)",7,DOWNTOWN,1991,1,6,"41,030","15,901","25,129","Multifamily Housing, Parking",Multifamily Housing,"25,129",Parking,"15,901",,,,74,42.6,48.3,108.7,120.9,"1,070,740","1,213,188",0,"225,333","768,867","3,019","301,904",0,21.39,0.44,No,,Compliant,,,5,,9,"19,576"
19904,2015,Multifamily MR (5-9),Mid-Rise Multifamily,PLYMOUTH PLACE,695000180,"3101 1ST AVE
SEATTLE, WA 98121
(47.61840867, -122.35540251)",7,DOWNTOWN,2002,1,6,"41,359",0,"41,359","Fast Food Restaurant, Multifamily Housing, Retail Store",Multifamily Housing,"37,224",Retail Store,"1,600",Fast Food Restaurant,"1,478",,,66,72.5,128,134.9,"2,659,770","2,923,513",0,"331,858","1,132,348","15,275","1,527,469",0,89.02,2.03,No,,Compliant,,,5,,9,"18,390"
19905,2015,Multifamily LR (1-4),Low-Rise Multifamily,CENTERVIEW APTS,695000215,"3016 1ST AVE
SEATTLE, WA 98121
(47.61829758, -122.35437012)",7,DOWNTOWN,1910,1,4,"21,095",0,"21,095",Multifamily Housing,Multifamily Housing,"21,095",,,,,,61,42.2,48.6,91.2,108.3,"891,050","1,025,097",0,"138,718","473,326","4,177","417,744",0,25.49,1.11,Yes,,Compliant,,,5,,9,"18,390"
19906,2015,Multifamily MR (5-9),Mid-Rise Multifamily,TWENTY NINE HUNDRED ON FIRST,695000245,"2900 1ST AVE
SEATTLE, WA 98121
(47.6172927, -122.35225427)",7,DOWNTOWN,1989,1,5,"188,715","59,623","129,092","Multifamily Housing, Parking, Restaurant, Swimming Pool",Multifamily Housing,"113,269",Parking,"21,000",Restaurant,"3,461",,82,30.4,32.8,95.2,102.8,"3,548,309","3,830,771",0,"1,035,910","3,534,672",138,"13,783",0,25.37,0.05,No,,Compliant,,,5,,9,"19,576"
19907,2015,Multifamily LR (1-4),Low-Rise Multifamily,WINDEMERE APARTMENTS,695000285,"2933 2ND AVE
SEATTLE, WA 98121
(47.61810703, -122.3528097)",7,DOWNTOWN,1925,1,3,"23,989","5,827","18,162",Multifamily Housing,Multifamily Housing,"23,989",,,,,,59,29,33,91.2,103.5,"696,840","790,692",0,"204,232","696,869",0,0,0,4.86,0.08,No,,Compliant,,,5,,9,"19,576"
19910,2015,NonResidential,Medical Office,KING CO PUBLIC HEALTH,696000025,"2124 4TH AVE
SEATTLE, WA 98121
(47.61463547, -122.34208679)",7,DOWNTOWN,1952,1,4,"26,670",0,"26,670",Medical Office,Medical Office,"26,670",,,,,,59,56,59.1,171.2,180.7,"1,494,252","1,574,887",0,"420,388","1,434,423",599,"59,888",0,13.18,0.26,No,,Compliant,,,56,,7,"19,576"
19911,2015,Multifamily MR (5-9),Mid-Rise Multifamily,LEE COURT,696000035,"2133 5TH AVE
SEATTLE, WA 98121
(47.61494827, -122.34184265)",7,DOWNTOWN,1991,1,6,"41,834","10,780","31,054","Multifamily Housing, Office, Parking",Multifamily Housing,"29,948",Parking,"10,780",Office,"1,106",,,34.7,37.4,109.1,117.5,"1,079,004","1,162,038",0,"316,238","1,079,049",0,0,0,7.52,0.07,No,,Compliant,,,56,,7,"19,576"
19913,2015,Multifamily LR (1-4),Low-Rise Multifamily,CHARLESGATE APTS,696000095,"2230 4TH AVE
SEATTLE, WA 98121
(47.61548687, -122.34357848)",7,DOWNTOWN,1922,1,3,"34,060",0,"34,060",Multifamily Housing,Multifamily Housing,"34,060",,,,,,31,80.5,100.7,108.6,129.8,"2,741,909","3,429,917",0,"114,762","391,585","23,503","2,350,341",0,127.56,3.7,Yes,,Compliant,High Outlier,,56,,7,"19,576"
19915,2015,Multifamily MR (5-9),Mid-Rise Multifamily,WINDHAM APTS,696000135,"420 BLANCHARD ST
SEATTLE, WA 98121
(47.61517334, -122.34223175)",7,DOWNTOWN,1925,1,7,"37,300",0,"37,300",Multifamily Housing,Multifamily Housing,"37,300",,,,,,55,46,54,107.7,129.9,"1,716,575","2,015,456",0,"310,367","1,059,018","6,576","657,602",0,42.31,1.01,Yes,,Compliant,,,56,,7,"19,576"
19917,2015,Nonresidential COS,Other,FIRE STATION 02,696000160,"2334 4TH AVE
SEATTLE, WA 98121
(47.61600472, -122.34495699)",7,DOWNTOWN,1922,1,2,"37,740",0,"37,740",Fire Station,Fire Station,"38,939",,,,,,,82.6,94.3,184,196.3,"3,215,953","3,671,239",0,"531,446","1,813,369","14,027","1,402,659",0,87.14,2.1,No,,Compliant,,,56,,7,"19,576"
19918,2015,Multifamily MR (5-9),Mid-Rise Multifamily,FOUNTAIN COURT,696000250,"2400 4TH AVE
SEATTLE, WA 98121
(47.61627703, -122.34521188)",7,DOWNTOWN,1998,1,6,"328,947","74,638","254,309",Multifamily Housing,Multifamily Housing,"277,950",,,,,,77,29.9,31.8,90.7,96.1,"8,320,719","8,828,906",0,"2,309,346","7,879,816","4,412","441,231",0,78.36,0.14,No,,Compliant,,,56,,7,"19,576"
19919,2015,Multifamily MR (5-9),Mid-Rise Multifamily,SIDNEY APARTMENTS,696000260,"400 WALL ST
SEATTLE, WA 98121
(47.61736717, -122.34642267)",7,DOWNTOWN,2000,1,6,"160,141","40,377","119,764",Multifamily Housing,Multifamily Housing,"132,400",,,,,,80,25.7,26.3,80.8,82.5,"3,404,992","3,476,778",0,"997,946","3,405,134",0,0,0,23.74,0.06,No,,Compliant,,,56,,7,"19,576"
19920,2015,Multifamily LR (1-4),Low-Rise Multifamily,DEVONSHIRE APTS,696000290,"420 WALL ST
SEATTLE, WA 98121
(47.6173172, -122.34586334)",7,DOWNTOWN,1925,1,3,"44,736","4,100","40,636","Multifamily Housing, Parking",Multifamily Housing,"40,636",Parking,"4,504",,,,86,56.1,66,85.5,95.9,"2,279,063","2,681,324",0,"151,920","518,373","17,607","1,760,711",0,97.13,2.12,No,,Compliant,,,56,,7,"19,576"
19921,2015,Multifamily LR (1-4),Low-Rise Multifamily,STONECLIFF APTS,696000300,"2602 4TH AVE
SEATTLE, WA 98121
(47.61739621, -122.34708352)",7,DOWNTOWN,1923,1,3,"22,400",0,"22,400",Multifamily Housing,Multifamily Housing,"22,400",,,,,,67,30.3,35.1,95.1,110.2,"678,608","785,974",0,"198,889","678,636",0,0,0,4.73,0.08,Yes,,Compliant,,,56,,7,"19,576"
19922,2015,Multifamily HR (10+),High-Rise Multifamily,BAYVIEW TOWER,696000305,"2614 4TH AVE
SEATTLE, WA 98121
(47.6177436, -122.34715091)",7,DOWNTOWN,1979,1,13,"70,200",0,"70,200",Multifamily Housing,Multifamily Housing,"70,200",,,,,,5,44.9,49.5,141.1,155.5,"3,155,391","3,477,097",0,"924,792","3,155,522",0,0,0,22,0.12,Yes,,Compliant,,,56,,7,"19,576"
19923,2015,Multifamily MR (5-9),Mid-Rise Multifamily,EDWARDS ON FIFTH,696000325,"2619 5TH AVE
SEATTLE, WA 98121
(47.61798084, -122.34667428)",7,DOWNTOWN,1929,1,6,"21,840",0,"21,840",Multifamily Housing,Multifamily Housing,"21,840",,,,,,96,36,40.2,80.4,93.5,"786,979","878,563",0,"130,214","444,309","3,427","342,689",0,21.3,0.89,No,,Compliant,,,56,,7,"19,576"
19924,2015,Multifamily LR (1-4),Low-Rise Multifamily,THE DAVENPORT,696000335,"420 VINE ST
SEATTLE, WA 98121
(47.61774055, -122.34664237)",7,DOWNTOWN,1925,1,3,"33,880","5,887","27,993","Multifamily Housing, Parking",Multifamily Housing,"27,993",Parking,"5,887",,,,33,80.4,99.4,114,133.9,"2,250,669","2,781,899",0,"116,022","395,884","18,548","1,854,801",0,101.27,2.94,Yes,,Compliant,High Outlier,,56,,7,"19,576"
19925,2015,Multifamily HR (10+),High-Rise Multifamily,SKYE AT BELLTOWN,697000025,"500 WALL ST
SEATTLE, WA 98121
(47.61773436, -122.34567269)",7,DOWNTOWN,1949,1,18,"393,841","67,222","326,619","Multifamily Housing, Parking, Retail Store",Multifamily Housing,"302,922",Retail Store,"23,697",Parking,0,,74,59.6,69.8,99.3,111.3,"19,452,274","22,810,060",0,"1,684,624","5,748,176","137,043","13,704,338",0,767.91,1.89,No,,Compliant,,,56,,7,"19,576"
19926,2015,NonResidential,Small- and Mid-Sized Office,7TH & BELL,697000400,"2300 7TH AVE
SEATTLE, WA 98121
(47.61807922, -122.34164679)",7,DOWNTOWN,1965,1,1,"23,752",0,"23,752","Office, Parking, Retail Store",Office,"14,317",Retail Store,"9,435",Parking,0,,,43.1,41.2,96.1,90.2,"1,023,618","978,659",0,"169,489","578,320","4,453","445,322",0,27.68,1.06,No,,Compliant,,,56,,7,"19,576"
19927,2015,NonResidential,Hotel,BEST WESTERN LOYAL INN,697000435,"2301 8TH AVE
SEATTLE, WA 98121
(47.61826279, -122.34133479)",7,DOWNTOWN,1967,1,4,"44,416",0,"44,416",Hotel,Hotel,"52,668",,,,,,62,49.4,50.7,111.7,112.5,"2,601,369","2,671,366",0,"441,622","1,506,877","10,946","1,094,554",0,68.64,1.4,No,,Compliant,,,56,,7,"19,576"
19928,2015,NonResidential,Mixed Use Property,OLYMPIC SCULTPTURE PARK (SAM),698000095,"2901 WESTERN AVE
SEATTLE, WA 98121
(47.61577599, -122.35421614)",7,DOWNTOWN,2006,1,2,"33,792","22,867","10,925","Other - Entertainment/Public Assembly, Parking, Social/Meeting Hall, Swimming Pool",Social/Meeting Hall,"8,969",Parking,"8,540",Other - Entertainment/Public Assembly,"1,600",,,207,214.9,602.4,610.7,"2,187,513","2,271,686",0,"570,653","1,947,148","2,404","240,446",0,26.34,0.53,No,,Compliant,,,5,,9,"19,576"
