BUILDING ADDRESS,BUILDING ID,CARBON DIOXIDE EMISSIONS (Metric Ton CO2e),COMPLIANCE STATUS,% DIFFERENCE FROM NATIONAL MEDIAN SOURCE EUI,% DIFFERENCE FROM NATIONAL MEDIAN SITE EUI,ENERGY STAR SCORE,ENERGY STAR CERTIFICATION - ELIGIBILITY,ENERGY STAR CERTIFICATION - LAST APPROVAL DATE,ENERGY STAR CERTIFICATION - YEAR(S) CERTIFIED,ENTITY RESPONSIBLE FOR BENCHMARK,GROSS BUILDING FLOOR AREA (ft²),INDOOR WATER USE (kgal),INDOOR WATER USE INTENSITY (gal/ft²),NUMBER OF BUILDINGS,OCCUPANCY,OUTDOOR WATER USE (kgal),POSTAL CODE,PROGRAM YEAR,PROPERTY TYPE,SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),Source EUI (kBtu/ft²),TOTAL WATER USE (kgal),WEATHER NORMALIZED SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),WEATHER NORMALIZED SOURCE ENERGY USE INTENSITY (EUI) (kBtu/ft²),YEAR BUILT
1301 W PARK WESTERN DR,4.69E+11,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Park Western Estates,186632,Not Available,Not Available,14,95,3127.3,90732,2016,Multifamily Housing,Not Available,Not Available,12043.5,Not Available,Not Available,1969
2001 N SOTO ST,5.02E+11,896.6,COMPLIED,12.8,12.8,Not Available,No,Not Available,Not Available,University of Southern California,120072,5433,45.25,1,100,Not Available,90032,2016,College/University,101.8,296.3,5433,101.8,296.3,2011
1720 N FULLER AVE,4.56E+11,698.9,COMPLIED,-11.4,-11.4,71,No,Not Available,Not Available,equity residential,277680,Not Available,Not Available,1,95,Not Available,90046,2016,Multifamily Housing,37.9,86.1,5001.5,38.6,86.8,1987
6220 W 3RD ST,4.53E+11,294.8,COMPLIED,-35.1,-35.1,99,No,Not Available,Not Available,AIMCO,175690,Not Available,Not Available,4,95,Not Available,90036,2016,Multifamily Housing,23.1,65.6,4971.9,Not Available,Not Available,2002
810 S FLOWER ST,4.83E+11,628.4,COMPLIED,-6.3,-6.3,61,No,Not Available,Not Available,AUM,237962,Not Available,Not Available,1,95,Not Available,90017,2016,Multifamily Housing,38.9,93.8,6518.5,40,95,1924
20140 SHERMAN WAY,3.89E+11,63.8,COMPLIED,-45.1,-45.1,Not Available,No,Not Available,Not Available,Public Storage,87964,728,8.28,1,100,Not Available,91306,2016,Self-Storage Facility,8.4,26.1,728,8.1,25,1996
16101 W SATICOY ST,4.15E+11,541.7,COMPLIED,-33.1,-33.1,Not Available,No,Not Available,Not Available,Los Angeles World Airports,259330,Not Available,Not Available,1,50,Not Available,91406,2016,Other,28.6,82.3,2057.1,Not Available,Not Available,1982
3036 N FLETCHER DR,4.88E+11,41.9,COMPLIED,-2.6,-2.6,Not Available,No,Not Available,Not Available,ece_cola_gsd,9310,Not Available,Not Available,1,100,Not Available,90065,2016,Fire Station,68.8,150.4,334.6,72.4,153.8,1958
5975 W OLYMPIC BLVD,4.52E+11,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,plaza medical office building,189049,Not Available,Not Available,1,95,Not Available,90036,2016,Parking,Not Available,Not Available,Not Available,Not Available,Not Available,1985
3000 S ROBERTSON BLVD,4.44E+11,382,COMPLIED,-37.3,-37.3,88,No,Not Available,Not Available,RiverRock Real Estate Group,107383,Not Available,Not Available,1,40,Not Available,90034,2016,Office,47,146.9,2528.4,45.6,142.4,1986
136 S VIRGIL AVE,4.75E+11,312.2,COMPLIED,17.2,17.2,25,No,Not Available,Not Available,MWest Residential,105633,Not Available,Not Available,1,100,Not Available,90004,2016,Multifamily Housing,43.7,104.2,4420.7,Not Available,Not Available,1971
6041 CADILLAC AVE,4.48E+11,11392.2,COMPLIED,1.9,1.9,46,No,Not Available,Not Available,Kaiser Foundation Hospitals,838695,36179,43.14,2,100,Not Available,90034,2016,Hospital (General Medical & Surgical),185.7,426.1,36179,182.3,415.6,1975
1933 S BROADWAY,T00000000095,2158.8,COMPLIED,-16.9,-16.9,66,No,Not Available,Not Available,"PHR LA MART, LLC",861162,Not Available,Not Available,1,75,Not Available,90007,2016,Mixed Use Property,33.1,103.7,7676.5,33.1,103.7,1958
9425 CANOGA AVE,3.81E+11,54.9,COMPLIED,-41.6,-41.6,80,No,Not Available,Not Available,Aerojet Rocketdyne,98786,Not Available,Not Available,1,100,Not Available,91311,2016,Non-Refrigerated Warehouse,6.4,20.1,1892.6,6.4,20.1,1985
5950 W AVION DR,4.45E+11,447.3,COMPLIED,179.1,179.1,2,No,Not Available,Not Available,Los Angeles World Airports,98036,Not Available,Not Available,1,95,Not Available,90045,2016,Non-Refrigerated Warehouse,64.6,171.9,814.6,Not Available,Not Available,1956
1625 W OLYMPIC BLVD,4.78E+11,0,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Curacao,188022,Not Available,Not Available,1,85,Not Available,90015,2016,Office,Not Available,Not Available,Not Available,Not Available,Not Available,1975
11661 SAN VICENTE BLVD UNIT RM 00711,4.21E+11,408.3,COMPLIED,-47.7,-47.7,92,No,Not Available,Not Available,Brentwood Square,120000,Not Available,Not Available,1,100,Not Available,90049,2016,Financial Office,44.9,140.9,20105.1,43.4,136.1,1969
1480 VINE ST,4.63E+11,557.7,COMPLIED,155.2,155.2,1,No,Not Available,Not Available,"Conservice, LLC",102399,Not Available,Not Available,0,100,Not Available,90028,2016,Multifamily Housing,75,213.5,1730.2,76,214.6,1961
523 W 6TH ST,4.85E+11,1998.5,COMPLIED,-41.5,-41.5,88,No,11/23/2016,"2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008",CodeGreen Solutions Inc.,477590,7732.1,16.19,1,85,Not Available,90014,2016,Office,52,143,7732.1,52.9,144,1921
2111 E 1ST ST,4.97E+11,40.4,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,ece_cola_gsd,87366,Not Available,Not Available,1,100,Not Available,90033,2016,Parking,6.3,18.3,118,6.4,18.3,1990
401 S HAUSER BLVD,4.56E+11,89.9,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,AUM,65933,Not Available,Not Available,1,100,Not Available,90036,2016,Parking,18,56.5,139.1,18,56.5,1951
18251 NAPA ST,4.01E+11,60.5,COMPLIED,77.6,77.6,Not Available,No,Not Available,Not Available,Sunbelt Rentals Inc.,20564,Not Available,Not Available,3,100,Not Available,91325,2016,Distribution Center,33.9,106.5,447.1,33,103.5,1955
12745 ARROYO ST,4.38E+11,712.8,COMPLIED,22.6,22.6,35,No,Not Available,Not Available,UPS Inc.,305938,Not Available,Not Available,1,100,Not Available,91342,2016,Distribution Center,31,95.4,4922.6,31,95.4,1986
901 W OLYMPIC BLVD,1938,1260.2,COMPLIED,-10.9,-10.9,62,No,Not Available,Not Available,Marriott Courtyard and Residence Inn,295750,Not Available,Not Available,1,80,Not Available,90015,2016,Hotel,64,146.5,9257.4,65.6,148.1,2014
2765 E WABASH AVE,5.02E+11,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"City of Los Angeles, Recreation and Parks",9938,Not Available,Not Available,1,100,Not Available,90033,2016,Other - Recreation,Not Available,Not Available,760.8,Not Available,Not Available,1950
2100 W 3RD ST,4.79E+11,935.7,COMPLIED,127.2,127.2,1,No,Not Available,Not Available,Stockdale Management,93410,4727.3,50.61,1,65,Not Available,90057,2016,Medical Office,132.1,414.8,4727.3,131.6,413.2,1990
101 THE GROVE DR,4.53E+11,0,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Regatta Solutions,575000,Not Available,Not Available,7,100,Not Available,90036,2016,Lifestyle Center,Not Available,Not Available,Not Available,Not Available,Not Available,2002
5700 W CENTINELA AVE,4.46E+11,68,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,AUM,314010,Not Available,Not Available,1,100,Not Available,90045,2016,Parking,2.9,9,Not Available,2.8,8.7,2000
1800 CENTURY PARK EAST,4.36E+11,1078.7,COMPLIED,-33.9,-33.9,84,No,10/20/2017,"2017, 2016, 2015, 2014, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003","Environmental SAVE, LLC",255528,2373,9.29,1,90,Not Available,90067,2016,Office,59,162,2373,59.8,160.8,1971
14415 W SYLVAN ST,4.26E+11,65.6,COMPLIED,-17.6,-17.6,Not Available,No,Not Available,Not Available,ece_cola_gsd,17619,Not Available,Not Available,1,100,Not Available,91401,2016,Fire Station,56.1,127.2,439.9,56.9,124.2,1939
4500 WOODMAN AVE,4.31E+11,462.1,COMPLIED,-61.5,-61.5,100,No,Not Available,Not Available,"Cirrus Asset Management, Inc.",268819,Not Available,Not Available,7,95,Not Available,91423,2016,Multifamily Housing,27.6,44.6,11150.9,Not Available,Not Available,1969
4335 VALLEY BLVD,5.04E+11,0,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Joseph F. Farivar Investment Group,110000,Not Available,Not Available,1,100,Not Available,90032,2016,Distribution Center,Not Available,Not Available,Not Available,Not Available,Not Available,1960
1007 W MARTIN LUTHER KING JR BLVD,4.73E+11,306,COMPLIED,114.8,114.8,Not Available,No,Not Available,Not Available,Ophir Management Services,51532,Not Available,Not Available,3,100,Not Available,90037,2016,Retail Store,78.3,245.9,5141.4,78.5,246.4,1965
11805 W SHELDON ST,4.44E+11,56.2,COMPLIED,-19.3,-19.3,Not Available,No,Not Available,Not Available,Los Angeles Department of Water and Power,23400,Not Available,Not Available,1,100,Not Available,91352,2016,Other - Utility,31.7,99.4,772.8,29.9,93.8,1992
12300 W NEBRASKA AVE,4.23E+11,16.7,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Los Angeles Department of Water and Power,12400,Not Available,Not Available,1,100,Not Available,90025,2016,Parking,17.8,55.8,151.2,20.1,63,1956
6751 N LOUISE AVE,4.07E+11,41.9,COMPLIED,19.9,19.9,Not Available,No,Not Available,Not Available,ece_cola_gsd,7600,Not Available,Not Available,1,100,Not Available,91406,2016,Fire Station,83.9,185.1,416.5,81.7,178,1961
551 WORLD WAY,4.39E+11,118.8,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Los Angeles World Airports,395794,Not Available,Not Available,1,10,Not Available,90045,2016,Parking,4,12.4,Not Available,Not Available,Not Available,1975
2301 BELLEVUE AVE,4.80E+11,332.1,COMPLIED,-34,-34,Not Available,No,Not Available,Not Available,2301 LA Holdings,224036,Not Available,Not Available,3,80,Not Available,90026,2016,Mixed Use Property,21,58.9,7537.1,21.2,59.5,1926
12975 W JEFFERSON BLVD,4.33E+11,650.4,COMPLIED,-37.5,-37.5,81,No,Not Available,Not Available,Home Depot,162788,3997.2,24.55,1,100,Not Available,90066,2016,Retail Store,47.3,141.8,3997.2,48.9,143.5,1994
9301 N TAMPA AVE,3.93E+11,226.9,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,GGP Inc.,261000,Not Available,Not Available,1,0,319.6,91324,2016,Parking,22.9,72,319.6,22.5,70.6,1971
6801 PARK TER,4.42E+11,994.4,COMPLIED,59.8,59.8,10,No,Not Available,Not Available,Healthcare Realty,90607,Not Available,Not Available,1,100,Not Available,90045,2016,Medical Office,144.5,356.7,6559.7,144.5,356.7,1997
16450 FOOTHILL BLVD,4.14E+11,63.1,COMPLIED,-64.8,-64.8,95,No,Not Available,Not Available,Paragon California,100362,Not Available,Not Available,1,100,Not Available,91342,2016,Non-Refrigerated Warehouse,8.6,24.9,1.2,8.6,24.9,2001
1930 S SHELL AVE,4.22E+11,39.5,COMPLIED,-26.5,-26.5,Not Available,No,Not Available,Not Available,ece_cola_gsd,11000,Not Available,Not Available,1,100,Not Available,90291,2016,Fire Station,56.6,113.5,309.3,58.1,112.7,2010
5877 SAN VICENTE BLVD,4.53E+11,222.4,COMPLIED,-8.7,-8.7,64,No,Not Available,Not Available,Sk Management,107612,Not Available,Not Available,1,100,Not Available,90019,2016,Multifamily Housing,31.4,69.6,2835.9,31.6,69.8,1982
22360 W DEVONSHIRE ST,3.75E+11,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"City of Los Angeles, Recreation and Parks",10720,Not Available,Not Available,1,100,Not Available,91311,2016,Other - Recreation,Not Available,Not Available,4548.9,Not Available,Not Available,1977
1221 W 7TH ST,4.81E+11,89.1,COMPLIED,-71.6,-71.6,100,No,Not Available,Not Available,"Vert Energy Group, Inc.",109559,6972.8,63.64,2,100,Not Available,90017,2016,Multifamily Housing,10.8,33.5,6972.8,10.8,33.4,2003
1537 NORFOLK ST,5.00E+11,2152.3,COMPLIED,191.8,191.8,Not Available,No,Not Available,Not Available,University of Southern California,155926,8713.3,55.88,1,100,Not Available,90033,2016,Ambulatory Surgical Center,213,452.8,8713.3,213.7,453.6,1984
225 S GRAND AVE,4.86E+11,1407.2,COMPLIED,85.4,85.4,1,No,Not Available,Not Available,Related Management,290809,Not Available,Not Available,1,100,Not Available,90012,2016,Multifamily Housing,73.7,162.5,8173.9,73.6,162.2,2014
325 N NEPTUNE AVE,4.80E+11,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"City of Los Angeles, Recreation and Parks",20711,Not Available,Not Available,1,100,Not Available,90744,2016,Other - Recreation,Not Available,Not Available,Not Available,Not Available,Not Available,1942
345 COLUMBIA AVE,4.81E+11,21427.6,COMPLIED,6287.5,6287.5,1,No,Not Available,Not Available,"New Capital, LLC",127690,Not Available,Not Available,1,100,Not Available,90017,2016,Multifamily Housing,2212.7,6948,30635,2212.7,6948,1996
13652 CANTARA ST,4.31E+11,1198.8,COMPLIED,79.6,79.6,6,No,Not Available,Not Available,Kaiser Foundation Hospitals,103365,29972,289.96,1,100,Not Available,91402,2016,Medical Office,161,358.2,29972,165.8,363.3,1959
550 W 5TH ST,4.85E+11,966.9,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Millennium Biltmore Hotel,140409,2170.1,15.46,1,95,Not Available,90013,2016,Parking,79.4,249.2,2170.1,79.1,248.4,1986
7300 WORLD WAY WEST,4.34E+11,1550.4,COMPLIED,-39.5,-39.5,Not Available,No,Not Available,Not Available,Los Angeles World Airports,847830,Not Available,Not Available,1,50,Not Available,90045,2016,Other,24.4,74.5,7047.4,Not Available,Not Available,1964
13150 TELFAIR AVE,4.17E+11,1065,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Pacesetter,157000,Not Available,Not Available,2,80,Not Available,91342,2016,Manufacturing/Industrial Plant,90.3,277.5,2055.2,90.8,278,1989
1150 W JEFFERSON BLVD,4.74E+11,197.8,COMPLIED,-19.6,-19.6,68,No,Not Available,Not Available,University of Southern California,85780,3330.1,38.82,1,100,Not Available,90089,2016,Residence Hall/Dormitory,30.4,95.5,3330.1,30.4,95.5,1972
5927 W IMPERIAL HWY,4.44E+11,1117,COMPLIED,44.8,44.8,Not Available,No,Not Available,Not Available,Los Angeles World Airports,259347,Not Available,Not Available,1,95,Not Available,90045,2016,Other,56.8,178.3,1224.6,Not Available,Not Available,1958
801 S FIGUEROA ST,4.82E+11,1810.3,COMPLIED,-35,-35,83,No,Not Available,Not Available,"LORD Green Real Estate Strategies, Inc.",494575,Not Available,Not Available,1,80,Not Available,90017,2016,Office,48.4,151.1,6472.7,48.4,151.1,1992
251 S OLIVE ST,4.86E+11,3861.5,COMPLIED,82.7,82.7,3,No,Not Available,Not Available,"Vert Energy Group, Inc.",384002,Not Available,Not Available,1,100,Not Available,90012,2016,Hotel,156.8,323.7,25762.9,157,323.9,1991
5940 W 98TH ST,4.44E+11,21.2,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,LR Century Parking I,241500,Not Available,Not Available,0,70,Not Available,90045,2016,Parking,1.2,3.6,Not Available,1.2,3.6,1963
1630 N MAIN ST,4.93E+11,21.2,COMPLIED,-81.3,-81.3,99,No,Not Available,Not Available,Los Angeles Department of Water and Power,28800,Not Available,Not Available,1,100,Not Available,90012,2016,Non-Refrigerated Warehouse,11.9,22.1,1662.9,12.6,23.1,1961
6433 FALLBROOK AVE,3.73E+11,1742.6,COMPLIED,44.6,44.6,21,No,Not Available,Not Available,"Vert Energy Group, Inc.",240642,Not Available,Not Available,1,100,Not Available,91307,2016,Retail Store,96,298,3405.1,96,298,1964
4121 VALLEY BLVD,5.03E+11,177.3,COMPLIED,-66.3,-66.3,95,No,Not Available,Not Available,University of Southern California,292359,100.7,0.34,1,100,Not Available,90032,2016,Non-Refrigerated Warehouse,8,25.1,100.7,8,25.1,1963
15500 ROSCOE BLVD,4.19E+11,438.4,COMPLIED,35,35,Not Available,No,Not Available,Not Available,"Galpin Motors, Inc.",103355,Not Available,Not Available,1,100,Not Available,91406,2016,Automobile Dealership,55.9,175.6,1832,Not Available,Not Available,2002
9136 SEPULVEDA BLVD,4.21E+11,529.3,COMPLIED,14.6,14.6,28,No,Not Available,Not Available,9136 Sepulveda LLC,23200,21.6,0.93,0,100,Not Available,91343,2016,Supermarket/Grocery Store,342.8,783.7,21.6,Not Available,Not Available,1970
12800 CULVER BLVD,4.33E+11,10542.3,COMPLIED,-19.6,-19.6,92,No,Not Available,Not Available,AT&T,171213,Not Available,Not Available,1,100,Not Available,90066,2016,Data Center,743.6,2151.9,7019,743.6,2151.9,1998
3500 S CRENSHAW BLVD,4.60E+11,34.5,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,West Angeles Church of God in Christ,176295,34.8,0.2,1,100,18.1,90016,2016,Parking,2.6,8.1,52.8,2.7,8.3,2001
1807 E OLYMPIC BLVD,4.90E+11,170.9,COMPLIED,-73.5,-73.5,97,Yes,Not Available,Not Available,"UNI HOSIERY, INC.",370800,939.8,2.53,1,100,Not Available,90021,2016,Distribution Center,5.3,16.7,939.8,5.4,16.9,1931
705 W 9TH ST,4.82E+11,1240.1,COMPLIED,60,60,1,No,Not Available,Not Available,Greystar,267042,Not Available,Not Available,1,95,Not Available,90015,2016,Multifamily Housing,67.6,167.9,7382.5,67.7,168,2010
1855 E INDUSTRIAL ST,4.91E+11,481.2,COMPLIED,21.9,21.9,17,No,Not Available,Not Available,Prime Association Services,166822,Not Available,Not Available,1,100,Not Available,90021,2016,Multifamily Housing,42.8,101.2,3502.4,42.8,101.2,2004
8000 WORLD WAY WEST,1.12E+11,809.3,COMPLIED,-10.8,-10.8,Not Available,No,Not Available,Not Available,Los Angeles World Airports,301004,Not Available,Not Available,1,95,Not Available,90045,2016,Other,35.8,109.8,2491,Not Available,Not Available,1963
9301 CORBIN AVE,3.91E+11,602.2,COMPLIED,-30.1,-30.1,79,No,Not Available,Not Available,Arete Associates,139990,Not Available,Not Available,1,100,Not Available,91324,2016,Office,60.2,164.8,2906,Not Available,Not Available,1981
11308 PENROSE ST,4.48E+11,0,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Wald-Eisenberg Properties,151600,Not Available,Not Available,1,100,Not Available,91352,2016,Other,Not Available,Not Available,Not Available,Not Available,Not Available,1974
2009 S WESTERN AVE,4.68E+11,42.2,COMPLIED,1.1,1.1,Not Available,No,Not Available,Not Available,ece_cola_gsd,9175,Not Available,Not Available,1,100,Not Available,90018,2016,Fire Station,69.7,156,447.3,69.5,155.4,1970
535 S CURSON AVE,4.54E+11,174.8,COMPLIED,-58.5,-58.5,100,No,Not Available,Not Available,AUM,192306,Not Available,Not Available,1,95,Not Available,90036,2016,Multifamily Housing,12,37.6,10570.8,12,37.6,1951
10250 CONSTELLATION BLVD,4.35E+11,3561.8,COMPLIED,-44.1,-44.1,93,No,11/22/2016,"2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007","Marketable Engineered Projects, LLC",810474,Not Available,Not Available,1,80,Not Available,90067,2016,Office,65,136.4,8880.7,65,136.4,2003
1430 S ALAMEDA ST,4.90E+11,176.3,COMPLIED,-60.6,-60.6,98,No,Not Available,Not Available,Guess Inc,87000,204.3,2.35,1,75,Not Available,90021,2016,Mixed Use Property,26.7,83.9,204.3,26.6,83.6,1988
4095 GLENCOE AVE,4.27E+11,40,COMPLIED,-72,-72,Not Available,No,Not Available,Not Available,EXTRA SPACE STORAGE,108825,111,1.02,2,65,Not Available,90292,2016,Self-Storage Facility,4.2,13.3,111,4.2,13.3,1975
3670 GLENDON AVE,4.37E+11,0,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,SCOTT PROPERTIES,94919,Not Available,Not Available,0,100,Not Available,90034,2016,Multifamily Housing,Not Available,Not Available,Not Available,Not Available,Not Available,1973
10151 NATIONAL BLVD,4.38E+11,0,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Price Self Storage,148200,Not Available,Not Available,1,90,Not Available,90034,2016,Self-Storage Facility,Not Available,Not Available,Not Available,Not Available,Not Available,2005
20730 PRAIRIE ST,3.85E+11,15534.7,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Rexam Beverage Can Company,210000,59741.4,284.48,1,100,Not Available,91311,2016,Manufacturing/Industrial Plant,1134.6,2452.3,59741.4,1134.6,2452.3,1975
16830 DEVONSHIRE ST,4.11E+11,60.8,COMPLIED,-88.9,-88.9,Not Available,No,Not Available,Not Available,ACF Property Management,95608,Not Available,Not Available,2,95,Not Available,91344,2016,Strip Mall,8.4,26.3,9.3,8.4,26.3,1958
11640 W BURBANK BLVD,4.45E+11,365.4,COMPLIED,13.4,13.4,Not Available,No,Not Available,Not Available,ece_cola_gsd,72665,Not Available,Not Available,1,100,Not Available,91601,2016,Police Station,75,175,2013.2,78.8,179,1990
3240 WILSHIRE BLVD UNIT # 570,4.73E+11,623.3,COMPLIED,25.6,25.6,Not Available,No,Not Available,Not Available,"VHDG Koreatown, LLC",138730,Not Available,Not Available,1,20,Not Available,90010,2016,Mixed Use Property,59.2,186,10504.1,59.2,186,1941
12000 RIVERSIDE DR,4.42E+11,324.7,COMPLIED,-15.2,-15.2,78,No,Not Available,Not Available,AUM,130929,Not Available,Not Available,1,95,Not Available,91607,2016,Multifamily Housing,37.7,83.4,4328.2,37.7,83.4,2012
714 S HILL ST UNIT RM 00405,4.85E+11,268.9,COMPLIED,-52.6,-52.6,94,No,Not Available,Not Available,"Vert Energy Group, Inc.",122361,Not Available,Not Available,1,90,Not Available,90014,2016,Office,29.8,88,Not Available,29.8,88,1922
501 WORLD WAY,4.39E+11,82.1,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,Los Angeles World Airports,273602,Not Available,Not Available,1,50,Not Available,90045,2016,Parking,4,12.4,Not Available,Not Available,Not Available,1969
11728 WILSHIRE BLVD,4.22E+11,2544.6,COMPLIED,6.2,6.2,39,No,Not Available,Not Available,650186,692533,Not Available,Not Available,2,100,Not Available,90025,2016,Multifamily Housing,60.9,104.4,35575.1,66.7,110.4,1961
330 S FERRY ST,4.82E+11,67.2,COMPLIED,27.5,27.5,Not Available,No,Not Available,Not Available,ece_cola_gsd,12932,Not Available,Not Available,1,100,Not Available,90731,2016,Fire Station,73.3,196.9,1260.6,72.7,195.1,1985
1546 W MARTIN LUTHER KING BLVD,4.69E+11,37.3,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,ece_cola_gsd,56434,Not Available,Not Available,1,100,Not Available,90062,2016,Parking,9.4,24.9,98.8,9.7,25.2,1990
919 ALBANY ST,4.80E+11,90.6,COMPLIED,-94.2,-94.2,Not Available,No,Not Available,Not Available,Loyola Law School,247394,Not Available,Not Available,10,75,Not Available,90015,2016,College/University,4.8,15.2,4180.1,Not Available,Not Available,1994
936 HILGARD AVE,4.28E+11,1539.1,COMPLIED,35.4,35.4,18,No,Not Available,Not Available,HVS,249699,13192.2,52.83,1,85,Not Available,90024,2016,Hotel,96.7,196.2,13192.2,98.2,195.1,1969
11214 EXPOSITION BLVD,4.30E+11,122.3,COMPLIED,15,15,Not Available,No,Not Available,Not Available,ece_cola_gsd,32279,Not Available,Not Available,1,80,Not Available,90064,2016,Other - Public Services,54,141.6,283.8,Not Available,Not Available,2000
303 E 5TH ST,4.87E+11,2.3,COMPLIED,-99.7,-99.7,Not Available,No,Not Available,Not Available,Los Angeles MIssion,200000,29.7,0.15,1,80,Not Available,90013,2016,Other - Public Services,0.2,0.4,29.7,Not Available,Not Available,1991
1006 COLE AVE,4.62E+11,2063.3,COMPLIED,215.4,215.4,Not Available,No,Not Available,Not Available,"Television Center, Inc.",182976,Not Available,Not Available,9,85,Not Available,90038,2016,Mixed Use Property,148.7,466.9,6484.1,148.2,465.4,1924
18300 W LEMARSH ST,4.01E+11,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"City of Los Angeles, Recreation and Parks",10720,Not Available,Not Available,1,100,Not Available,91325,2016,Other - Recreation,Not Available,Not Available,Not Available,Not Available,Not Available,1977
7500 ALABAMA AVE,3.81E+11,22569,COMPLIED,5295.3,5295.3,1,No,Not Available,Not Available,"New Capital, LLC",146233,Not Available,Not Available,1,100,Not Available,91303,2016,Multifamily Housing,2035.1,6390.2,33470.8,2035.1,6390.2,2005
1601 S GRAND AVE,4.73E+11,40.4,COMPLIED,-42.1,-42.1,Not Available,No,Not Available,Not Available,ece_cola_gsd,15800,Not Available,Not Available,1,100,Not Available,90731,2016,Fire Station,38,89.3,374.3,38.1,89.8,1987
8401 FALLBROOK AVE,3.73E+11,3255.9,COMPLIED,59.1,59.1,11,No,Not Available,Not Available,CBRE,160740,14884,92.6,1,100,2512,91304,2016,Medical Office,284.2,773,17395.9,285.5,767.2,2005
435 S CURSON AVE,4.54E+11,174.8,COMPLIED,-58.5,-58.5,100,No,Not Available,Not Available,AUM,192306,Not Available,Not Available,1,95,Not Available,90036,2016,Multifamily Housing,12,37.6,10640.4,12,37.6,1951
8825 N KESTER AVE,4.23E+11,Not Available,COMPLIED,Not Available,Not Available,Not Available,No,Not Available,Not Available,"City of Los Angeles, Recreation and Parks",11915,Not Available,Not Available,1,100,Not Available,91402,2016,Other - Recreation,Not Available,Not Available,0,Not Available,Not Available,1985
5445 BALBOA BLVD,4.10E+11,230.3,COMPLIED,-42.1,-42.1,88,No,Not Available,Not Available,"5435 Balboa, LLC",74947,Not Available,Not Available,1,70,Not Available,91316,2016,Office,42.3,120.2,1385.7,43.1,118.2,1980
7025 W IMPERIAL HWY,4.36E+11,21.2,COMPLIED,-13.2,-13.2,62,No,Not Available,Not Available,Los Angeles World Airports,7773,Not Available,Not Available,1,95,Not Available,90045,2016,Office,36.6,110.6,64.3,Not Available,Not Available,1983
333 S GRAND AVE,4.85E+11,8625.6,COMPLIED,-48.1,-48.1,93,No,10/31/2016,"2016, 2015, 2014, 2013, 2012, 2011, 2009",Brookfield Properties,2771457,23003.1,8.3,1,80,Not Available,90071,2016,Office,36.3,111.7,23003.1,36.4,111.7,1981
1840 S COTNER AVE,4.27E+11,15.6,COMPLIED,-54.1,-54.1,Not Available,No,Not Available,Not Available,ece_cola_gsd,12648,Not Available,Not Available,1,100,Not Available,90025,2016,Other - Services,17.6,46,161,19,47.4,2010
2117 S BUTLER AVE,4.27E+11,15.9,COMPLIED,-55.2,-55.2,Not Available,No,Not Available,Not Available,ece_cola_gsd,7940,Not Available,Not Available,1,0,Not Available,90025,2016,Fire Station,30,69.2,120.6,31.6,67.5,2010
11135 WEDDINGTON ST,4.48E+11,648.7,COMPLIED,7.1,7.1,39,No,Not Available,Not Available,MWest Residential,277069,Not Available,Not Available,1,100,Not Available,91601,2016,Multifamily Housing,34.5,83.2,9540.7,35.1,83.9,2007
