Kansas City Building Reporting ID,Portfolio Manager Property Id,Property Name,Parent Property Id,Parent Property Name,Year,Square Feet,Postal Code,Primary Property Type,All Property Use Types,Year Built,ENERGY STAR Score,Site Energy Use (kBtu) (ACTUAL),National Median Site Energy Use (kBtu),% Difference from National Median Site EUI,Site EUI (kBtu/ft²) (ACTUAL & ESTIMATE),National Median Site EUI (kBtu/ft²),Source Energy Use (kBtu) (ACTUAL),National Median Source Energy Use (kBtu),% Difference from National Median Source EUI,Source EUI (kBtu/ft²) (ACTUAL & ESTIMATE),National Median Source EUI (kBtu/ft²),Weather Normalized Site Energy Use (kBtu),Weather Normalized Source Energy Use (kBtu),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),Energy Cost ($) (ESTIMATE),National Median Energy Cost ($),Energy Cost Intensity ($/ft²) (ESTIMATE),Water Use (kgal) (ACTUAL),Total Greenhouse Gas Emissions (Metric Tons CO2e),National Median Total GHG Emissions (Metric Tons CO2e),Total Greenhouse Gas Emissions Intensity (kgCO2e/ft²),Direct Greenhouse Gas Emissions (Metric Tons CO2e),Direct Greenhouse Gas Emissions Intensity (kgCO2e/ft²),Indirect Greenhouse Gas Emissions (Metric Tons CO2e),Indirect Greenhouse Gas Emissions Intensity (kgCO2e/ft²),eGRID Output Emissions Rate (kgCO2e/MBtu),eGRID Subregion,Location,Neighborhood Census,Council Districts,County Boundary,Zip Codes
,4472739,Fire Station 04,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"8,720",64110,Fire Station,Fire Station,1981,,"733,583.8","697,090.8",5.2,84.1,79.900000000000006,"1,416,423.7","1,345,962",5.2,162.4,154.4,"772,596","1,457,386.6",88.6,167.1,"14,787.52","14,051.89",1.7,231,96.9,92.1,11.1,22.5,2.6,74.3,8.5,240.4,(SPNO) KS-Western MO,"4000 NW 64th Street
Kansas City, Missouri 64110
(39.210476, -94.627001)",152,5,3,66
08-IS-01810,4472734,GEM Theatre,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"34,896",64108,Performing Arts,Performing Arts,1960,,"1,107,398.7","945,833.9",17.100000000000001,31.7,27.1,"3,477,232.1","2,969,918.9",17.100000000000001,99.6,85.1,"1,170,809.2","3,676,341",33.6,105.4,"53,327.72","45,547.43",1.53,219,266.2,227.4,7.6,,,266.2,7.6,240.4,(SPNO) KS-Western MO,"1615 E. 18th Street
Kansas City, Missouri 64108
(39.091177, -94.562626)",234,3,7,92
20-IS01630,4472776,Traffic Operations Center,4947917,MSC Complex,2015,"48,000",64120,Public Services,Public Services,1960,,"3,837,368.4","2,948,448.4",30.1,79.900000000000006,61.4,"7,691,543.2000000002","5,909,809.7999999998",30.1,160.19999999999999,123.1,"4,086,781.9","7,939,923.2999999998",85.1,165.4,"77,819.06","59,792.41",1.62,217.5,532,408.8,11.1,110.7,2.2999999999999998,421.3,8.8000000000000007,240.4,(SPNO) KS-Western MO,"5310 Municipal Avenue
Kansas City, Missouri 64120
(39.134806, -94.520862)",53,4,7,144
20-IS-01640,4947917,MSC Complex,4947917,MSC Complex,2015,"306,000",64120,Public Services,Public Services,1960,,"19,491,128.100000001","17,221,572.199999999",13.2,63.7,56.3,"42,640,066.600000001","37,675,037.200000003",13.2,139.30000000000001,123.1,"20,557,235.600000001","43,646,098.799999997",67.2,142.6,"366,023.38","323,403.43",1.2,217.5,"3,022.6","2,670.6",9.9,471.7,1.5,"2,550.8000000000002",8.3000000000000007,240.4,(SPNO) KS-Western MO,"5300 Municipal Ave.
Kansas City, Missouri 64120
(39.134393, -94.521654)",53,4,7,144
08-IS-01820,4472735,18th and Vine Museums,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"55,200",64108,Museum,Museum,1960,,"4,993,513.8","1,496,161",233.8,90.5,27.1,"15,679,633.5","4,697,946",233.8,284.10000000000002,85.1,"4,993,513.8","15,679,633.5",90.5,284.10000000000002,"148,820.76999999999","44,589.81",2.7,197.3,"1,200.5999999999999",359.7,21.7,,,"1,200.5999999999999",21.7,240.4,(SPNO) KS-Western MO,"1600 E. 18th Street
Kansas City, Missouri 64108
(39.091201, -94.563361)",234,3,7,92
,4472754,Fire Station 42,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"7,988",64134,Fire Station,Fire Station,1965,,"634,548.19999999995","565,616.19999999995",12.2,79.400000000000006,70.8,"1,383,238.7","1,232,975.3",12.2,173.2,154.4,"677,973.3","1,439,971.6",84.9,180.3,"13,363.59","11,911.88",1.67,195.7,98,87.3,12.3,15.5,1.9,82.5,10.3,240.4,(SPNO) KS-Western MO,"6006 Red Bridge Road
Kansas City, Missouri 64134
(38.924176, -94.520386)",166,1,7,143
10-IS-05810,4472785,5825-30 Troost - Spay and Neuter & Safety Council Complex,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"19,316",64110,Office,Office,1960,94,"829,296.5","1,771,271.9",-53.2,42.9,91.7,"1,697,614.5","3,625,888.5",-53.2,87.9,187.7,"888,935.1","1,760,235",46,91.1,"19,252.580000000002","41,121.06",1,195.7,118.2,252.4,6.1,23,1.2,95.1,4.9000000000000004,240.4,(SPNO) KS-Western MO,"5825, 5829, 5835 Troost
Kansas City, Missouri 64110
(39.020877, -94.571848)",1,2,7,165
53-IS-12110,4905977,KCI-Parking And Bus Administration,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"1,152",64153,Office,Office,1960,,"1,472,666.3","62,378.1","2,260.9","1,278.4000000000001",54.1,"4,026,557.7","170,553.9","2,260.9","3,495.3",148.1,"1,495,463.3","4,050,494.5","1,298.0999999999999","3,516.1",,,,184.5,302.3,12.8,262.39999999999998,15.2,13.2,287.2,249.3,242,(SRMW) Middle Mississippi,"400 Panama City Avenue
Kansas City, Missouri 64153
(39.314337, -94.711465)",203,5,3,133
27-IS-02210,4472765,Fire Station 24,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"12,900",64127,Fire Station,Fire Station,1979,,"1,019,609.9","1,002,525.3",1.7,79,77.7,"2,025,092","1,991,159.4",1.7,157,154.4,"1,086,834.2","2,095,677.5",84.3,162.5,"18,123.62","17,819.939999999999",1.4,183.8,139.69999999999999,137.4,10.8,29.9,2.2999999999999998,109.8,8.5,240.4,(SPNO) KS-Western MO,"2039 Hardesty Avenue
Kansas City, Missouri 64127
(39.085381, -94.519819)",222,3,7,95
53-IS-11740,4906002,KCI-Taxi Operations,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"3,578",64153,Public Services,Public Services,1960,,"513,231","169,535.9",202.7,143.4,47.4,"1,333,594.3","440,527.1",202.7,372.7,123.1,"529,644.80000000005","1,350,828.8",148,377.5,,,,179.3,99.1,32.700000000000003,27.7,7.1,2,92,25.7,242,(SRMW) Middle Mississippi,"6 International Square
Kansas City, Missouri 64153
(39.298028, -94.716897)",203,5,3,130
,4472753,Fire Station 40,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"7,794",64110,Fire Station,Fire Station,1962,,"625,771.5","725,269.8",-13.7,80.3,93.1,"1,037,989.4","1,203,030.7",-13.7,133.19999999999999,154.4,"667,776.80000000005","1,077,115.3999999999",85.7,138.19999999999999,"9,898.7999999999993","11,472.72",1.27,166.5,67.400000000000006,78.099999999999994,8.6,23.6,3,43.8,5.6,240.4,(SPNO) KS-Western MO,"5200 North Oak Trafficway
Kansas City, Missouri 64110
(39.18827, -94.576559)",82,6,4,154
,4472767,Fire Station 34,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"4,880",64110,Fire Station,Fire Station,1958,,"522,096.3","464,469.7",12.4,107,95.2,"846,699.5","753,244.8",12.4,173.5,154.4,"553,462.6","879,634.2",113.4,180.3,"7,464.7","6,640.78",1.53,162.80000000000001,54.5,48.5,11.2,20.100000000000001,4.0999999999999996,34.299999999999997,7,240.4,(SPNO) KS-Western MO,"4836 N. Brighton Street
Kansas City, Missouri 64110
(39.181353, -94.521298)",127,6,4,135
,4472752,Fire Station 33,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"5,841",64133,Fire Station,Fire Station,1957,,"635,530.69999999995","460,668.4",38,108.8,78.900000000000006,"1,243,803.3","901,578.5",38,212.9,154.4,"673,872.2","1,275,981.2",115.4,218.5,"12,792.14","9,272.4699999999993",2.19,162.69999999999999,85.4,61.9,14.6,19.100000000000001,3.3,66.3,11.4,240.4,(SPNO) KS-Western MO,"7504 East 67th Street
Kansas City, Missouri 64133
(39.002953, -94.49918)",18,2,7,37
06-IS-00920,4472737,Police Dept. Headquarters Annex,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"29,440",64106,Office,Office,1960,10,"3,090,917.1","1,879,176.2",64.5,105,63.8,"9,705,061.6999999993","5,900,358.4000000004",64.5,329.7,200.4,"3,090,917.1","9,705,061.6999999993",105,329.7,"80,852.47","49,155.65",2.75,153,743.1,451.8,25.2,,,743.1,25.2,240.4,(SPNO) KS-Western MO,"901 Charlotte
Kansas City, Missouri 64106
(39.103104, -94.573769)",5,4,7,75
08-IS-02130,4923503,Water Services Industrial Waste Control Facility,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"55,351",64106,Public Services,Public Services,1960,,"835,222.8","3,610,589.6",-76.900000000000006,15.1,65.2,"1,576,456.5","6,814,872.5",-76.900000000000006,28.5,123.1,,,,,"17,425.86","75,330.34",0.31,146.19999999999999,26.6,114.9,0.5,26.6,0.5,,,240.4,(SPNO) KS-Western MO,"1001 Harrison St.
Kansas City, Missouri 64106
(39.101741, -94.571044)",183,3,7,75
53-IS-11223,4472742,Fire Station 16,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"10,525",64110,Fire Station,Fire Station,1975,,"1,027,863.7","870,700.8",18.100000000000001,97.7,82.7,"1,917,807.5","1,624,570",18.100000000000001,182.2,154.4,"1,072,943.6000000001","1,955,835.3",101.9,185.8,"17,169.55","14,544.29",1.63,145.5,129.69999999999999,109.9,12.3,33.299999999999997,3.2,96.5,9.1999999999999993,240.4,(SPNO) KS-Western MO,"9205 NW 112th Street
Kansas City, Missouri 64110
(39.295954, -94.686793)",203,5,3,130
,4472750,Fire Station 30,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"5,820",64132,Fire Station,Fire Station,1969,,"621,923","511,894.4",21.5,106.9,88,"1,091,429.3","898,337",21.5,187.5,154.4,"659,085.80000000005","1,119,105.6000000001",113.2,192.3,"10,485.4","8,630.36",1.8,141,72.3,59.5,12.4,21.9,3.8,50.4,8.6999999999999993,240.4,(SPNO) KS-Western MO,"7534 Prospect Avenue
Kansas CIty, Missouri 64132
(38.989666, -94.557333)",154,2,7,151
,4472779,Fire Station 08,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"4,466",64410,Fire Station,Fire Station,1958,,"507,910.40000000002","351,711.8",44.4,113.7,78.8,"995,486.2","689,342.5",44.4,222.9,154.4,"524,549.30000000005","1,005,690.8",117.5,225.2,"9,955.11","6,893.59",2.23,132,51.6,35.799999999999997,11.6,15.2,3.4,36.4,8.1999999999999993,,,"1517 Locust Street
Kansas City, Missouri 64410
(39.09505, -94.577631)",11,4,7,92
,4472927,Fire Station 43,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"5,109",63416,Fire Station,Fire Station,1964,,,"451,000.2",,,88.3,,"788,591.7",,,154.4,,,,,,"6,769.58",,132,,45.9,,,,,,,,"12900 East 350 Highway
Kansas City, Missouri 63416
(38.966928, -94.432072)",214,2,7,98
31-IS-06610,4472940,Police Dept. Crime Lab - Current,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"36,750",64131,Laboratory,Laboratory,1952,,"8,096,296.7999999998","1,822,757.9",344.2,220.3,49.6,"20,097,732.100000001","4,524,698.0999999996",344.2,546.9,123.1,"8,178,239.7999999998","20,021,195.5",222.5,544.79999999999995,"164,015.26999999999","36,925.550000000003",4.46,130.5,"1,469.3",330.8,40,135.30000000000001,3.7,"1,334",36.299999999999997,240.4,(SPNO) KS-Western MO,"6633 Troost Ave.
Kansas City, Missouri 64131
(39.007438, -94.574865)",96,2,7,163
,4472751,Fire Station 37,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"6,790",64114,Fire Station,Fire Station,1958,,"505,902.6","658,613.4",-23.2,74.5,97,"805,049.2","1,048,059.9",-23.2,118.6,154.4,"523,316.1","823,333.5",77.099999999999994,121.3,"7,430.78","9,673.82",1.0900000000000001,122.2,51.4,66.900000000000006,7.6,19.899999999999999,2.9,31.5,4.5999999999999996,240.4,(SPNO) KS-Western MO,"7708 Wornall Road
Kansas City, Missouri 64114
(38.988266, -94.594389)",147,1,7,162
,4472769,Fire Station 45,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"5,829",64145,Fire Station,Fire Station,1960,,"506,208.3","450,962.5",12.3,86.8,77.400000000000006,"1,009,948.5","899,726.2",12.3,173.3,154.4,,,,,"10,660.86","9,497.3700000000008",1.83,112.5,55,49,9.4,,,55,9.4,240.4,(SPNO) KS-Western MO,"524 East Blueridge Blvd.
Kansas City, Missouri 64145
(38.889796, -94.588166)",159,1,7,129
38-IS-09310,4472746,Fire Station 41,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"14,952",64132,Fire Station,Fire Station,1960,,"1,126,400.8","1,235,874.3999999999",-8.9,75.3,82.7,"2,103,459.9","2,307,892.7000000002",-8.9,140.69999999999999,154.4,"1,187,367.8999999999","2,151,304.2000000002",79.400000000000006,143.9,"18,895.080000000002","20,731.47",1.26,109.5,142.30000000000001,156.19999999999999,9.5,36.4,2.4,105.9,7.1,240.4,(SPNO) KS-Western MO,"9300 Hillcrest Road
Kansas City, Missouri 64132
(38.956804, -94.520912)",35,2,7,98
,4472768,Fire Station 38,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"5,470",64410,Fire Station,Fire Station,1959,,"474,927","452,072.3",5.0999999999999996,86.8,82.6,"886,998.1","844,313.3",5.0999999999999996,162.19999999999999,154.4,"491,865.59999999998","898,388.1",89.9,164.2,"9,080.9699999999993","8,643.9699999999993",1.66,106.5,45.9,43.7,8.4,15.4,2.8,30.6,5.6,,,"8100 Oak Trafficway
Kansas City, Missouri 64410
(39.241149, -94.575981)",243,5,4,154
,4472782,Fire Station 25,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"5,326",64106,Fire Station,Fire Station,1956,,"816,083.7","452,563",80.3,153.19999999999999,85,"1,482,426.2","822,086.4",80.3,278.3,154.4,"860,517.8","1,520,515.2",161.6,285.5,"14,975.01","8,304.4599999999991",2.81,100.5,99.4,55.1,18.7,27.4,5.2,72,13.5,240.4,(SPNO) KS-Western MO,"401 East Missouri Avenue
Kansas City, Missouri 64106
(39.108161, -94.578468)",71,4,7,75
08-IS-01610,4472941,Police Dept. Evidence and Juvenile Units,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"14,098",64108,Police Station,Police Station,1960,,"1,506,083.4","821,178.6",83.4,106.8,58.2,"3,991,032.6","2,176,074.7999999998",83.4,283.10000000000002,154.4,"1,538,086.6","3,982,249.8",109.1,282.5,"38,078.639999999999","20,762.04",2.7,69,295.89999999999998,161.4,21,18.8,1.3,277.2,19.7,240.4,(SPNO) KS-Western MO,"1525 Holmes St.
Kansas City, Missouri 64108
(39.094877, -94.575306)",11,4,7,92
09-IS-03210,4472755,Mohart Center,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"61,611",64109,Recreation,Social/Meeting Hall,1960,,"3,380,157.5","2,293,495.7999999998",47.4,54.9,37.200000000000003,"6,341,496.5","4,302,815.5999999996",47.4,102.9,69.8,"3,599,400.6","6,520,204.0999999996",58.4,105.8,"69,793","47,355.76",1.1299999999999999,57,429.8,291.60000000000002,7,108.6,1.8,321.2,5.2,240.4,(SPNO) KS-Western MO,"3200 Wayne Avenue
Kansas City, Missouri 64109
(39.067553, -94.564473)",78,3,7,19
53-IS-12210,4905993,Fire Station 05 KCI-AARF,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"14,930",64153,Fire Station,Fire Station,1960,,"1,669,575.9","2,194,759",-23.9,111.8,147,"1,753,054.7","2,304,496.9",-23.9,117.4,154.4,"1,794,457.7","1,884,180.6",120.2,126.2,,,,53.2,88.7,116.6,5.9,88.7,5.9,,,242,(SRMW) Middle Mississippi,"173 Ottawa Avenue
Kansas City, Missouri 64153
(39.303407, -94.722751)",203,5,3,130
20-IS-01810,4472931,Fire Vehicle Parts and Maintenance Facility,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"10,500",64120,"Repair Services (Vehicle, Shoe, Locksmith, etc.)","Repair Services (Vehicle, Shoe, Locksmith, etc.)",1960,,"810,545.8","752,627.3",7.7,77.2,71.7,"1,135,228.8999999999","1,054,109.8",7.7,108.1,100.4,,,,,"10,745","9,977.2000000000007",1.02,52.5,32.700000000000003,30.4,3.1,,,32.700000000000003,3.1,240.4,(SPNO) KS-Western MO,"4951 Stillwell Avenue
Kansas City, Missouri 64120
(39.141349, -94.522068)",53,4,7,144
53-IS-11210,4905983,KCI-Overhaul Base/CUP/Manufacturing Plant/Narrow Body Hanger/Super Hanger,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"15,163",64153,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,1960,,"149,034,026.09999999",,,"9,828.7999999999993",,"270,582,760.80000001",,,"17,844.900000000001",,"153,818,139.59999999","274,569,233.89999998","10,144.299999999999","18,107.8",,,,46.5,"18,225.900000000001",,"1,202","5,016.3",330.8,"13,209.7",871.2,242,(SRMW) Middle Mississippi,"9200 NW 112th St.
Kansas City, Missouri 64153
(39.296068, -94.686757)",203,5,3,130
20-IS-01310,4949185,Blue River Water Treatment Complex,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"405,446",64120,Public Services,Wastewater Treatment Plant,1964,,"23,117,558.899999999",,,57,,"72,589,134.900000006",,,179,,"23,117,558.899999999","72,589,134.900000006",57,179,"610,968.52",,1.51,33,"5,558",,13.7,,,"5,558",13.7,240.4,(SPNO) KS-Western MO,"7300 Rochester Street
Kansas City, Missouri 64120",,,,
06-IS-01130,4923466,Garage-560 E. 11th St.,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"271,824",64106,Parking,Parking,2009,,"2,639,651.7999999998",,,9.6999999999999993,,"8,288,506.5",,,30.5,,"2,639,651.7999999998","8,288,506.5",9.6999999999999993,30.5,"72,226.7",,0.27,33,634.6,,2.2999999999999998,,,634.6,2.2999999999999998,240.4,(SPNO) KS-Western MO,"560 East 11th St.
Kansas City, Missouri 64106
(39.100888, -94.576496)",5,4,7,75
53-IS-11900,4906004,KCI-Aviation Facilities Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"10,000",64153,Other Services,Other Services,1972,,"933,061.9","558,417.19999999995",67.099999999999994,93.3,55.8,"1,677,445","1,003,914.1",67.099999999999994,167.7,100.4,"975,416.2","1,724,131.7",97.5,172.4,,,,18.8,112.6,67.400000000000006,11.3,31.8,3.2,80.8,8.1,242,(SRMW) Middle Mississippi,"711 Mexico City Ave.
Kansas City, Missouri 64153
(39.309064, -94.717322)",203,5,3,130
23-IS-00100,4472733,Kansas City Museum,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"13,964",64123,Museum,Museum,1909,,"4,028,994.1","648,924.9",520.9,288.5,46.5,"7,378,719","1,188,444.2",520.9,528.4,85.1,"4,241,334.4000000004","7,539,059.7000000002",303.7,539.9,"68,005.53","10,953.23",4.87,6.8,496.2,79.900000000000006,35.5,134,9.6,362.2,25.9,240.4,(SPNO) KS-Western MO,"3218 Gladstone Blvd
Kansas City, Missouri 64123
(39.115317, -94.542455)",202,4,7,76
,4472934,Hazardous Waste and Recycling Center,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"1,600",64120,Other,Non-Refrigerated Warehouse,1960,,"878,699","54,232.5","1,520.2",549.20000000000005,33.9,"1,554,490.2","95,941.6","1,520.2",971.6,60,"929,750.4","1,596,608.3",581.1,997.9,"15,805.67",975.51,9.8800000000000008,6,103.3,6.4,64.599999999999994,30.6,19.100000000000001,72.7,45.4,240.4,(SPNO) KS-Western MO,"4739 Deramus
Kansas City, Missouri 64120
(39.138312, -94.523397)",53,4,7,144
61-IS-02810,4951625,Birmingham Water Treatment Complex,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"150,000",64161,Wastewater Treatment Plant,Wastewater Treatment Plant,1960,,"11,510,579.6",,,76.7,,"36,143,219.799999997",,,241,,"11,636,302.1","36,537,988.700000003",77.599999999999994,243.6,"287,776.53000000003",,1.92,4.5,"2,767.4",,18.399999999999999,,,"2,767.4",18.399999999999999,240.4,(SPNO) KS-Western MO,"10801 NE 28th, Dp01
Kansas City, Missouri 64161
(39.143876, -94.454548)",138,6,4,89
53-IS-11730,4906000,KCI-Glycol Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"54,764",64153,Public Services,Public Services,1960,,"620,103.69999999995","2,147,324.7000000002",-71.099999999999994,11.3,39.200000000000003,"1,947,125.7","6,742,600.5",-71.099999999999994,35.6,123.1,"620,103.69999999995","1,947,125.7",11.3,35.6,"16,244.39","56,251.86",0.3,4.5,150,519.6,2.7,,,150,2.7,242,(SRMW) Middle Mississippi,"218 Bogota St.
Kansas City, Missouri 64153
(39.302925, -94.721873)",203,5,3,130
02-IS-01610,4905842,Kemper Garage - West Bottoms,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"359,100",64102,Parking,Parking,1960,,"1,690,376.1",,,4.7,,"5,307,781",,,14.8,,"1,705,369.2","5,354,859.0999999996",4.7,14.9,"42,719.32",,0.12,4.5,406.4,,1.1000000000000001,,,406.4,1.1000000000000001,240.4,(SPNO) KS-Western MO,"1601 Stateline
Kansas City, Missouri 64102
(39.093411, -94.607007)",241,4,7,20
05-IS-01810,4949186,Westside Water Treatment Complex,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"150,000",64105,Public Services,Wastewater Treatment Plant,1977,,,,,,,,,,,,,,,,,,,1,,,,,,"3,478.4",23.2,240.4,(SPNO) KS-Western MO,"1849 Woodsweather Road
Kansas City, Missouri 64105
(39.10989, -94.607314)",,,5,73
29-IS-05110,4472787,EMS Fire Dept. Facility,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"84,840",64129,Fire Station,Fire Station,1997,,"6,028,284.0999999996","5,054,317.7",19.3,71.099999999999994,59.6,"15,618,815.800000001","13,095,346",19.3,184.1,154.4,"6,189,561.7000000002","15,701,910.800000001",73,185.1,"127,633.19","107,011.99",1.5,0.8,"1,152.7",966.5,13.6,84.1,1,"1,068.5999999999999",12.6,240.4,(SPNO) KS-Western MO,"7650 Eastwood Trafficway
Kansas City, Missouri 64129
(39.031586, -94.496765)",19,3,7,155
57-IS-08900,4941059,Shoal Creek Golf Course Clubhouse,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"15,000",64157,Recreation,Recreation,1960,,"830,941.4","462,504.3",79.7,55.4,30.8,"2,609,156","1,452,263.5",79.7,173.9,96.8,"810,568.8","2,545,185.9",54,169.7,"30,659.27","17,065.03",2.04,0.3,201.1,111.9,13.4,,,201.1,13.4,242,(SRMW) Middle Mississippi,"8905 Shoal Creek Parkway
Kansas City, Missouri 64157
(39.256051, -94.487252)",244,6,4,152
16-IS-03500,4949188,Briarcliff Water Treatment Plant,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"150,000",64116,Wastewater Treatment Plant,Wastewater Treatment Plant,1960,,"3,945,419.8",,,1.2,,"4,142,690.7",,,1.3,,"4,177,287.7","4,386,152.0999999996",1.3,1.4,"31,559.67",,0.01,0.2,209.6,,0.1,209.6,0.1,,,240.4,(SPNO) KS-Western MO,"1 NW Briarcliff Rd.
Kansas City, Missouri 64116
(39.170368, -94.58148)",62,4,4,167
53-IS-11720,4906003,KCI-Equipment Storage Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"78,000",64153,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,1960,52,"4,916,615.0999999996","5,093,818.8",-3.5,63,65.3,"5,820,032.7000000002","6,029,797.0999999996",-3.5,74.599999999999994,77.3,"5,283,342","6,205,096",67.7,79.599999999999994,,,,0,320.60000000000002,332.1,4.0999999999999996,244.4,3.1,76.099999999999994,1,242,(SRMW) Middle Mississippi,"2 N. Manila Square
Kansas City, Missouri 64153",,,,
57-IS-06810,4472756,Shoal Creek Police Patrol Station,4950792,Police Dept. Shoal Creek Cmapus,2015,"23,234",64157,Police Station,Police Station,2013,,"1,839,841.4","1,142,117",61.1,79.2,49.2,"5,777,102","3,586,247.9",61.1,248.6,154.4,"1,839,841.4","5,777,102",79.2,248.6,"48,074.87","29,843.41",2.0699999999999998,,445.2,276.39999999999998,19.2,,,445.2,19.2,242,(SRMW) Middle Mississippi,"6801 NE Pleasant Valley Road
Kansas City, Missouri 64157
(39.21658, -94.499005)",187,6,4,135
06-IS-01110,4472725,Communications Center,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"139,426",64106,Mixed Use Property,Other,1960,,"19,915,629.699999999",,,142.80000000000001,,"49,507,437.399999999",,,355.1,,"20,049,783.699999999","49,928,681.200000003",143.80000000000001,358.1,"439,176.34","152,280.57",3.15,,"3,645.4","1,264",26.1,,,"3,645.4",26.1,240.4,(SPNO) KS-Western MO,"1111 Locust Street
Kansas City, Missouri 64106
(39.10079, -94.577335)",5,4,7,75
27-IS-02720,4905988,Police Dept. Vehicle Maintenance Facility,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"21,500",64127,"Repair Services (Vehicle, Shoe, Locksmith, etc.)","Repair Services (Vehicle, Shoe, Locksmith, etc.)",1960,,"2,406,996.7000000002","968,070.6",148.6,112,45,"5,366,652.5999999996","2,158,415.2999999998",148.6,249.6,100.4,"2,503,296.9","5,467,767.7999999998",116.4,254.3,"46,916.44","18,869.330000000002",2.1800000000000002,,382.3,153.80000000000001,17.8,55.7,2.6,326.60000000000002,15.2,240.4,(SPNO) KS-Western MO,"5217 E. 27th St.
Kansas City, Missouri 64127
(39.076136, -94.522425)",107,3,7,95
29-IS-04500,4905989,Police Dept. Helicopter and K-9 Unit,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"7,000",64129,Police Station,Police Station,1960,,"501,068","344,100",45.6,71.599999999999994,49.2,"1,573,353.6","1,080,474.1000000001",45.6,224.8,154.4,"504,484.4","1,584,081",72.099999999999994,226.3,"14,489.32","9,950.2900000000009",2.0699999999999998,,120.5,82.7,17.2,,,120.5,17.2,240.4,(SPNO) KS-Western MO,"4601 Eastern Ave.
Kansas City, Missouri 64129
(39.043984, -94.498988)",19,3,7,155
05-IS-01710,4472732,Garage-1621 Broadway,Not Applicable: Standalone Property,Not Applicable: Standalone Property,2015,"332,200",64108,Parking,Parking,2011,,"3,246,082.3",,,9.8000000000000007,,"10,192,698.6",,,30.7,,"3,263,550","10,247,546.9",9.8000000000000007,30.8,"92,554.65",,0.28000000000000003,,780.4,,2.2999999999999998,,,780.4,2.2999999999999998,240.4,(SPNO) KS-Western MO,"1621 Broadway
Kansas City, Missouri 64108
(39.093743, -94.588709)",149,4,7,92
