natural_gas_use_kbtu,portfolio_manager_id,postal_code,property_name,source_eui_kbtu_ft,total_ghg_emissions_mtco2e,district_steam_use_kbtu,site_eui_kbtu_ft,primary_property_type_epa_calculated,number_of_buildings,energy_star_score,location_1_address,year_built,fuel_oil_2_use_kbtu,property_floor_area_buildings_and_parking_ft,water_use_all_water_sources_kgal,electricity_use_kbtu,notes,philadelphia_building_id
Not Available,3891105,19107,Market Street East,63.4,720.7,Not Available,20.2,Parking,1,Not Available,901-13 Filbert Street,1977,Not Available,266700,602.9,5383654.90,,781092200
Not Available,3689468,19106,700 Duncan Building,346.4,1220.90,Not Available,110.3,Parking,6,Not Available,700 Duncan Building,1979,Not Available,184383,4820.60,9120183.90,,883102000
"455,338.80",3682858,19102,Parkway Building,620.2,539.4,Not Available,212.5,Parking,1,Not Available,150 N. Broad Street,1987,Not Available,173512,718.2,3848674.60,,883413000
Not Available,3959060,19103,Rittenhouse Parking Garage,31.5,107.5,Not Available,10,Parking,1,Not Available,2000-04 Walnut Street,1989,Not Available,80105,713.4,802775.40,,883427700
Not Available,3976339,19103,"Philadelphia Chancellor, LP",569.6,93.5,Not Available,181.4,Parking,1,Not Available,1602-34 Chancellor St.,1952,Not Available,117340,270.9,698368.20,,883426100
"5,507,575.50",3981473,19124,Hoffman Hall,303.1,823.4,Not Available,157.5,Prison/Incarceration,1,Not Available,3950 D ST - REAR,1919,Not Available,60160,10977.30,3965907.50,,881439700
"290,843.00",3858135,19123,Philadelphia Warehousing and Cold Storage,129.6,1856.40,Not Available,41.9,Refrigerated Warehouse,1,75,500 n Christopher Columbus Blvd,1891,Not Available,335538,3084.90,13752182.00,,884019029
Not Available,3967891,19125,Produce Garden,74.5,186.5,Not Available,23.7,Refrigerated Warehouse,1,92,2041 - 2055 Coral Street,1950,Not Available,58740,65.1,1393460.80,,884346250
"1,301,298.50",2849421,19107,Spruce Residence Hall,174.8,602.8,Not Available,66.6,Residence Hall/Dormitory,1,Not Available,1224-34 Spruce Street,1922,Not Available,79412,4170.50,3986809.40,,772508050
"877,348.60",2858164,19102,Pine Residence Hall,187,434.4,Not Available,70.4,Residence Hall/Dormitory,1,Not Available,1500-02 Pine Street,1920,Not Available,53577,3323.80,2896667.90,,772516000
"1,901,035.80",3569581,19133,1007-15 W. LEHIGH AVENUE,170.6,452.1,Not Available,75.4,Residence Hall/Dormitory,1,56,1007-15 W. LEHIGH AVENUE,1940,Not Available,60000,4429.50,2623320.30,,881134805
"3,237,132.70",3155346,19103,Kate's Place,253.5,675.4,Not Available,116.6,Residence Hall/Dormitory,1,26,1929 Sansom St,1900,Not Available,60000,4946.10,3760743.90,,886617500
"147,734.90",3951344,19148,Preferred Freezer Services-Phila,52.8,379.5,Not Available,17.4,Refrigerated Warehouse,1,98,3101 South Third St,2007,Not Available,168000,4058.10,2776253.00,,884150410
"677,467.80",3571438,19132,2900-12 N. 17TH STREET,62.3,164.9,Not Available,27.3,Residence Hall/Dormitory,1,98,2900-12 N. 17TH STREET,1926,Not Available,60000,,963261.90,,881427020
"4,862,299.90",3893215,19141,La Salle #2 (Katherine's and B&G),377.1,1328.30,Not Available,160.5,Residence Hall/Dormitory,2,Not Available,2006-50 W Olney Ave,1983,Not Available,80106,4187.20,7993592.70,,776516000
"9,757,340.30",3893260,19144,La Salle #1 (Resid Halls),160.7,916.1,Not Available,112.8,Residence Hall/Dormitory,7,Not Available,2006-2050 W. Olney Ave,1953,"1,063,027.90",117005,7121.90,2382908.70,,776516000
"5,925,688.30",3727405,19116,#6866 Bustleton Ave,223.1,1042.50,Not Available,108.8,Retail Store,1,52,815-25 Hendrix Street,2007,Not Available,104424,664,5436445.40,,882095030
Not Available,3773373,19139,FORMAN MILLS 106,147,330,Not Available,46.8,Retail Store,1,63,4806 Market Steet,1920,Not Available,52656,162.9,2465331.00,,884247008
Not Available,2343876,19124,3454,76.8,279.1,Not Available,24.5,Retail Store,1,95,900 Orthodox St,1980,Not Available,85221,294,2084912.80,,882082000
"2,731,614.60",3685748,19134,#4150 Port Richmond,224.2,1118.60,Not Available,87.2,Retail Store,1,51,2539 Castor Avenue,2001,Not Available,114660,1169.00,7272183.30,,882059510
"2,522,819.10",1547807,19148,PHILADELPHIA SE (1443),189,1108.90,Not Available,72.6,Retail Store,1,79,1 MIFFLIN ST,2002,Not Available,135033,1295.50,7282951.50,,882055480
"4,336,906.80",3685746,19148,#4101 S Philadelphia,156.8,884.6,Not Available,72.7,Retail Store,1,74,1651 Christopher Columbus Blvd,1994,Not Available,126922,990.6,4887284.00,,882055160
Not Available,3641704,19107,Martin Building,222,878.3,"3,986,766.20",139.4,Residence Hall/Dormitory,1,35,201 South 11th Street,1959,Not Available,81525,2577.80,2769923.00,,771019000
"22,409.70",3815264,19114,Northeast Shopping Center-Burlington Coat Factory,128.1,381.6,Not Available,41,Retail Store,1,59,9173-75 E Roosevelt Boulevard,1961,Not Available,69842,259.6,2842021.30,,882093500
"399,912.40",3824196,19128,Andorra Shopping Center-Kohl's,149.5,514.5,Not Available,50.9,Retail Store,1,68,"701 E Cathedral Rd ""Henry Avenue && Cathedral Road""",1953,Not Available,80200,301.3,3684461.80,,882116500
Not Available,4479069,19134,VENANGO 101 ASSOCIATES LLC,16.3,59.7,Not Available,5.2,Retail Store,0,Not Available,101 EAST VENANGO STREET,1930,Not Available,86000,31.6,445919.10,,884047200
Not Available,3980104,19114,Blue Grass Road,16.2,207.5,Not Available,5.2,Retail Store,1,Not Available,9490 Blue Grass Road,1964,Not Available,300000,,1549893.50,,884225002
"8,841,600.00",3957286,19151,City Avenue Shopping Center,236.7,1628.80,Not Available,113.6,Retail Store,1,1,7720 City Line Avenue,2000,Not Available,110843,4301.00,8658990.70,,882085000
"3,020,892.90",3830539,19107,U-Haul Moving and Storage of Philadelphia,82.6,368.9,Not Available,46.9,Self-Storage Facility,1,Not Available,314-22 N 13th ST,1910,Not Available,97540,59.2,1556755.00,,884033000
"835,998.80",4142072,19147,U-Haul Moving and Storage of South Philadelphia (1201-21),35.3,156.1,Not Available,16.9,Self-Storage Facility,1,Not Available,1201-21 Washington Ave,1907,Not Available,99140,,834585.40,,884005170
Not Available,4591757,19152,U-Haul Moving and Storage at Roosevelt Blvd,52.8,161.9,Not Available,16.8,Self-Storage Facility,1,Not Available,7700-7750 Roosevelt Blvd,1955,Not Available,72000,40.5,1209743.00,,884265300
"448,478.60",3989967,19144,Germantown,33,98.8,Not Available,14.9,Self-Storage Facility,1,Not Available,6224 Germantown Ave.,2005,Not Available,67500,9,560213.90,,884926200
Not Available,3857967,19144,GT Penn & LTSR,273.1,2372.20,"16,233,819.20",141.8,Senior Care Community,2,7,625 East Wisteria St,1980,Not Available,182687,11966.90,9668488.90,,
Not Available,3638081,19148,Lincoln Financial Field,853.3,6060.90,Not Available,271.7,Stadium (Open),1,Not Available,One Lincoln Financial Field Way,2003,Not Available,1403194,11098.80,45276079.90,,788023020
Not Available,3966490,19132,Hope Plaza,254.3,1246.70,Not Available,81,Strip Mall,7,Not Available,2101-49 West Lehigh Ave,1986,Not Available,115000,1688.80,9313388.40,,882042235
Not Available,4056192,19118,"Market Square Plaza I , LLC",390.7,1887.60,Not Available,124.4,Strip Mall,4,Not Available,7700-7782 Crittenden Street,1972,Not Available,113316,4656.60,14100482.40,,882040300
"1,721,084.10",4096892,19104,CSE Centennial Village,261.6,861.7,Not Available,98.4,Senior Care Community,1,24,4400 West Girard Ave,1978,Not Available,75972,5869.20,5754003.60,,881437000
Not Available,1782595,19104,Sansom Common,550.7,6945.20,"35,518,192.80",343.4,Hotel,1,2,3600 Walnut Street,1997,Not Available,259330,14739.20,21755048.50,,773566000
Not Available,4066290,19115,Red Lion Shopping Center,5.3,51.6,Not Available,1.7,Strip Mall,6,Not Available,9898 Roosevelt Blvd.,1962,Not Available,229206,1447.90,385728.60,,882070230
"3,778,938.80",3892802,19144,Maplewood Nursing,423,947.6,Not Available,184.2,Senior Care Community,1,5,125 West Schoolhouse Lane,1975,Not Available,50797,9771.30,5579264.90,,881447201
"5,988,644.70",3875946,19145,Shop Rite of Oregon Avenue,736.9,1793.80,Not Available,306.5,Supermarket/Grocery Store,1,65,Oregon Avenue,1990,Not Available,54388,1215.40,11023520.30,,882046400
"5,688,400.40",4092244,19149,Pathmark Store 2710,706.6,2075.00,Not Available,281.3,Supermarket/Grocery Store,1,46,2101-41 Cottman Avenue,1996,Not Available,67305,1319.60,13243821.30,,882064600
"4,954,299.70",4092245,19148,Superfresh Store 2726,585.6,1577.00,Not Available,240.1,Supermarket/Grocery Store,1,72,1601 South Christopher Columbus B,1999,Not Available,61506,606.7,9814573.60,,882055190
"6,685,217.70",3782900,19137,ShopRite of Aramingo Avenue,715.8,2341.00,Not Available,287.4,Supermarket/Grocery Store,1,31,3745 Aramingo Avenue,1995,Not Available,74888,2589.50,14834922.20,,882059425
"3,453,100.10",1260705,19149,07704-Harbison,580.7,1325.70,Not Available,228.8,Supermarket/Grocery Store,1,70,6601 Roosevelt Blvd.,1980,Not Available,52380,801,8533016.20,,882129500
"5,216,594.60",3878985,19114,Giant Supermarket Grant Ave,213.7,718.6,Not Available,114.9,Supermarket/Grocery Store,0,100,2550 Grant Ave,2011,Not Available,74100,6344.20,3298298.50,,882069750
"7,590,600.60",3697307,19148,Southeast Water Pollution Control Plant,2430.40,8310.60,Not Available,846.8,Wastewater Treatment Plant,10,99,25 E. Pattison Ave at Greiner Rd,1900,Not Available,80064,48918.10,60211168.20,,781358000
"45,580.90",3751826,19145,St. Edmond Church,22.8,127,Not Available,18.8,Worship Facility,1,95,2130 So. 21st St.,1936,"1,406,427.00",85086,480.6,151268.50,,773235000
"1,934,443.30",3751922,19130,St. Francis Xavier Church,54.6,150.1,Not Available,39.8,Worship Facility,3,Not Available,2319-2331 Green Street,1906,Not Available,57540,867.4,353636.40,,772147500
"5,029,325.10",3673577,19137,Walmart Supercenter #01-5891,327.9,1330.60,Not Available,140.7,Wholesale Club/Supercenter,1,66,2200 WHEATSHEAF LN,2012,Not Available,92185,1061.10,7944405.30,,882125404
"7,343,554.70",3782624,19154,Sam's Club #18-6332,350.9,2051.00,Not Available,148.5,Wholesale Club/Supercenter,1,25,1000 Franklin Mills Circle,2000,Not Available,133000,1230.70,12407325.10,,882693100
"1,047,135.60",3668169,19129,St. Bridget Church,23.3,63.8,Not Available,20,Worship Facility,1,95,3669 Midvale Ave,1943,Not Available,55380,594.9,61074.80,,775243000
"1,209,676.30",3849600,19132,Deliverance Evangelistic Church,97.6,676.1,Not Available,36.1,Worship Facility,1,Not Available,2001-49 West Lehigh Ave.,1992,Not Available,160000,1614.30,4570681.10,,776185400
"3,642,942.50",3876022,19145,St. Monica Church,111.5,395.9,Not Available,67.1,Worship Facility,4,Not Available,1700 Ritners st.,1971,Not Available,76863,68.3,1511787.30,,773143500
"1,360,441.80",3892303,19140,Esperanza Center,82,112.8,Not Available,57.3,Worship Facility,1,56,191-201 W Hunting Park Ave,1970,Not Available,29000,617.1,302593.70,,884042149
"17,282,344.40",4066717,19139,Juvenile Justice Center - N 48th St (YSC),350,2531.40,Not Available,183.3,Prison/Incarceration,1,Not Available,91 N 48th St,2013,Not Available,160000,,12052780.80,,783707500
Not Available,4104003,19147,Abbotts Square,,,Not Available,,Retail Store,1,Not Available,530 S 2nd St,1986,Not Available,36662,,,,883407500
Not Available,4457702,19154,Walmart Supercenter #2650,,2433.90,Not Available,,Wholesale Club/Supercenter,1,Not Available,4301 Byberry Road,2014,Not Available,176191,,,,882693050
"17,412,799.70",4547873,19106,Hilton Pennslanding Philadelphia,524.8,3501.70,Not Available,244.4,Hotel,1,3,201 S Columbus Blvd,1999,Not Available,172800,12824.60,19249146.00,,883710700
"13,822,919.30",1750750,19103,"1600 MARKET STREET, Site #602760",154.5,6181.50,Not Available,59.2,Office,1,86,1600 MARKET ST,1983,Not Available,930550,9002.80,40692092.00,,883031500
"8,703,587.30",3369313,19125,Fleet Shop 134,301.3,843,Not Available,192.6,Other - Services,1,Not Available,100 E Hunting Park Ave,1968,Not Available,59962,205.7,2843790.80,,884460965
"306,045.90",3892821,19134,449 East Tioga St,13.9,201.7,Not Available,5,Non-Refrigerated Warehouse,1,100,449 East Tioga St,1960,Not Available,337200,66.6,1385029.70,,884047000
"8,315,240.30",3330920,19150,Edmonds FS,156.1,605.3,Not Available,118.5,K-12 School,1,15,8025 THOURON AVE,1949,Not Available,80500,1589.00,1222568.40,,784479400
Not Available,3760060,19127,Manayunk Self Storage,20.2,91.3,Not Available,6.4,Self-Storage Facility,2,Not Available,116 Fountain Street,1903,Not Available,106000,22.1,681662.70,,884083300
"284,522.10",3330947,19126,Wagner,168.4,866.8,Not Available,130.3,K-12 School,1,13,1701 CHELTEN AVE,1929,"8,949,714.60",81589,699.6,1400803.80,,785097400
"226,253.50",3952315,19106,WHY Building,164.4,562.6,Not Available,54.2,Office,1,67,1425 Arch Street,1915,Not Available,80000,2447.60,4113179.60,,883057103
"14,796,958.60",3330743,19141,Girls High,108.6,1204.50,Not Available,76.8,K-12 School,1,55,1400 WEST OLNEY AVE,1958,Not Available,233372,3996.70,3126731.60,,785056600
"4,589,524.20",3330797,19142,Morton,122,490.7,Not Available,74,K-12 School,1,39,2501 S 63rd St,1972,Not Available,87000,1328.30,1844421.10,,783130400
"9,390,089.40",3936840,19148,Rotem USA 1,105.9,1387.50,Not Available,55.3,Manufacturing/Industrial Plant,2,Not Available,2414 Weccacoe Ave,2007,Not Available,290000,1370.80,6638765.90,,884138714
Not Available,4075686,19124,Adams 1300 LP,4.1,10.6,Not Available,1.3,Manufacturing/Industrial Plant,4,Not Available,1300 Adams Ave.,1929,Not Available,60000,229.9,79124.70,,884091000
Not Available,4037359,19118,Main Clubhouse,185.4,433.4,Not Available,59,Mixed Use Property,1,Not Available,415 W Willow Grove Ave,1854,Not Available,54836,23112.60,3237647.10,,775780200
"3,487,099.90",1260373,19152,07725-Pennypack Circle,570.5,1251.50,Not Available,227.9,Supermarket/Grocery Store,1,73,8200 Roosevelt Blvd,2002,Not Available,50256,1645.00,7965621.10,,882067000
"2,924,259.70",3894029,19118,Saint Pauls Church,73,209.9,Not Available,55.9,Worship Facility,1,74,22 East Chestnuthill Avenue,1928,Not Available,59600,222,407576.70,,775110000
Not Available,3637500,19103,Club Quarters Hotel,96.7,1051.80,"2,996.90",30.8,Hotel,1,94,1628 Chestnut Street,1927,Not Available,255000,6829.00,7855355.50,,883704900
"3,454,682.50",4129577,19124,Mariana Braceti Academy Charter School,132.5,829.6,Not Available,58.4,K-12 School,1,41,3900 Jasper St,1928,Not Available,141785,249.8,4826806.30,,777210000
"5,276,212.00",3898799,19107,Hilton Home2 Hotel,177.2,1187.10,Not Available,79.6,Hotel,0,70,1200 Arch St,2013,Not Available,151000,4537.90,6774683.00,,883705215
"118,610,589.30",3698001,19137,Northeast Water Pollution Control Plant,1054.80,11855.30,Not Available,671.4,Wastewater Treatment Plant,20,100,3899 Richmond St,1944,"2,307,599.90",240000,50954.30,40219837.10,,884463045
"1,921,980.10",4084040,19112,"Urban Outfitters, Inc. - Building #010",463.7,1104.20,Not Available,170.9,Office,1,3,5000 S Broad Street,1903,Not Available,57081,699.4,7485672.10,,788008310
"1,551,141.00",3891212,19124,Community Academy of Philadelphia,107.7,554.9,Not Available,43.1,K-12 School,1,76,1100 East Erie Avenue,1958,Not Available,118000,134.9,3529400.10,,777575905
"1,183,432.50",4392783,19139,Cobbs Creek Rec Center & Ice Rink,211.8,605.8,Not Available,79.4,Ice/Curling Rink,1,Not Available,280 Cobbs Creek Pky,1904,Not Available,66000,203.5,4056172.00,,783097300
"20,061.50",3894669,19103,2000 Market Street,259.3,8034.40,"46,090,405.30",125.5,Office,1,48,2000 Market Street,1972,Not Available,661669,206.5,37149548.90,,883320500
"2,678,668.00",3633517,19154,United Refrigeration Inc. Headquarters,251.6,1325.50,Not Available,94.8,Distribution Center,1,11,11401 Roosevelt Blvd.,1960,Not Available,121508,564.9,8838960.00,"United expanded there head quarters by converting 18,000 sq ft of warehouse to condition office space. providing offices for 150 additional employees starting January 1, 2015 . Thus we were not able too meet our energy reduction to our baseline.",884267500
"51,603,265.40",3760930,19134,St. Christophers Hospital for Children,327.5,11312.00,Not Available,148.8,Hospital (General Medical & Surgical),1,88,Erie Avenue at Front St.,1989,"431,361.30",1043572,42113.20,63788158.90,,777010000
"219,640.80",3330902,19140,Cramp,215.8,738.6,Not Available,70.5,K-12 School,1,12,3449 N MASHER ST,1970,Not Available,80088,576.2,5430491.40,,786211400
"803,587.70",3582095,19102,1435 Walnut St. (Drexel Building),244.6,596.7,Not Available,87.3,Office,1,Not Available,1435 Walnut St.,1908,Not Available,56588,1495.50,4138957.30,,883038000
"185,603.40",3632497,19107,Thompson Building,323.9,2600.10,"15,512,448.30",159.8,Hospital (General Medical & Surgical),1,97,1020 Sansom Street,1925,Not Available,171219,,11655371.50,,771020000
"4,083.50",3696770,19104,Science and Technology Center (STC),254.9,847.7,Not Available,81.2,College/University,1,Not Available,4320 Woodland Ave,2007,Not Available,78000,2177.10,6330897.80,,773502090
"37,646,394.00",3608777,19144,4700 Wissahickon Ave.,131.5,4103.60,Not Available,78.9,Non-Refrigerated Warehouse,1,57,4700 Wissahickon Ave.,1929,Not Available,676000,5855.80,15717077.70,,884132005
"898,489.90",3960550,19136,New Foundations Charter High School,186.8,556.9,Not Available,68.2,K-12 School,1,19,4850 Rhawn Street,2012,Not Available,50000,359.6,3803666.90,,884253450
"21,412,845.80",3330943,19124,Frankford HS,125.8,1861.20,Not Available,85.5,K-12 School,1,77,5000 OXFORD AVE,1916,Not Available,313765,7047.70,5407474.10,,786407400
Not Available,3662883,19104,Penn Tower,353.7,4531.80,"13,538,084.10",141.7,Office,1,Not Available,1 Convention Avenue,1972,Not Available,342000,12438.00,27138079.00,,773512000
"28,705,800.10",3667832,19124,Orthodox Facility,949,4852.00,Not Available,469.8,Manufacturing/Industrial Plant,1,Not Available,1100 Orthodox Street,1960,Not Available,114000,417.6,24855669.40,,884091500
"5,704,705.10",3893742,19111,Shop Rite Oxford Ave.,678.6,1880.10,Not Available,276.1,Supermarket/Grocery Store,1,22,6301 Oxford Ave,1996,Not Available,63342,1598.40,11780888.80,,882842425
"4,534,920.00",3813588,19139,Kirkbride Center,154.3,2603.70,Not Available,56.9,Other,6,Not Available,111 N. 49th St.,1889,Not Available,390125,11199.10,17651122.20,,883081705
"5,072,558.80",3330726,19139,West Philadelphia (New),143,1078.50,Not Available,65.4,K-12 School,1,36,4901 Chestnut St,2011,Not Available,170013,1135.90,6044003.20,,783094900
"13,389,824.30",3330921,19119,Emlen,241,877.1,Not Available,196.4,K-12 School,1,2,6501 CHEW AVE,1926,Not Available,74500,2576.40,1239496.70,,784061400
Not Available,3983809,19122,Alter Hall,200.5,2095.20,"9,738,168.30",119,College/University,1,Not Available,1801 Liacouras Walk,2000,Not Available,217526,2982.40,7365624.30,,777509000
"1,904,719.60",3885150,19102,DUMed-1427 Vine Street Building,247.2,830.6,Not Available,95.1,College/University,1,Not Available,1427 Vine Street,1940,Not Available,77304,1612.50,5448851.40,,772028000
"239,129,291.90",3681375,19154,Pepsi Bottling Group,1574.40,17362.20,Not Available,1196.70,Manufacturing/Industrial Plant,2,Not Available,11701 Roosevelt Blvd,1969,Not Available,228920,72245.40,34817719.90,,884269000
"3,505,237.70",3330822,19106,McCall,109.1,345.9,Not Available,69,K-12 School,1,59,325 SOUTH 7TH ST,1909,Not Available,68076,477.7,1192853.60,,781518600
"6,310,023.10",3619999,19138,Fresh Grocer,675.5,1492.50,Not Available,299.1,Supermarket/Grocery Store,1,28,5301 Chew Avenue,2009,Not Available,50000,2203.20,8645547.40,,122226915
Not Available,1182097,19116,1192-Nortech,1494.20,7911.20,Not Available,475.9,Other,1,Not Available,2000 Kubach Rd.,1990,Not Available,124190,6087.30,59097955.40,,883033800
"197,514.30",3766953,19139,Church of God Non Sectarian,4.1,16.5,Not Available,2.8,Worship Facility,1,100,5101 Haverford Ave,1910,Not Available,86052,126.8,44979.20,,774182000
"3,665,676.50",3330857,19131,Heston,132.5,491.9,Not Available,72.1,K-12 School,1,35,1621 N 54TH ST,1971,Not Available,81640,1861.80,2220425.90,,783257800
"140,117.90",3979389,19122,GITTIS STUDENT CENTER,169.6,1817.20,"9,163,782.70",105.1,College/University,1,Not Available,1755 N. 13TH,2000,Not Available,220700,2532.40,5787441.20,,777569000
"9,651,514.10",3667834,19111,Dungan Facility,236.8,1948.50,Not Available,110.2,Manufacturing/Industrial Plant,1,Not Available,7722 Dungan Road,1960,Not Available,185000,2299.50,10726492.10,,884221500
"9,269,877.30",2384734,19106,15683-HI Philadelphia Hist Dist-DJONT2,195.7,2069.10,Not Available,88.2,Hotel,1,67,400 Arch Street,1970,Not Available,333688,9.7,11778667.60,,883711100
"2,844,498.40",3330870,19121,Kelley William,93.8,311.6,Not Available,56.2,K-12 School,1,18,1601 N. 28TH ST,1966,Not Available,72000,530.2,1198903.80,,784611000
"271,202.80",3330813,19130,Masterman,138.1,738.5,"7,818,970.70",91.6,K-12 School,1,46,1699 SPRING GARDEN ST,1933,Not Available,105000,614.8,1530773.00,,782513600
"7,397,327.30",3694560,19131,Please Touch Museum at Memorial Hall,272.5,1874.10,Not Available,118.3,Museum,1,Not Available,4231 Avenue of the Republic,1876,Not Available,156000,2514.90,11064409.70,,0
"20,823,400.00",3501878,19131,287-West Philadelphia,649.5,1765.20,Not Available,448,Manufacturing/Industrial Plant,1,Not Available,4700 West Jefferson Street,2009,Not Available,57471,17213.00,4923761.70,,884897402
Not Available,3663692,19111,0981-Philadelphia - Oxford Ave.,22.4,60,Not Available,7.1,Non-Refrigerated Warehouse,1,82,6204 Oxford Ave,2009,Not Available,62835,4,448432.30,,884220920
Not Available,3882112,19145,Quartermaster,285.4,730.2,Not Available,90.9,Office,1,Not Available,2800 S. 20th St,1941,Not Available,196375,8882.40,5454406.10,,884095052
"2,096,406.20",3589870,19124,Lea,136.3,544.3,Not Available,100.7,K-12 School,1,22,4700 LOCUST ST,1914,Not Available,70000,2410.50,1100637.80,,783705200
"4,121,039.10",3493360,19132,Allen Ethel,167.7,629.3,Not Available,86.4,K-12 School,1,14,3200 WEST LEHIGH AVE,1971,Not Available,83197,1446.90,3065682.00,,784224400
"14,865,658.10",3815208,19146,Barratt (New Childs),172.9,1111.60,Not Available,128.9,K-12 School,1,9,1599 WHARTON ST,1928,Not Available,134000,2985.20,2405496.50,,782673800
Not Available,3783041,19123,"National Chemical Laboratories, Inc.",50.2,903.1,"8,072,807.20",29.6,Manufacturing/Industrial Plant,1,Not Available,401 N 10th Street,1949,Not Available,365000,5216.30,2742359.90,,884031400
"6,010,944.00",3856406,19103,Hallahan High School,110.2,527.8,Not Available,74.5,K-12 School,1,79,311 N. 19th Street,1911,Not Available,101640,1450.80,1558059.10,,772283000
"663,141.10",3642359,19140,American Box & Recycling Co.,16.2,151.5,Not Available,7.2,Distribution Center,2,Not Available,3900 North 10th Street,1913,Not Available,211489,198.8,868342.40,,884822730
"3,270.30",3983810,19122,WACHMAN HALL,339.5,2107.50,"8,322,311.30",194.4,College/University,1,Not Available,1819 N. BROAD ST.,2000,Not Available,130655,8430.60,8070495.70,,777509000
"159,429.60",3498651,19131,Bluford,163,650.7,Not Available,82.6,K-12 School,1,5,5720 MEDIA ST,1909,"3,387,742.20",99926,538.6,2919691.00,,783318200
"152,901.00",3330959,19135,Lawton,169.6,578.6,Not Available,55.3,K-12 School,1,35,6100 JACKSON ST,1973,Not Available,79856,678.4,4261482.20,,786033600
Not Available,3893447,19152,Smylie Times Building - 2607 Rhawn St,435.4,1014.80,Not Available,138.7,Office,1,Not Available,2607 Rhawn St,1973,Not Available,54666,2085.90,7580931.70,,883090500
"9,927,494.40",3783002,19132,Garage - Broad St,113.4,704.8,Not Available,87.5,K-12 School,1,67,2600 N. Broad St.,1980,Not Available,128600,285.1,1325665.40,,785053000
"4,762,784.60",3330817,19145,Bregy,117.7,370.9,Not Available,85.5,K-12 School,1,54,1700 BIGLER ST,1923,Not Available,66000,373.2,881290.30,,782008600
"6,990,572.00",3696988,19104,3930 Chestnut St.,333.9,1013.40,Not Available,175.7,Office,1,7,3930 Chestnut St,1966,Not Available,67084,1977.10,4796944.40,,773687010
"2,777,835.70",3267049,19146,Health Administration Building,366.5,1236.90,Not Available,140.5,Office,1,19,500 S Broad St,1959,Not Available,77688,2768.00,8137838.40,,782026200
"13,903,123.90",4478915,19130,Saint Josephs Prep,132.6,2352.30,Not Available,65.6,K-12 School,1,75,1733 West Girard Ave,1851,Not Available,395507,3157.60,12056025.60,,772510500
"10,612,445.80",3966890,19129,ShopRite of Fox Street,683.3,2176.70,Not Available,316.1,Supermarket/Grocery Store,1,80,2800 Fox Street,2013,Not Available,71686,,12049925.00,,882066190
"219,292.60",3959812,19121,2239 West Montgomery Ave,49.9,123.5,Not Available,18.4,K-12 School,1,100,2239 West Montgomery Ave,1918,Not Available,57200,1265.20,835548.30,,772176000
"494,691.50",3600823,19111,Wilson W,56.7,412.3,Not Available,31.5,K-12 School,1,96,1800 COTTMAN AVE,1928,"2,277,276.00",139500,533.4,1621181.40,,786082400
"5,193,158.30",4126295,19149,Allen Ethan,132.8,419.7,Not Available,94.3,K-12 School,1,29,3001 ROBBINS AVE,1929,Not Available,66482,633.9,1074387.30,,786461400
"21,461,743.00",3698449,19136,Baxter Water Treatment Plant,277.7,2925.90,Not Available,150,Drinking Water Treatment & Distribution,5,Not Available,9001 State Road,1959,Not Available,232000,692509.10,13341643.30,,786071000
"668,585.90",3668236,19148,"M. Levin and Company, Inc.",189.8,678.3,Not Available,65.8,Refrigerated Warehouse,1,52,326 Pattison Avenue,1959,Not Available,83150,141.6,4801635.90,,884143500
Not Available,3512104,19140,GLC 14340/3429 N 17TH ST/PHILADELPHIA/PA,305.7,795.4,Not Available,99.3,Office,1,9,3429 N 17TH ST,1905,"177,808.80",60607,72,5843282.00,,776615005
"3,641,040.40",3330768,19115,Frank,103.1,357.9,Not Available,65.4,K-12 School,1,80,2000 BOWLER ST,1961,Not Available,74500,866.9,1229103.70,,786309400
-,3883823,19106,"Ocean Desert Sales, Inc.",19.6,315.1,Not Available,6.2,Distribution Center,1,94,5400 Tulip Street,1928,Not Available,377829,293.8,2354104.60,,884177600
"1,659,299.90",3800031,19134,25765-Philadelphia/Castor Ave OC,47.4,224.9,Not Available,25.7,Non-Refrigerated Warehouse,1,91,2345 Castor,2000,Not Available,104450,672,1021665.40,,884193500
"23,400.00",2343414,19136,9382,154.4,525.9,Not Available,49.4,Retail Store,1,63,8800 Frankford Avenue,1999,Not Available,79854,230,3918944.70,,882069010
"10,882,358.20",3891004,19154,Delaware Valley Veterans Home,325.1,1812.60,Not Available,161.8,Senior Care Community,1,1,2701 Southampton Road,1975,Not Available,124236,4211.00,9222489.30,,881449800
"4,911,894.60",3589772,19146,Pennypacker,50,428.1,Not Available,37.2,K-12 School,1,88,1858 E WASHINGTON LANE,1930,"597,540.20",173000,657.7,918024.20,,784472600
"3,925,609.90",3639777,19140,The Arc of Philadelphia,59.1,209.2,Not Available,56.1,Other,1,Not Available,2350 W Westmoreland Street,1940,Not Available,70000,814.9,4798.30,,776545000
"901,701.80",1619606,19107,The Wanamaker Building,182.6,11250.70,"27,913,970.60",71,Office,1,80,100 Penn Square East,1902,Not Available,1706638,22724.00,69841115.10,,882497505
"15,548,801.90",4054368,19106,Hotel Monaco Philadelphia,298.7,2601.80,Not Available,148.4,Hotel,1,10,433 Chestnut Street,1907,Not Available,194128,9743.00,13266627.10,,883009700
